,depot,INST0180_N18_N00_P000,INST0180_N18_N00_D000,INST0180_N18_N00_P001,INST0180_N18_N00_D001,INST0180_N18_N00_P002,INST0180_N18_N00_D002,INST0180_N18_N00_P003,INST0180_N18_N00_D003,INST0180_N18_N00_P004,INST0180_N18_N00_D004,INST0180_N18_N00_P005,INST0180_N18_N00_D005,INST0180_N18_N00_P006,INST0180_N18_N00_D006,INST0180_N18_N00_P007,INST0180_N18_N00_D007,INST0180_N18_N00_P008,INST0180_N18_N00_D008,INST0180_N18_N00_P009,INST0180_N18_N00_D009,INST0180_N18_N00_P010,INST0180_N18_N00_D010,INST0180_N18_N00_P011,INST0180_N18_N00_D011,INST0180_N18_N00_P012,INST0180_N18_N00_D012,INST0180_N18_N00_P013,INST0180_N18_N00_D013,INST0180_N18_N00_P014,INST0180_N18_N00_D014,INST0180_N18_N00_P015,INST0180_N18_N00_D015,INST0180_N18_N00_P016,INST0180_N18_N00_D016,INST0180_N18_N00_P017,INST0180_N18_N00_D017
depot,0.0,66.32,87.958,61.784,87.958,66.32,13.759,61.784,119.262,21.8,132.823,34.294,61.784,21.8,13.759,34.294,87.958,21.8,0.0,19.671,34.294,66.32,18.791,0.0,87.958,0.0,18.791,7.201,66.32,66.32,19.671,7.201,18.791,18.791,66.32,19.671,0.0
INST0180_N18_N00_P000,66.32,0.0,65.084,107.477,65.084,0.0,52.8,107.477,95.428,46.019,149.304,93.371,107.477,46.019,52.8,93.371,65.084,46.019,66.32,64.86,93.371,0.0,82.833,66.32,65.084,66.32,82.833,71.779,0.0,0.0,64.86,71.779,82.833,82.833,0.0,64.86,66.32
INST0180_N18_N00_D000,87.958,65.084,0.0,85.106,0.0,65.084,77.555,85.106,32.884,81.189,206.878,122.247,85.106,81.189,77.555,122.247,0.0,81.189,87.958,100.436,122.247,65.084,93.214,87.958,0.0,87.958,93.214,95.136,65.084,65.084,100.436,95.136,93.214,93.214,65.084,100.436,87.958
INST0180_N18_N00_P001,61.784,107.477,85.106,0.0,85.106,107.477,66.572,0.0,104.379,77.99,190.666,81.232,0.0,77.99,66.572,81.232,85.106,77.99,61.784,81.17,81.232,107.477,47.339,61.784,85.106,61.784,47.339,64.45,107.477,107.477,81.17,64.45,47.339,47.339,107.477,81.17,61.784
INST0180_N18_N00_D001,87.958,65.084,0.0,85.106,0.0,65.084,77.555,85.106,32.884,81.189,206.878,122.247,85.106,81.189,77.555,122.247,0.0,81.189,87.958,100.436,122.247,65.084,93.214,87.958,0.0,87.958,93.214,95.136,65.084,65.084,100.436,95.136,93.214,93.214,65.084,100.436,87.958
INST0180_N18_N00_P002,66.32,0.0,65.084,107.477,65.084,0.0,52.8,107.477,95.428,46.019,149.304,93.371,107.477,46.019,52.8,93.371,65.084,46.019,66.32,64.86,93.371,0.0,82.833,66.32,65.084,66.32,82.833,71.779,0.0,0.0,64.86,71.779,82.833,82.833,0.0,64.86,66.32
INST0180_N18_N00_D002,13.759,52.8,77.555,66.572,77.555,52.8,0.0,66.572,109.689,11.436,135.971,46.06,66.572,11.436,0.0,46.06,77.555,11.436,13.759,23.353,46.06,52.8,30.471,13.759,77.555,13.759,30.471,20.176,52.8,52.8,23.353,20.176,30.471,30.471,52.8,23.353,13.759
INST0180_N18_N00_P003,61.784,107.477,85.106,0.0,85.106,107.477,66.572,0.0,104.379,77.99,190.666,81.232,0.0,77.99,66.572,81.232,85.106,77.99,61.784,81.17,81.232,107.477,47.339,61.784,85.106,61.784,47.339,64.45,107.477,107.477,81.17,64.45,47.339,47.339,107.477,81.17,61.784
INST0180_N18_N00_D003,119.262,95.428,32.884,104.379,32.884,95.428,109.689,104.379,0.0,113.909,239.676,153.371,104.379,113.909,109.689,153.371,32.884,113.909,119.262,132.815,153.371,95.428,122.278,119.262,32.884,119.262,122.278,126.352,95.428,95.428,132.815,126.352,122.278,122.278,95.428,132.815,119.262
INST0180_N18_N00_P004,21.8,46.019,81.189,77.99,81.189,46.019,11.436,77.99,113.909,0.0,128.231,48.052,77.99,0.0,11.436,48.052,81.189,0.0,21.8,20.683,48.052,46.019,40.266,21.8,81.189,21.8,40.266,26.126,46.019,46.019,20.683,26.126,40.266,40.266,46.019,20.683,21.8
