,depot,INST0103_N10_W13_P000,INST0103_N10_W13_D000,INST0103_N10_W13_P001,INST0103_N10_W13_D001,INST0103_N10_W13_P002,INST0103_N10_W13_D002,INST0103_N10_W13_P003,INST0103_N10_W13_D003,INST0103_N10_W13_P004,INST0103_N10_W13_D004,INST0103_N10_W13_P005,INST0103_N10_W13_D005,INST0103_N10_W13_P006,INST0103_N10_W13_D006,INST0103_N10_W13_P007,INST0103_N10_W13_D007,INST0103_N10_W13_P008,INST0103_N10_W13_D008,INST0103_N10_W13_P009,INST0103_N10_W13_D009
depot,0.0,18.026,115.643,0.0,129.907,97.602,110.354,0.0,124.166,18.026,124.166,97.602,18.026,97.602,124.166,97.602,0.0,97.602,142.787,97.602,70.637
INST0103_N10_W13_P000,18.026,0.0,128.123,18.026,147.866,114.719,127.423,18.026,141.804,0.0,141.804,114.719,0.0,114.719,141.804,114.719,18.026,114.719,160.194,114.719,88.095
INST0103_N10_W13_D000,115.643,128.123,0.0,115.643,92.961,56.961,57.051,115.643,75.699,128.123,75.699,56.961,128.123,56.961,75.699,56.961,115.643,56.961,78.578,56.961,68.471
INST0103_N10_W13_P001,0.0,18.026,115.643,0.0,129.907,97.602,110.354,0.0,124.166,18.026,124.166,97.602,18.026,97.602,124.166,97.602,0.0,97.602,142.787,97.602,70.637
INST0103_N10_W13_D001,129.907,147.866,92.961,129.907,0.0,43.098,36.679,129.907,17.435,147.866,17.435,43.098,147.866,43.098,17.435,43.098,129.907,43.098,28.407,43.098,61.972
INST0103_N10_W13_P002,97.602,114.719,56.961,97.602,43.098,0.0,12.767,97.602,29.878,114.719,29.878,0.0,114.719,0.0,29.878,0.0,97.602,0.0,45.89,0.0,27.496
INST0103_N10_W13_D002,110.354,127.423,57.051,110.354,36.679,12.767,0.0,110.354,20.56,127.423,20.56,12.767,127.423,12.767,20.56,12.767,110.354,12.767,33.728,12.767,40.204
INST0103_N10_W13_P003,0.0,18.026,115.643,0.0,129.907,97.602,110.354,0.0,124.166,18.026,124.166,97.602,18.026,97.602,124.166,97.602,0.0,97.602,142.787,97.602,70.637
INST0103_N10_W13_D003,124.166,141.804,75.699,124.166,17.435,29.878,20.56,124.166,0.0,141.804,0.0,29.878,141.804,29.878,0.0,29.878,124.166,29.878,20.081,29.878,53.818
INST0103_N10_W13_P004,18.026,0.0,128.123,18.026,147.866,114.719,127.423,18.026,141.804,0.0,141.804,114.719,0.0,114.719,141.804,114.719,18.026,114.719,160.194,114.719,88.095
INST0103_N10_W13_D004,124.166,141.804,75.699,124.166,17.435,29.878,20.56,124.166,0.0,141.804,0.0,29.878,141.804,29.878,0.0,29.878,124.166,29.878,20.081,29.878,53.818
INST0103_N10_W13_P005,97.602,114.719,56.961,97.602,43.098,0.0,12.767,97.602,29.878,114.719,29.878,0.0,114.719,0.0,29.878,0.0,97.602,0.0,45.89,0.0,27.496
INST0103_N10_W13_D005,18.026,0.0,128.123,18.026,147.866,114.719,127.423,18.026,141.804,0.0,141.804,114.719,0.0,114.719,141.804,114.719,18.026,114.719,160.194,114.719,88.095
INST0103_N10_W13_P006,97.602,114.719,56.961,97.602,43.098,0.0,12.767,97.602,29.878,114.719,29.878,0.0,114.719,0.0,29.878,0.0,97.602,0.0,45.89,0.0,27.496
INST0103_N10_W13_D006,124.166,141.804,75.699,124.166,17.435,29.878,20.56,124.166,0.0,141.804,0.0,29.878,141.804,29.878,0.0,29.878,124.166,29.878,20.081,29.878,53.818
INST0103_N10_W13_P007,97.602,114.719,56.961,97.602,43.098,0.0,12.767,97.602,29.878,114.719,29.878,0.0,114.719,0.0,29.878,0.0,97.602,0.0,45.89,0.0,27.496
INST0103_N10_W13_D007,0.0,18.026,115.643,0.0,129.907,97.602,110.354,0.0,124.166,18.026,124.166,97.602,18.026,97.602,124.166,97.602,0.0,97.602,142.787,97.602,70.637
INST0103_N10_W13_P008,97.602,114.719,56.961,97.602,43.098,0.0,12.767,97.602,29.878,114.719,29.878,0.0,114.719,0.0,29.878,0.0,97.602,0.0,45.89,0.0,27.496
INST0103_N10_W13_D008,142.787,160.194,78.578,142.787,28.407,45.89,33.728,142.787,20.081,160.194,20.081,45.89,160.194,45.89,20.081,45.89,142.787,45.89,0.0,45.89,72.151
INST0103_N10_W13_P009,97.602,114.719,56.961,97.602,43.098,0.0,12.767,97.602,29.878,114.719,29.878,0.0,114.719,0.0,29.878,0.0,97.602,0.0,45.89,0.0,27.496
INST0103_N10_W13_D009,70.637,88.095,68.471,70.637,61.972,27.496,40.204,70.637,53.818,88.095,53.818,27.496,88.095,27.496,53.818,27.496,70.637,27.496,72.151,27.496,0.0
