,depot,INST0110_N10_S20_P000,INST0110_N10_S20_D000,INST0110_N10_S20_P001,INST0110_N10_S20_D001,INST0110_N10_S20_P002,INST0110_N10_S20_D002,INST0110_N10_S20_P003,INST0110_N10_S20_D003,INST0110_N10_S20_P004,INST0110_N10_S20_D004,INST0110_N10_S20_P005,INST0110_N10_S20_D005,INST0110_N10_S20_P006,INST0110_N10_S20_D006,INST0110_N10_S20_P007,INST0110_N10_S20_D007,INST0110_N10_S20_P008,INST0110_N10_S20_D008,INST0110_N10_S20_P009,INST0110_N10_S20_D009
depot,0.0,24.036,118.85,6.707,44.645,26.3,75.176,0.0,26.3,13.324,75.176,67.566,0.0,75.176,118.85,61.869,0.0,44.645,26.3,24.036,75.176
INST0110_N10_S20_P000,24.036,0.0,112.533,29.68,23.863,26.348,67.557,24.036,26.348,31.149,67.557,72.268,24.036,67.557,112.533,55.105,24.036,23.863,26.348,0.0,67.557
INST0110_N10_S20_D000,118.85,112.533,0.0,117.194,127.137,137.848,44.98,118.85,137.848,109.068,44.98,183.928,118.85,44.98,0.0,57.803,118.85,127.137,137.848,112.533,44.98
INST0110_N10_S20_P001,6.707,29.68,117.194,0.0,51.136,32.455,74.382,6.707,32.455,8.581,74.382,71.658,6.707,74.382,117.194,61.135,6.707,51.136,32.455,29.68,74.382
INST0110_N10_S20_D001,44.645,23.863,127.137,51.136,0.0,30.556,83.129,44.645,30.556,54.293,83.129,67.228,44.645,83.129,127.137,72.248,44.645,0.0,30.556,23.863,83.129
INST0110_N10_S20_P002,26.3,26.348,137.848,32.455,30.556,0.0,92.948,26.3,0.0,39.549,92.948,46.181,26.3,92.948,137.848,80.067,26.3,30.556,0.0,26.348,92.948
INST0110_N10_S20_D002,75.176,67.557,44.98,74.382,83.129,92.948,0.0,75.176,92.948,66.815,0.0,139.086,75.176,0.0,44.98,13.307,75.176,83.129,92.948,67.557,0.0
INST0110_N10_S20_P003,0.0,24.036,118.85,6.707,44.645,26.3,75.176,0.0,26.3,13.324,75.176,67.566,0.0,75.176,118.85,61.869,0.0,44.645,26.3,24.036,75.176
INST0110_N10_S20_D003,26.3,26.348,137.848,32.455,30.556,0.0,92.948,26.3,0.0,39.549,92.948,46.181,26.3,92.948,137.848,80.067,26.3,30.556,0.0,26.348,92.948
INST0110_N10_S20_P004,13.324,31.149,109.068,8.581,54.293,39.549,66.815,13.324,39.549,0.0,66.815,80.145,13.324,66.815,109.068,53.679,13.324,54.293,39.549,31.149,66.815
INST0110_N10_S20_D004,75.176,67.557,44.98,74.382,83.129,92.948,0.0,75.176,92.948,66.815,0.0,139.086,75.176,0.0,44.98,13.307,75.176,83.129,92.948,67.557,0.0
INST0110_N10_S20_P005,67.566,72.268,183.928,71.658,67.228,46.181,139.086,67.566,46.181,80.145,139.086,0.0,67.566,139.086,183.928,126.125,67.566,67.228,46.181,72.268,139.086
INST0110_N10_S20_D005,0.0,24.036,118.85,6.707,44.645,26.3,75.176,0.0,26.3,13.324,75.176,67.566,0.0,75.176,118.85,61.869,0.0,44.645,26.3,24.036,75.176
INST0110_N10_S20_P006,75.176,67.557,44.98,74.382,83.129,92.948,0.0,75.176,92.948,66.815,0.0,139.086,75.176,0.0,44.98,13.307,75.176,83.129,92.948,67.557,0.0
INST0110_N10_S20_D006,118.85,112.533,0.0,117.194,127.137,137.848,44.98,118.85,137.848,109.068,44.98,183.928,118.85,44.98,0.0,57.803,118.85,127.137,137.848,112.533,44.98
INST0110_N10_S20_P007,61.869,55.105,57.803,61.135,72.248,80.067,13.307,61.869,80.067,53.679,13.307,126.125,61.869,13.307,57.803,0.0,61.869,72.248,80.067,55.105,13.307
INST0110_N10_S20_D007,0.0,24.036,118.85,6.707,44.645,26.3,75.176,0.0,26.3,13.324,75.176,67.566,0.0,75.176,118.85,61.869,0.0,44.645,26.3,24.036,75.176
INST0110_N10_S20_P008,44.645,23.863,127.137,51.136,0.0,30.556,83.129,44.645,30.556,54.293,83.129,67.228,44.645,83.129,127.137,72.248,44.645,0.0,30.556,23.863,83.129
INST0110_N10_S20_D008,26.3,26.348,137.848,32.455,30.556,0.0,92.948,26.3,0.0,39.549,92.948,46.181,26.3,92.948,137.848,80.067,26.3,30.556,0.0,26.348,92.948
INST0110_N10_S20_P009,24.036,0.0,112.533,29.68,23.863,26.348,67.557,24.036,26.348,31.149,67.557,72.268,24.036,67.557,112.533,55.105,24.036,23.863,26.348,0.0,67.557
INST0110_N10_S20_D009,75.176,67.557,44.98,74.382,83.129,92.948,0.0,75.176,92.948,66.815,0.0,139.086,75.176,0.0,44.98,13.307,75.176,83.129,92.948,67.557,0.0
