,depot,INST0078_N8_N18_P000,INST0078_N8_N18_D000,INST0078_N8_N18_P001,INST0078_N8_N18_D001,INST0078_N8_N18_P002,INST0078_N8_N18_D002,INST0078_N8_N18_P003,INST0078_N8_N18_D003,INST0078_N8_N18_P004,INST0078_N8_N18_D004,INST0078_N8_N18_P005,INST0078_N8_N18_D005,INST0078_N8_N18_P006,INST0078_N8_N18_D006,INST0078_N8_N18_P007,INST0078_N8_N18_D007
depot,0.0,2.788,66.572,23.353,11.436,11.436,2.788,52.8,0.0,46.06,0.0,0.0,109.689,11.436,23.353,11.436,13.759
INST0078_N8_N18_P000,2.788,0.0,64.236,23.461,13.942,13.942,0.0,55.435,2.788,44.646,2.788,2.788,110.207,13.942,23.461,13.942,11.477
INST0078_N8_N18_D000,66.572,64.236,0.0,81.17,77.99,77.99,64.236,107.477,66.572,81.232,66.572,66.572,104.379,77.99,81.17,77.99,61.784
INST0078_N8_N18_P001,23.353,23.461,81.17,0.0,20.683,20.683,23.461,64.86,23.353,28.616,23.353,23.353,132.815,20.683,0.0,20.683,19.671
INST0078_N8_N18_D001,11.436,13.942,77.99,20.683,0.0,0.0,13.942,46.019,11.436,48.052,11.436,11.436,113.909,0.0,20.683,0.0,21.8
INST0078_N8_N18_P002,11.436,13.942,77.99,20.683,0.0,0.0,13.942,46.019,11.436,48.052,11.436,11.436,113.909,0.0,20.683,0.0,21.8
INST0078_N8_N18_D002,2.788,0.0,64.236,23.461,13.942,13.942,0.0,55.435,2.788,44.646,2.788,2.788,110.207,13.942,23.461,13.942,11.477
INST0078_N8_N18_P003,52.8,55.435,107.477,64.86,46.019,46.019,55.435,0.0,52.8,93.371,52.8,52.8,95.428,46.019,64.86,46.019,66.32
INST0078_N8_N18_D003,0.0,2.788,66.572,23.353,11.436,11.436,2.788,52.8,0.0,46.06,0.0,0.0,109.689,11.436,23.353,11.436,13.759
INST0078_N8_N18_P004,46.06,44.646,81.232,28.616,48.052,48.052,44.646,93.371,46.06,0.0,46.06,46.06,153.371,48.052,28.616,48.052,34.294
INST0078_N8_N18_D004,0.0,2.788,66.572,23.353,11.436,11.436,2.788,52.8,0.0,46.06,0.0,0.0,109.689,11.436,23.353,11.436,13.759
INST0078_N8_N18_P005,0.0,2.788,66.572,23.353,11.436,11.436,2.788,52.8,0.0,46.06,0.0,0.0,109.689,11.436,23.353,11.436,13.759
INST0078_N8_N18_D005,109.689,110.207,104.379,132.815,113.909,113.909,110.207,95.428,109.689,153.371,109.689,109.689,0.0,113.909,132.815,113.909,119.262
INST0078_N8_N18_P006,11.436,13.942,77.99,20.683,0.0,0.0,13.942,46.019,11.436,48.052,11.436,11.436,113.909,0.0,20.683,0.0,21.8
INST0078_N8_N18_D006,23.353,23.461,81.17,0.0,20.683,20.683,23.461,64.86,23.353,28.616,23.353,23.353,132.815,20.683,0.0,20.683,19.671
INST0078_N8_N18_P007,11.436,13.942,77.99,20.683,0.0,0.0,13.942,46.019,11.436,48.052,11.436,11.436,113.909,0.0,20.683,0.0,21.8
INST0078_N8_N18_D007,13.759,11.477,61.784,19.671,21.8,21.8,11.477,66.32,13.759,34.294,13.759,13.759,119.262,21.8,19.671,21.8,0.0
