,depot,INST0093_N10_N03_P000,INST0093_N10_N03_D000,INST0093_N10_N03_P001,INST0093_N10_N03_D001,INST0093_N10_N03_P002,INST0093_N10_N03_D002,INST0093_N10_N03_P003,INST0093_N10_N03_D003,INST0093_N10_N03_P004,INST0093_N10_N03_D004,INST0093_N10_N03_P005,INST0093_N10_N03_D005,INST0093_N10_N03_P006,INST0093_N10_N03_D006,INST0093_N10_N03_P007,INST0093_N10_N03_D007,INST0093_N10_N03_P008,INST0093_N10_N03_D008,INST0093_N10_N03_P009,INST0093_N10_N03_D009
depot,0.0,81.517,28.595,64.653,16.848,0.0,14.003,56.4,0.0,3.413,94.965,81.517,3.413,28.595,14.003,3.413,14.003,56.4,24.705,37.312,28.595
INST0093_N10_N03_P000,81.517,0.0,99.392,131.605,75.654,81.517,95.498,99.467,81.517,78.656,104.211,0.0,78.656,99.392,95.498,78.656,95.498,99.467,78.919,57.966,99.392
INST0093_N10_N03_D000,28.595,99.392,0.0,79.42,24.088,28.595,25.326,35.041,28.595,28.727,122.983,99.392,28.727,0.0,25.326,28.727,25.326,35.041,21.127,43.511,0.0
INST0093_N10_N03_P001,64.653,131.605,79.42,0.0,81.208,64.653,56.35,114.332,64.653,67.88,79.694,131.605,67.88,79.42,56.35,67.88,56.35,114.332,87.893,101.428,79.42
INST0093_N10_N03_D001,16.848,75.654,24.088,81.208,0.0,16.848,26.694,41.993,16.848,14.053,107.703,75.654,14.053,24.088,26.694,14.053,26.694,41.993,8.817,23.01,24.088
INST0093_N10_N03_P002,0.0,81.517,28.595,64.653,16.848,0.0,14.003,56.4,0.0,3.413,94.965,81.517,3.413,28.595,14.003,3.413,14.003,56.4,24.705,37.312,28.595
INST0093_N10_N03_D002,14.003,95.498,25.326,56.35,26.694,14.003,0.0,58.839,14.003,17.072,99.415,95.498,17.072,25.326,0.0,17.072,0.0,58.839,31.992,49.306,25.326
INST0093_N10_N03_P003,56.4,99.467,35.041,114.332,41.993,56.4,58.839,0.0,56.4,54.669,149.69,99.467,54.669,35.041,58.839,54.669,58.839,0.0,33.197,43.657,35.041
INST0093_N10_N03_D003,0.0,81.517,28.595,64.653,16.848,0.0,14.003,56.4,0.0,3.413,94.965,81.517,3.413,28.595,14.003,3.413,14.003,56.4,24.705,37.312,28.595
INST0093_N10_N03_P004,3.413,78.656,28.727,67.88,14.053,3.413,17.072,54.669,3.413,0.0,95.867,78.656,0.0,28.727,17.072,0.0,17.072,54.669,22.322,33.929,28.727
INST0093_N10_N03_D004,94.965,104.211,122.983,79.694,107.703,94.965,99.415,149.69,94.965,95.867,0.0,104.211,95.867,122.983,99.415,95.867,99.415,149.69,116.493,114.14,122.983
INST0093_N10_N03_P005,81.517,0.0,99.392,131.605,75.654,81.517,95.498,99.467,81.517,78.656,104.211,0.0,78.656,99.392,95.498,78.656,95.498,99.467,78.919,57.966,99.392
INST0093_N10_N03_D005,3.413,78.656,28.727,67.88,14.053,3.413,17.072,54.669,3.413,0.0,95.867,78.656,0.0,28.727,17.072,0.0,17.072,54.669,22.322,33.929,28.727
INST0093_N10_N03_P006,28.595,99.392,0.0,79.42,24.088,28.595,25.326,35.041,28.595,28.727,122.983,99.392,28.727,0.0,25.326,28.727,25.326,35.041,21.127,43.511,0.0
INST0093_N10_N03_D006,14.003,95.498,25.326,56.35,26.694,14.003,0.0,58.839,14.003,17.072,99.415,95.498,17.072,25.326,0.0,17.072,0.0,58.839,31.992,49.306,25.326
INST0093_N10_N03_P007,3.413,78.656,28.727,67.88,14.053,3.413,17.072,54.669,3.413,0.0,95.867,78.656,0.0,28.727,17.072,0.0,17.072,54.669,22.322,33.929,28.727
INST0093_N10_N03_D007,14.003,95.498,25.326,56.35,26.694,14.003,0.0,58.839,14.003,17.072,99.415,95.498,17.072,25.326,0.0,17.072,0.0,58.839,31.992,49.306,25.326
INST0093_N10_N03_P008,56.4,99.467,35.041,114.332,41.993,56.4,58.839,0.0,56.4,54.669,149.69,99.467,54.669,35.041,58.839,54.669,58.839,0.0,33.197,43.657,35.041
INST0093_N10_N03_D008,24.705,78.919,21.127,87.893,8.817,24.705,31.992,33.197,24.705,22.322,116.493,78.919,22.322,21.127,31.992,22.322,31.992,33.197,0.0,22.387,21.127
INST0093_N10_N03_P009,37.312,57.966,43.511,101.428,23.01,37.312,49.306,43.657,37.312,33.929,114.14,57.966,33.929,43.511,49.306,33.929,49.306,43.657,22.387,0.0,43.511
INST0093_N10_N03_D009,28.595,99.392,0.0,79.42,24.088,28.595,25.326,35.041,28.595,28.727,122.983,99.392,28.727,0.0,25.326,28.727,25.326,35.041,21.127,43.511,0.0
