,depot,INST0126_N12_N06_P000,INST0126_N12_N06_D000,INST0126_N12_N06_P001,INST0126_N12_N06_D001,INST0126_N12_N06_P002,INST0126_N12_N06_D002,INST0126_N12_N06_P003,INST0126_N12_N06_D003,INST0126_N12_N06_P004,INST0126_N12_N06_D004,INST0126_N12_N06_P005,INST0126_N12_N06_D005,INST0126_N12_N06_P006,INST0126_N12_N06_D006,INST0126_N12_N06_P007,INST0126_N12_N06_D007,INST0126_N12_N06_P008,INST0126_N12_N06_D008,INST0126_N12_N06_P009,INST0126_N12_N06_D009,INST0126_N12_N06_P010,INST0126_N12_N06_D010,INST0126_N12_N06_P011,INST0126_N12_N06_D011
depot,0.0,17.254,23.353,20.683,19.671,19.671,0.0,20.683,100.436,17.254,23.353,0.0,28.616,19.671,64.86,0.0,125.319,35.534,20.683,0.0,23.353,0.0,23.353,20.683,23.461
INST0126_N12_N06_P000,17.254,0.0,20.176,26.126,7.201,7.201,17.254,26.126,95.136,0.0,20.176,17.254,27.111,7.201,71.779,17.254,127.166,18.283,26.126,17.254,20.176,17.254,20.176,26.126,18.229
INST0126_N12_N06_D000,23.353,20.176,0.0,11.436,13.759,13.759,23.353,11.436,77.555,20.176,0.0,23.353,46.06,13.759,52.8,23.353,145.919,30.471,11.436,23.353,0.0,23.353,0.0,11.436,2.788
INST0126_N12_N06_P001,20.683,26.126,11.436,0.0,21.8,21.8,20.683,0.0,81.189,26.126,11.436,20.683,48.052,21.8,46.019,20.683,145.998,40.266,0.0,20.683,11.436,20.683,11.436,0.0,13.942
INST0126_N12_N06_D001,19.671,7.201,13.759,21.8,0.0,0.0,19.671,21.8,87.958,7.201,13.759,19.671,34.294,0.0,66.32,19.671,134.365,18.791,21.8,19.671,13.759,19.671,13.759,21.8,11.477
INST0126_N12_N06_P002,19.671,7.201,13.759,21.8,0.0,0.0,19.671,21.8,87.958,7.201,13.759,19.671,34.294,0.0,66.32,19.671,134.365,18.791,21.8,19.671,13.759,19.671,13.759,21.8,11.477
INST0126_N12_N06_D002,0.0,17.254,23.353,20.683,19.671,19.671,0.0,20.683,100.436,17.254,23.353,0.0,28.616,19.671,64.86,0.0,125.319,35.534,20.683,0.0,23.353,0.0,23.353,20.683,23.461
INST0126_N12_N06_P003,20.683,26.126,11.436,0.0,21.8,21.8,20.683,0.0,81.189,26.126,11.436,20.683,48.052,21.8,46.019,20.683,145.998,40.266,0.0,20.683,11.436,20.683,11.436,0.0,13.942
INST0126_N12_N06_D003,100.436,95.136,77.555,81.189,87.958,87.958,100.436,81.189,0.0,95.136,77.555,100.436,122.247,87.958,65.084,100.436,222.229,93.214,81.189,100.436,77.555,100.436,77.555,81.189,78.292
INST0126_N12_N06_P004,17.254,0.0,20.176,26.126,7.201,7.201,17.254,26.126,95.136,0.0,20.176,17.254,27.111,7.201,71.779,17.254,127.166,18.283,26.126,17.254,20.176,17.254,20.176,26.126,18.229
INST0126_N12_N06_D004,23.353,20.176,0.0,11.436,13.759,13.759,23.353,11.436,77.555,20.176,0.0,23.353,46.06,13.759,52.8,23.353,145.919,30.471,11.436,23.353,0.0,23.353,0.0,11.436,2.788
INST0126_N12_N06_P005,0.0,17.254,23.353,20.683,19.671,19.671,0.0,20.683,100.436,17.254,23.353,0.0,28.616,19.671,64.86,0.0,125.319,35.534,20.683,0.0,23.353,0.0,23.353,20.683,23.461
INST0126_N12_N06_D005,28.616,27.111,46.06,48.052,34.294,34.294,28.616,48.052,122.247,27.111,46.06,28.616,0.0,34.294,93.371,28.616,100.108,35.653,48.052,28.616,46.06,28.616,46.06,48.052,44.646
INST0126_N12_N06_P006,19.671,7.201,13.759,21.8,0.0,0.0,19.671,21.8,87.958,7.201,13.759,19.671,34.294,0.0,66.32,19.671,134.365,18.791,21.8,19.671,13.759,19.671,13.759,21.8,11.477
INST0126_N12_N06_D006,64.86,71.779,52.8,46.019,66.32,66.32,64.86,46.019,65.084,71.779,52.8,64.86,93.371,66.32,0.0,64.86,187.822,82.833,46.019,64.86,52.8,64.86,52.8,46.019,55.435
INST0126_N12_N06_P007,0.0,17.254,23.353,20.683,19.671,19.671,0.0,20.683,100.436,17.254,23.353,0.0,28.616,19.671,64.86,0.0,125.319,35.534,20.683,0.0,23.353,0.0,23.353,20.683,23.461
INST0126_N12_N06_D007,125.319,127.166,145.919,145.998,134.365,134.365,125.319,145.998,222.229,127.166,145.919,125.319,100.108,134.365,187.822,125.319,0.0,131.141,145.998,125.319,145.919,125.319,145.919,145.998,144.673
INST0126_N12_N06_P008,35.534,18.283,30.471,40.266,18.791,18.791,35.534,40.266,93.214,18.283,30.471,35.534,35.653,18.791,82.833,35.534,131.141,0.0,40.266,35.534,30.471,35.534,30.471,40.266,27.709
INST0126_N12_N06_D008,20.683,26.126,11.436,0.0,21.8,21.8,20.683,0.0,81.189,26.126,11.436,20.683,48.052,21.8,46.019,20.683,145.998,40.266,0.0,20.683,11.436,20.683,11.436,0.0,13.942
INST0126_N12_N06_P009,0.0,17.254,23.353,20.683,19.671,19.671,0.0,20.683,100.436,17.254,23.353,0.0,28.616,19.671,64.86,0.0,125.319,35.534,20.683,0.0,23.353,0.0,23.353,20.683,23.461
INST0126_N12_N06_D009,23.353,20.176,0.0,11.436,13.759,13.759,23.353,11.436,77.555,20.176,0.0,23.353,46.06,13.759,52.8,23.353,145.919,30.471,11.436,23.353,0.0,23.353,0.0,11.436,2.788
INST0126_N12_N06_P010,0.0,17.254,23.353,20.683,19.671,19.671,0.0,20.683,100.436,17.254,23.353,0.0,28.616,19.671,64.86,0.0,125.319,35.534,20.683,0.0,23.353,0.0,23.353,20.683,23.461
