,depot,INST0175_N15_W25_P000,INST0175_N15_W25_D000,INST0175_N15_W25_P001,INST0175_N15_W25_D001,INST0175_N15_W25_P002,INST0175_N15_W25_D002,INST0175_N15_W25_P003,INST0175_N15_W25_D003,INST0175_N15_W25_P004,INST0175_N15_W25_D004,INST0175_N15_W25_P005,INST0175_N15_W25_D005,INST0175_N15_W25_P006,INST0175_N15_W25_D006,INST0175_N15_W25_P007,INST0175_N15_W25_D007,INST0175_N15_W25_P008,INST0175_N15_W25_D008,INST0175_N15_W25_P009,INST0175_N15_W25_D009,INST0175_N15_W25_P010,INST0175_N15_W25_D010,INST0175_N15_W25_P011,INST0175_N15_W25_D011,INST0175_N15_W25_P012,INST0175_N15_W25_D012,INST0175_N15_W25_P013,INST0175_N15_W25_D013,INST0175_N15_W25_P014,INST0175_N15_W25_D014
depot,0.0,22.951,150.679,20.02,23.331,36.098,150.679,35.228,84.648,64.294,0.0,84.648,14.369,64.294,84.648,84.648,20.02,35.228,150.679,14.369,133.671,23.331,36.098,35.228,36.098,14.369,64.294,20.02,63.48,36.098,150.679
INST0175_N15_W25_P000,22.951,0.0,133.769,32.905,17.238,25.201,133.769,50.317,67.612,43.046,22.951,67.612,37.156,43.046,67.612,67.612,32.905,50.317,133.769,37.156,117.595,17.238,25.201,50.317,25.201,37.156,43.046,32.905,50.631,25.201,133.769
INST0175_N15_W25_D000,150.679,133.769,0.0,141.804,127.423,114.719,0.0,147.866,66.284,128.123,150.679,66.284,160.194,128.123,66.284,66.284,141.804,147.866,0.0,160.194,18.026,127.423,114.719,147.866,114.719,160.194,128.123,141.804,88.095,114.719,0.0
INST0175_N15_W25_P001,20.02,32.905,141.804,0.0,20.56,29.878,141.804,17.435,77.687,75.699,20.02,77.687,20.081,75.699,77.687,77.687,0.0,17.435,141.804,20.081,124.166,20.56,29.878,17.435,29.878,20.081,75.699,0.0,53.818,29.878,141.804
INST0175_N15_W25_D001,23.331,17.238,127.423,20.56,0.0,12.767,127.423,36.679,61.567,57.051,23.331,61.567,33.728,57.051,61.567,61.567,20.56,36.679,127.423,33.728,110.354,0.0,12.767,36.679,12.767,33.728,57.051,20.56,40.204,12.767,127.423
INST0175_N15_W25_P002,36.098,25.201,114.719,29.878,12.767,0.0,114.719,43.098,49.056,56.961,36.098,49.056,45.89,56.961,49.056,49.056,29.878,43.098,114.719,45.89,97.602,12.767,0.0,43.098,0.0,45.89,56.961,29.878,27.496,0.0,114.719
INST0175_N15_W25_D002,150.679,133.769,0.0,141.804,127.423,114.719,0.0,147.866,66.284,128.123,150.679,66.284,160.194,128.123,66.284,66.284,141.804,147.866,0.0,160.194,18.026,127.423,114.719,147.866,114.719,160.194,128.123,141.804,88.095,114.719,0.0
INST0175_N15_W25_P003,35.228,50.317,147.866,17.435,36.679,43.098,147.866,0.0,86.82,92.961,35.228,86.82,28.407,92.961,86.82,86.82,17.435,0.0,147.866,28.407,129.907,36.679,43.098,0.0,43.098,28.407,92.961,17.435,61.972,43.098,147.866
INST0175_N15_W25_D003,84.648,67.612,66.284,77.687,61.567,49.056,66.284,86.82,0.0,70.587,84.648,0.0,94.929,70.587,0.0,0.0,77.687,86.82,66.284,94.929,50.015,61.567,49.056,86.82,49.056,94.929,70.587,77.687,24.909,49.056,66.284
INST0175_N15_W25_P004,64.294,43.046,128.123,75.699,57.051,56.961,128.123,92.961,70.587,0.0,64.294,70.587,78.578,0.0,70.587,70.587,75.699,92.961,128.123,78.578,115.643,57.051,56.961,92.961,56.961,78.578,0.0,75.699,68.471,56.961,128.123
