,depot,INST0275_N25_S05_P000,INST0275_N25_S05_D000,INST0275_N25_S05_P001,INST0275_N25_S05_D001,INST0275_N25_S05_P002,INST0275_N25_S05_D002,INST0275_N25_S05_P003,INST0275_N25_S05_D003,INST0275_N25_S05_P004,INST0275_N25_S05_D004,INST0275_N25_S05_P005,INST0275_N25_S05_D005,INST0275_N25_S05_P006,INST0275_N25_S05_D006,INST0275_N25_S05_P007,INST0275_N25_S05_D007,INST0275_N25_S05_P008,INST0275_N25_S05_D008,INST0275_N25_S05_P009,INST0275_N25_S05_D009,INST0275_N25_S05_P010,INST0275_N25_S05_D010,INST0275_N25_S05_P011,INST0275_N25_S05_D011,INST0275_N25_S05_P012,INST0275_N25_S05_D012,INST0275_N25_S05_P013,INST0275_N25_S05_D013,INST0275_N25_S05_P014,INST0275_N25_S05_D014,INST0275_N25_S05_P015,INST0275_N25_S05_D015,INST0275_N25_S05_P016,INST0275_N25_S05_D016,INST0275_N25_S05_P017,INST0275_N25_S05_D017,INST0275_N25_S05_P018,INST0275_N25_S05_D018,INST0275_N25_S05_P019,INST0275_N25_S05_D019,INST0275_N25_S05_P020,INST0275_N25_S05_D020,INST0275_N25_S05_P021,INST0275_N25_S05_D021,INST0275_N25_S05_P022,INST0275_N25_S05_D022,INST0275_N25_S05_P023,INST0275_N25_S05_D023,INST0275_N25_S05_P024,INST0275_N25_S05_D024
depot,0.0,75.176,26.3,24.036,75.176,67.566,61.869,6.707,44.645,67.566,44.645,26.3,6.707,67.566,75.176,83.656,26.3,83.656,67.566,75.176,0.0,83.656,13.324,26.3,24.036,61.869,24.036,67.566,44.645,61.869,6.707,44.645,6.707,0.0,44.645,75.176,44.645,26.3,75.176,75.176,118.85,24.036,6.707,67.566,6.707,83.656,0.0,61.869,67.566,67.566,13.324
INST0275_N25_S05_P000,75.176,0.0,92.948,67.557,0.0,139.086,13.307,74.382,83.129,139.086,83.129,92.948,74.382,139.086,0.0,94.398,92.948,94.398,139.086,0.0,75.176,94.398,66.815,92.948,67.557,13.307,67.557,139.086,83.129,13.307,74.382,83.129,74.382,75.176,83.129,0.0,83.129,92.948,0.0,0.0,44.98,67.557,74.382,139.086,74.382,94.398,75.176,13.307,139.086,139.086,66.815
INST0275_N25_S05_D000,26.3,92.948,0.0,26.348,92.948,46.181,80.067,32.455,30.556,46.181,30.556,0.0,32.455,46.181,92.948,108.949,0.0,108.949,46.181,92.948,26.3,108.949,39.549,0.0,26.348,80.067,26.348,46.181,30.556,80.067,32.455,30.556,32.455,26.3,30.556,92.948,30.556,0.0,92.948,92.948,137.848,26.348,32.455,46.181,32.455,108.949,26.3,80.067,46.181,46.181,39.549
INST0275_N25_S05_P001,24.036,67.557,26.348,0.0,67.557,72.268,55.105,29.68,23.863,72.268,23.863,26.348,29.68,72.268,67.557,102.142,26.348,102.142,72.268,67.557,24.036,102.142,31.149,26.348,0.0,55.105,0.0,72.268,23.863,55.105,29.68,23.863,29.68,24.036,23.863,67.557,23.863,26.348,67.557,67.557,112.533,0.0,29.68,72.268,29.68,102.142,24.036,55.105,72.268,72.268,31.149
INST0275_N25_S05_D001,75.176,0.0,92.948,67.557,0.0,139.086,13.307,74.382,83.129,139.086,83.129,92.948,74.382,139.086,0.0,94.398,92.948,94.398,139.086,0.0,75.176,94.398,66.815,92.948,67.557,13.307,67.557,139.086,83.129,13.307,74.382,83.129,74.382,75.176,83.129,0.0,83.129,92.948,0.0,0.0,44.98,67.557,74.382,139.086,74.382,94.398,75.176,13.307,139.086,139.086,66.815
INST0275_N25_S05_P002,67.566,139.086,46.181,72.268,139.086,0.0,126.125,71.658,67.228,0.0,67.228,46.181,71.658,0.0,139.086,138.993,46.181,138.993,0.0,139.086,67.566,138.993,80.145,46.181,72.268,126.125,72.268,0.0,67.228,126.125,71.658,67.228,71.658,67.566,67.228,139.086,67.228,46.181,139.086,139.086,183.928,72.268,71.658,0.0,71.658,138.993,67.566,126.125,0.0,0.0,80.145
INST0275_N25_S05_D002,61.869,13.307,80.067,55.105,13.307,126.125,0.0,61.135,72.248,126.125,72.248,80.067,61.135,126.125,13.307,87.998,80.067,87.998,126.125,13.307,61.869,87.998,53.679,80.067,55.105,0.0,55.105,126.125,72.248,0.0,61.135,72.248,61.135,61.869,72.248,13.307,72.248,80.067,13.307,13.307,57.803,55.105,61.135,126.125,61.135,87.998,61.869,0.0,126.125,126.125,53.679
INST0275_N25_S05_P003,6.707,74.382,32.455,29.68,74.382,71.658,61.135,0.0,51.136,71.658,51.136,32.455,0.0,71.658,74.382,77.018,32.455,77.018,71.658,74.382,6.707,77.018,8.581,32.455,29.68,61.135,29.68,71.658,51.136,61.135,0.0,51.136,0.0,6.707,51.136,74.382,51.136,32.455,74.382,74.382,117.194,29.68,0.0,71.658,0.0,77.018,6.707,61.135,71.658,71.658,8.581
INST0275_N25_S05_D003,44.645,83.129,30.556,23.863,83.129,67.228,72.248,51.136,0.0,67.228,0.0,30.556,51.136,67.228,83.129,125.848,30.556,125.848,67.228,83.129,44.645,125.848,54.293,30.556,23.863,72.248,23.863,67.228,0.0,72.248,51.136,0.0,51.136,44.645,0.0,83.129,0.0,30.556,83.129,83.129,127.137,23.863,51.136,67.228,51.136,125.848,44.645,72.248,67.228,67.228,54.293
INST0275_N25_S05_P004,67.566,139.086,46.181,72.268,139.086,0.0,126.125,71.658,67.228,0.0,67.228,46.181,71.658,0.0,139.086,138.993,46.181,138.993,0.0,139.086,67.566,138.993,80.145,46.181,72.268,126.125,72.268,0.0,67.228,126.125,71.658,67.228,71.658,67.566,67.228,139.086,67.228,46.181,139.086,139.086,183.928,72.268,71.658,0.0,71.658,138.993,67.566,126.125,0.0,0.0,80.145
INST0275_N25_S05_D004,44.645,83.129,30.556,23.863,83.129,67.228,72.248,51.136,0.0,67.228,0.0,30.556,51.136,67.228,83.129,125.848,30.556,125.848,67.228,83.129,44.645,125.848,54.293,30.556,23.863,72.248,23.863,67.228,0.0,72.248,51.136,0.0,51.136,44.645,0.0,83.129,0.0,30.556,83.129,83.129,127.137,23.863,51.136,67.228,51.136,125.848,44.645,72.248,67.228,67.228,54.293
INST0275_N25_S05_P005,26.3,92.948,0.0,26.348,92.948,46.181,80.067,32.455,30.556,46.181,30.556,0.0,32.455,46.181,92.948,108.949,0.0,108.949,46.181,92.948,26.3,108.949,39.549,0.0,26.348,80.067,26.348,46.181,30.556,80.067,32.455,30.556,32.455,26.3,30.556,92.948,30.556,0.0,92.948,92.948,137.848,26.348,32.455,46.181,32.455,108.949,26.3,80.067,46.181,46.181,39.549
INST0275_N25_S05_D005,6.707,74.382,32.455,29.68,74.382,71.658,61.135,0.0,51.136,71.658,51.136,32.455,0.0,71.658,74.382,77.018,32.455,77.018,71.658,74.382,6.707,77.018,8.581,32.455,29.68,61.135,29.68,71.658,51.136,61.135,0.0,51.136,0.0,6.707,51.136,74.382,51.136,32.455,74.382,74.382,117.194,29.68,0.0,71.658,0.0,77.018,6.707,61.135,71.658,71.658,8.581
INST0275_N25_S05_P006,67.566,139.086,46.181,72.268,139.086,0.0,126.125,71.658,67.228,0.0,67.228,46.181,71.658,0.0,139.086,138.993,46.181,138.993,0.0,139.086,67.566,138.993,80.145,46.181,72.268,126.125,72.268,0.0,67.228,126.125,71.658,67.228,71.658,67.566,67.228,139.086,67.228,46.181,139.086,139.086,183.928,72.268,71.658,0.0,71.658,138.993,67.566,126.125,0.0,0.0,80.145
INST0275_N25_S05_D006,75.176,0.0,92.948,67.557,0.0,139.086,13.307,74.382,83.129,139.086,83.129,92.948,74.382,139.086,0.0,94.398,92.948,94.398,139.086,0.0,75.176,94.398,66.815,92.948,67.557,13.307,67.557,139.086,83.129,13.307,74.382,83.129,74.382,75.176,83.129,0.0,83.129,92.948,0.0,0.0,44.98,67.557,74.382,139.086,74.382,94.398,75.176,13.307,139.086,139.086,66.815
INST0275_N25_S05_P007,83.656,94.398,108.949,102.142,94.398,138.993,87.998,77.018,125.848,138.993,125.848,108.949,77.018,138.993,94.398,0.0,108.949,0.0,138.993,94.398,83.656,0.0,71.877,108.949,102.142,87.998,102.142,138.993,125.848,87.998,77.018,125.848,77.018,83.656,125.848,94.398,125.848,108.949,94.398,94.398,114.428,102.142,77.018,138.993,77.018,0.0,83.656,87.998,138.993,138.993,71.877
INST0275_N25_S05_D007,26.3,92.948,0.0,26.348,92.948,46.181,80.067,32.455,30.556,46.181,30.556,0.0,32.455,46.181,92.948,108.949,0.0,108.949,46.181,92.948,26.3,108.949,39.549,0.0,26.348,80.067,26.348,46.181,30.556,80.067,32.455,30.556,32.455,26.3,30.556,92.948,30.556,0.0,92.948,92.948,137.848,26.348,32.455,46.181,32.455,108.949,26.3,80.067,46.181,46.181,39.549
INST0275_N25_S05_P008,83.656,94.398,108.949,102.142,94.398,138.993,87.998,77.018,125.848,138.993,125.848,108.949,77.018,138.993,94.398,0.0,108.949,0.0,138.993,94.398,83.656,0.0,71.877,108.949,102.142,87.998,102.142,138.993,125.848,87.998,77.018,125.848,77.018,83.656,125.848,94.398,125.848,108.949,94.398,94.398,114.428,102.142,77.018,138.993,77.018,0.0,83.656,87.998,138.993,138.993,71.877
INST0275_N25_S05_D008,67.566,139.086,46.181,72.268,139.086,0.0,126.125,71.658,67.228,0.0,67.228,46.181,71.658,0.0,139.086,138.993,46.181,138.993,0.0,139.086,67.566,138.993,80.145,46.181,72.268,126.125,72.268,0.0,67.228,126.125,71.658,67.228,71.658,67.566,67.228,139.086,67.228,46.181,139.086,139.086,183.928,72.268,71.658,0.0,71.658,138.993,67.566,126.125,0.0,0.0,80.145
INST0275_N25_S05_P009,75.176,0.0,92.948,67.557,0.0,139.086,13.307,74.382,83.129,139.086,83.129,92.948,74.382,139.086,0.0,94.398,92.948,94.398,139.086,0.0,75.176,94.398,66.815,92.948,67.557,13.307,67.557,139.086,83.129,13.307,74.382,83.129,74.382,75.176,83.129,0.0,83.129,92.948,0.0,0.0,44.98,67.557,74.382,139.086,74.382,94.398,75.176,13.307,139.086,139.086,66.815
INST0275_N25_S05_D009,0.0,75.176,26.3,24.036,75.176,67.566,61.869,6.707,44.645,67.566,44.645,26.3,6.707,67.566,75.176,83.656,26.3,83.656,67.566,75.176,0.0,83.656,13.324,26.3,24.036,61.869,24.036,67.566,44.645,61.869,6.707,44.645,6.707,0.0,44.645,75.176,44.645,26.3,75.176,75.176,118.85,24.036,6.707,67.566,6.707,83.656,0.0,61.869,67.566,67.566,13.324
INST0275_N25_S05_P010,83.656,94.398,108.949,102.142,94.398,138.993,87.998,77.018,125.848,138.993,125.848,108.949,77.018,138.993,94.398,0.0,108.949,0.0,138.993,94.398,83.656,0.0,71.877,108.949,102.142,87.998,102.142,138.993,125.848,87.998,77.018,125.848,77.018,83.656,125.848,94.398,125.848,108.949,94.398,94.398,114.428,102.142,77.018,138.993,77.018,0.0,83.656,87.998,138.993,138.993,71.877
INST0275_N25_S05_D010,13.324,66.815,39.549,31.149,66.815,80.145,53.679,8.581,54.293,80.145,54.293,39.549,8.581,80.145,66.815,71.877,39.549,71.877,80.145,66.815,13.324,71.877,0.0,39.549,31.149,53.679,31.149,80.145,54.293,53.679,8.581,54.293,8.581,13.324,54.293,66.815,54.293,39.549,66.815,66.815,109.068,31.149,8.581,80.145,8.581,71.877,13.324,53.679,80.145,80.145,0.0
INST0275_N25_S05_P011,26.3,92.948,0.0,26.348,92.948,46.181,80.067,32.455,30.556,46.181,30.556,0.0,32.455,46.181,92.948,108.949,0.0,108.949,46.181,92.948,26.3,108.949,39.549,0.0,26.348,80.067,26.348,46.181,30.556,80.067,32.455,30.556,32.455,26.3,30.556,92.948,30.556,0.0,92.948,92.948,137.848,26.348,32.455,46.181,32.455,108.949,26.3,80.067,46.181,46.181,39.549
INST0275_N25_S05_D011,24.036,67.557,26.348,0.0,67.557,72.268,55.105,29.68,23.863,72.268,23.863,26.348,29.68,72.268,67.557,102.142,26.348,102.142,72.268,67.557,24.036,102.142,31.149,26.348,0.0,55.105,0.0,72.268,23.863,55.105,29.68,23.863,29.68,24.036,23.863,67.557,23.863,26.348,67.557,67.557,112.533,0.0,29.68,72.268,29.68,102.142,24.036,55.105,72.268,72.268,31.149
INST0275_N25_S05_P012,61.869,13.307,80.067,55.105,13.307,126.125,0.0,61.135,72.248,126.125,72.248,80.067,61.135,126.125,13.307,87.998,80.067,87.998,126.125,13.307,61.869,87.998,53.679,80.067,55.105,0.0,55.105,126.125,72.248,0.0,61.135,72.248,61.135,61.869,72.248,13.307,72.248,80.067,13.307,13.307,57.803,55.105,61.135,126.125,61.135,87.998,61.869,0.0,126.125,126.125,53.679
INST0275_N25_S05_D012,24.036,67.557,26.348,0.0,67.557,72.268,55.105,29.68,23.863,72.268,23.863,26.348,29.68,72.268,67.557,102.142,26.348,102.142,72.268,67.557,24.036,102.142,31.149,26.348,0.0,55.105,0.0,72.268,23.863,55.105,29.68,23.863,29.68,24.036,23.863,67.557,23.863,26.348,67.557,67.557,112.533,0.0,29.68,72.268,29.68,102.142,24.036,55.105,72.268,72.268,31.149
