,depot,INST0115_N10_W25_P000,INST0115_N10_W25_D000,INST0115_N10_W25_P001,INST0115_N10_W25_D001,INST0115_N10_W25_P002,INST0115_N10_W25_D002,INST0115_N10_W25_P003,INST0115_N10_W25_D003,INST0115_N10_W25_P004,INST0115_N10_W25_D004,INST0115_N10_W25_P005,INST0115_N10_W25_D005,INST0115_N10_W25_P006,INST0115_N10_W25_D006,INST0115_N10_W25_P007,INST0115_N10_W25_D007,INST0115_N10_W25_P008,INST0115_N10_W25_D008,INST0115_N10_W25_P009,INST0115_N10_W25_D009
depot,0.0,16.35,69.129,52.507,109.164,29.48,69.129,51.842,29.48,11.735,16.35,11.735,69.129,18.744,52.507,52.507,18.744,52.507,11.735,52.507,18.744
INST0115_N10_W25_P000,16.35,0.0,63.444,61.821,101.402,24.4,63.444,43.952,24.4,16.399,0.0,16.399,63.444,26.872,61.821,61.821,26.872,61.821,16.399,61.821,26.872
INST0115_N10_W25_D000,69.129,63.444,0.0,57.646,40.846,40.063,0.0,20.342,40.063,77.525,63.444,77.525,0.0,55.217,57.646,57.646,55.217,57.646,77.525,57.646,55.217
INST0115_N10_W25_P001,52.507,61.821,57.646,0.0,94.442,46.518,57.646,55.918,46.518,64.172,61.821,64.172,57.646,35.155,0.0,0.0,35.155,0.0,64.172,0.0,35.155
INST0115_N10_W25_D001,109.164,101.402,40.846,94.442,0.0,79.708,40.846,57.687,79.708,116.61,101.402,116.61,40.846,96.036,94.442,94.442,96.036,94.442,116.61,94.442,96.036
INST0115_N10_W25_P002,29.48,24.4,40.063,46.518,79.708,0.0,40.063,22.455,0.0,37.477,24.4,37.477,40.063,20.581,46.518,46.518,20.581,46.518,37.477,46.518,20.581
INST0115_N10_W25_D002,69.129,63.444,0.0,57.646,40.846,40.063,0.0,20.342,40.063,77.525,63.444,77.525,0.0,55.217,57.646,57.646,55.217,57.646,77.525,57.646,55.217
INST0115_N10_W25_P003,51.842,43.952,20.342,55.918,57.687,22.455,20.342,0.0,22.455,58.923,43.952,58.923,20.342,41.349,55.918,55.918,41.349,55.918,58.923,55.918,41.349
INST0115_N10_W25_D003,29.48,24.4,40.063,46.518,79.708,0.0,40.063,22.455,0.0,37.477,24.4,37.477,40.063,20.581,46.518,46.518,20.581,46.518,37.477,46.518,20.581
INST0115_N10_W25_P004,11.735,16.399,77.525,64.172,116.61,37.477,77.525,58.923,37.477,0.0,16.399,0.0,77.525,30.344,64.172,64.172,30.344,64.172,0.0,64.172,30.344
INST0115_N10_W25_D004,16.35,0.0,63.444,61.821,101.402,24.4,63.444,43.952,24.4,16.399,0.0,16.399,63.444,26.872,61.821,61.821,26.872,61.821,16.399,61.821,26.872
INST0115_N10_W25_P005,11.735,16.399,77.525,64.172,116.61,37.477,77.525,58.923,37.477,0.0,16.399,0.0,77.525,30.344,64.172,64.172,30.344,64.172,0.0,64.172,30.344
INST0115_N10_W25_D005,69.129,63.444,0.0,57.646,40.846,40.063,0.0,20.342,40.063,77.525,63.444,77.525,0.0,55.217,57.646,57.646,55.217,57.646,77.525,57.646,55.217
INST0115_N10_W25_P006,18.744,26.872,55.217,35.155,96.036,20.581,55.217,41.349,20.581,30.344,26.872,30.344,55.217,0.0,35.155,35.155,0.0,35.155,30.344,35.155,0.0
INST0115_N10_W25_D006,52.507,61.821,57.646,0.0,94.442,46.518,57.646,55.918,46.518,64.172,61.821,64.172,57.646,35.155,0.0,0.0,35.155,0.0,64.172,0.0,35.155
INST0115_N10_W25_P007,52.507,61.821,57.646,0.0,94.442,46.518,57.646,55.918,46.518,64.172,61.821,64.172,57.646,35.155,0.0,0.0,35.155,0.0,64.172,0.0,35.155
INST0115_N10_W25_D007,18.744,26.872,55.217,35.155,96.036,20.581,55.217,41.349,20.581,30.344,26.872,30.344,55.217,0.0,35.155,35.155,0.0,35.155,30.344,35.155,0.0
INST0115_N10_W25_P008,52.507,61.821,57.646,0.0,94.442,46.518,57.646,55.918,46.518,64.172,61.821,64.172,57.646,35.155,0.0,0.0,35.155,0.0,64.172,0.0,35.155
INST0115_N10_W25_D008,11.735,16.399,77.525,64.172,116.61,37.477,77.525,58.923,37.477,0.0,16.399,0.0,77.525,30.344,64.172,64.172,30.344,64.172,0.0,64.172,30.344
INST0115_N10_W25_P009,52.507,61.821,57.646,0.0,94.442,46.518,57.646,55.918,46.518,64.172,61.821,64.172,57.646,35.155,0.0,0.0,35.155,0.0,64.172,0.0,35.155
INST0115_N10_W25_D009,18.744,26.872,55.217,35.155,96.036,20.581,55.217,41.349,20.581,30.344,26.872,30.344,55.217,0.0,35.155,35.155,0.0,35.155,30.344,35.155,0.0
