,depot,INST0163_N15_W13_P000,INST0163_N15_W13_D000,INST0163_N15_W13_P001,INST0163_N15_W13_D001,INST0163_N15_W13_P002,INST0163_N15_W13_D002,INST0163_N15_W13_P003,INST0163_N15_W13_D003,INST0163_N15_W13_P004,INST0163_N15_W13_D004,INST0163_N15_W13_P005,INST0163_N15_W13_D005,INST0163_N15_W13_P006,INST0163_N15_W13_D006,INST0163_N15_W13_P007,INST0163_N15_W13_D007,INST0163_N15_W13_P008,INST0163_N15_W13_D008,INST0163_N15_W13_P009,INST0163_N15_W13_D009,INST0163_N15_W13_P010,INST0163_N15_W13_D010,INST0163_N15_W13_P011,INST0163_N15_W13_D011,INST0163_N15_W13_P012,INST0163_N15_W13_D012,INST0163_N15_W13_P013,INST0163_N15_W13_D013,INST0163_N15_W13_P014,INST0163_N15_W13_D014
depot,0.0,70.637,115.643,0.0,97.602,97.602,133.671,0.0,129.907,97.602,124.166,97.602,70.637,70.637,50.015,70.637,124.166,0.0,70.637,70.637,50.015,18.026,110.354,50.015,124.166,0.0,133.671,18.026,97.602,50.015,70.637
INST0163_N15_W13_P000,70.637,0.0,68.471,70.637,27.496,27.496,63.48,70.637,61.972,27.496,53.818,27.496,0.0,0.0,24.909,0.0,53.818,70.637,0.0,0.0,24.909,88.095,40.204,24.909,53.818,70.637,63.48,88.095,27.496,24.909,0.0
INST0163_N15_W13_D000,115.643,68.471,0.0,115.643,56.961,56.961,64.294,115.643,92.961,56.961,75.699,56.961,68.471,68.471,70.587,68.471,75.699,115.643,68.471,68.471,70.587,128.123,57.051,70.587,75.699,115.643,64.294,128.123,56.961,70.587,68.471
INST0163_N15_W13_P001,0.0,70.637,115.643,0.0,97.602,97.602,133.671,0.0,129.907,97.602,124.166,97.602,70.637,70.637,50.015,70.637,124.166,0.0,70.637,70.637,50.015,18.026,110.354,50.015,124.166,0.0,133.671,18.026,97.602,50.015,70.637
INST0163_N15_W13_D001,97.602,27.496,56.961,97.602,0.0,0.0,36.098,97.602,43.098,0.0,29.878,0.0,27.496,27.496,49.056,27.496,29.878,97.602,27.496,27.496,49.056,114.719,12.767,49.056,29.878,97.602,36.098,114.719,0.0,49.056,27.496
INST0163_N15_W13_P002,97.602,27.496,56.961,97.602,0.0,0.0,36.098,97.602,43.098,0.0,29.878,0.0,27.496,27.496,49.056,27.496,29.878,97.602,27.496,27.496,49.056,114.719,12.767,49.056,29.878,97.602,36.098,114.719,0.0,49.056,27.496
INST0163_N15_W13_D002,133.671,63.48,64.294,133.671,36.098,36.098,0.0,133.671,35.228,36.098,20.02,36.098,63.48,63.48,84.648,63.48,20.02,133.671,63.48,63.48,84.648,150.679,23.331,84.648,20.02,133.671,0.0,150.679,36.098,84.648,63.48
INST0163_N15_W13_P003,0.0,70.637,115.643,0.0,97.602,97.602,133.671,0.0,129.907,97.602,124.166,97.602,70.637,70.637,50.015,70.637,124.166,0.0,70.637,70.637,50.015,18.026,110.354,50.015,124.166,0.0,133.671,18.026,97.602,50.015,70.637
INST0163_N15_W13_D003,129.907,61.972,92.961,129.907,43.098,43.098,35.228,129.907,0.0,43.098,17.435,43.098,61.972,61.972,86.82,61.972,17.435,129.907,61.972,61.972,86.82,147.866,36.679,86.82,17.435,129.907,35.228,147.866,43.098,86.82,61.972
INST0163_N15_W13_P004,97.602,27.496,56.961,97.602,0.0,0.0,36.098,97.602,43.098,0.0,29.878,0.0,27.496,27.496,49.056,27.496,29.878,97.602,27.496,27.496,49.056,114.719,12.767,49.056,29.878,97.602,36.098,114.719,0.0,49.056,27.496
