,depot,INST0115_N10_W25_P000,INST0115_N10_W25_D000,INST0115_N10_W25_P001,INST0115_N10_W25_D001,INST0115_N10_W25_P002,INST0115_N10_W25_D002,INST0115_N10_W25_P003,INST0115_N10_W25_D003,INST0115_N10_W25_P004,INST0115_N10_W25_D004,INST0115_N10_W25_P005,INST0115_N10_W25_D005,INST0115_N10_W25_P006,INST0115_N10_W25_D006,INST0115_N10_W25_P007,INST0115_N10_W25_D007,INST0115_N10_W25_P008,INST0115_N10_W25_D008,INST0115_N10_W25_P009,INST0115_N10_W25_D009
depot,0.0,20.02,84.648,64.294,133.671,36.098,84.648,63.48,36.098,14.369,20.02,14.369,84.648,22.951,64.294,64.294,22.951,64.294,14.369,64.294,22.951
INST0115_N10_W25_P000,20.02,0.0,77.687,75.699,124.166,29.878,77.687,53.818,29.878,20.081,0.0,20.081,77.687,32.905,75.699,75.699,32.905,75.699,20.081,75.699,32.905
INST0115_N10_W25_D000,84.648,77.687,0.0,70.587,50.015,49.056,0.0,24.909,49.056,94.929,77.687,94.929,0.0,67.612,70.587,70.587,67.612,70.587,94.929,70.587,67.612
INST0115_N10_W25_P001,64.294,75.699,70.587,0.0,115.643,56.961,70.587,68.471,56.961,78.578,75.699,78.578,70.587,43.046,0.0,0.0,43.046,0.0,78.578,0.0,43.046
INST0115_N10_W25_D001,133.671,124.166,50.015,115.643,0.0,97.602,50.015,70.637,97.602,142.787,124.166,142.787,50.015,117.595,115.643,115.643,117.595,115.643,142.787,115.643,117.595
INST0115_N10_W25_P002,36.098,29.878,49.056,56.961,97.602,0.0,49.056,27.496,0.0,45.89,29.878,45.89,49.056,25.201,56.961,56.961,25.201,56.961,45.89,56.961,25.201
INST0115_N10_W25_D002,84.648,77.687,0.0,70.587,50.015,49.056,0.0,24.909,49.056,94.929,77.687,94.929,0.0,67.612,70.587,70.587,67.612,70.587,94.929,70.587,67.612
INST0115_N10_W25_P003,63.48,53.818,24.909,68.471,70.637,27.496,24.909,0.0,27.496,72.151,53.818,72.151,24.909,50.631,68.471,68.471,50.631,68.471,72.151,68.471,50.631
INST0115_N10_W25_D003,36.098,29.878,49.056,56.961,97.602,0.0,49.056,27.496,0.0,45.89,29.878,45.89,49.056,25.201,56.961,56.961,25.201,56.961,45.89,56.961,25.201
INST0115_N10_W25_P004,14.369,20.081,94.929,78.578,142.787,45.89,94.929,72.151,45.89,0.0,20.081,0.0,94.929,37.156,78.578,78.578,37.156,78.578,0.0,78.578,37.156
INST0115_N10_W25_D004,20.02,0.0,77.687,75.699,124.166,29.878,77.687,53.818,29.878,20.081,0.0,20.081,77.687,32.905,75.699,75.699,32.905,75.699,20.081,75.699,32.905
INST0115_N10_W25_P005,14.369,20.081,94.929,78.578,142.787,45.89,94.929,72.151,45.89,0.0,20.081,0.0,94.929,37.156,78.578,78.578,37.156,78.578,0.0,78.578,37.156
INST0115_N10_W25_D005,84.648,77.687,0.0,70.587,50.015,49.056,0.0,24.909,49.056,94.929,77.687,94.929,0.0,67.612,70.587,70.587,67.612,70.587,94.929,70.587,67.612
INST0115_N10_W25_P006,22.951,32.905,67.612,43.046,117.595,25.201,67.612,50.631,25.201,37.156,32.905,37.156,67.612,0.0,43.046,43.046,0.0,43.046,37.156,43.046,0.0
INST0115_N10_W25_D006,64.294,75.699,70.587,0.0,115.643,56.961,70.587,68.471,56.961,78.578,75.699,78.578,70.587,43.046,0.0,0.0,43.046,0.0,78.578,0.0,43.046
INST0115_N10_W25_P007,64.294,75.699,70.587,0.0,115.643,56.961,70.587,68.471,56.961,78.578,75.699,78.578,70.587,43.046,0.0,0.0,43.046,0.0,78.578,0.0,43.046
INST0115_N10_W25_D007,22.951,32.905,67.612,43.046,117.595,25.201,67.612,50.631,25.201,37.156,32.905,37.156,67.612,0.0,43.046,43.046,0.0,43.046,37.156,43.046,0.0
INST0115_N10_W25_P008,64.294,75.699,70.587,0.0,115.643,56.961,70.587,68.471,56.961,78.578,75.699,78.578,70.587,43.046,0.0,0.0,43.046,0.0,78.578,0.0,43.046
INST0115_N10_W25_D008,14.369,20.081,94.929,78.578,142.787,45.89,94.929,72.151,45.89,0.0,20.081,0.0,94.929,37.156,78.578,78.578,37.156,78.578,0.0,78.578,37.156
INST0115_N10_W25_P009,64.294,75.699,70.587,0.0,115.643,56.961,70.587,68.471,56.961,78.578,75.699,78.578,70.587,43.046,0.0,0.0,43.046,0.0,78.578,0.0,43.046
INST0115_N10_W25_D009,22.951,32.905,67.612,43.046,117.595,25.201,67.612,50.631,25.201,37.156,32.905,37.156,67.612,0.0,43.046,43.046,0.0,43.046,37.156,43.046,0.0
