,depot,INST0121_N12_W01_P000,INST0121_N12_W01_D000,INST0121_N12_W01_P001,INST0121_N12_W01_D001,INST0121_N12_W01_P002,INST0121_N12_W01_D002,INST0121_N12_W01_P003,INST0121_N12_W01_D003,INST0121_N12_W01_P004,INST0121_N12_W01_D004,INST0121_N12_W01_P005,INST0121_N12_W01_D005,INST0121_N12_W01_P006,INST0121_N12_W01_D006,INST0121_N12_W01_P007,INST0121_N12_W01_D007,INST0121_N12_W01_P008,INST0121_N12_W01_D008,INST0121_N12_W01_P009,INST0121_N12_W01_D009,INST0121_N12_W01_P010,INST0121_N12_W01_D010,INST0121_N12_W01_P011,INST0121_N12_W01_D011
depot,0.0,55.217,96.036,26.872,30.344,20.581,109.245,14.077,41.092,35.155,41.349,20.581,0.0,20.581,96.036,41.092,41.349,30.344,41.092,35.155,26.872,30.344,18.744,18.744,109.245
INST0121_N12_W01_P000,55.217,0.0,40.846,63.444,77.525,40.063,54.132,50.28,70.903,57.646,20.342,40.063,55.217,40.063,40.846,70.903,20.342,77.525,70.903,57.646,63.444,77.525,69.129,69.129,54.132
INST0121_N12_W01_D000,96.036,40.846,0.0,101.402,116.61,79.708,14.722,90.122,106.091,94.442,57.687,79.708,96.036,79.708,0.0,106.091,57.687,116.61,106.091,94.442,101.402,116.61,109.164,109.164,14.722
INST0121_N12_W01_P001,26.872,63.444,101.402,0.0,16.399,24.4,115.807,16.791,14.239,61.821,43.952,24.4,26.872,24.4,101.402,14.239,43.952,16.399,14.239,61.821,0.0,16.399,16.35,16.35,115.807
INST0121_N12_W01_D001,30.344,77.525,116.61,16.399,0.0,37.477,130.825,27.544,23.199,64.172,58.923,37.477,30.344,37.477,116.61,23.199,58.923,0.0,23.199,64.172,16.399,0.0,11.735,11.735,130.825
INST0121_N12_W01_P002,20.581,40.063,79.708,24.4,37.477,0.0,93.687,10.426,35.196,46.518,22.455,0.0,20.581,0.0,79.708,35.196,22.455,37.477,35.196,46.518,24.4,37.477,29.48,29.48,93.687
INST0121_N12_W01_D002,109.245,54.132,14.722,115.807,130.825,93.687,0.0,104.062,120.757,104.634,71.944,93.687,109.245,93.687,14.722,120.757,71.944,130.825,120.757,104.634,115.807,130.825,123.055,123.055,0.0
INST0121_N12_W01_P003,14.077,50.28,90.122,16.791,27.544,10.426,104.062,0.0,29.954,46.592,32.833,10.426,14.077,10.426,90.122,29.954,32.833,27.544,29.954,46.592,16.791,27.544,19.054,19.054,104.062
INST0121_N12_W01_D003,41.092,70.903,106.091,14.239,23.199,35.196,120.757,29.954,0.0,75.918,50.611,35.196,41.092,35.196,106.091,0.0,50.611,23.199,0.0,75.918,14.239,23.199,28.769,28.769,120.757
INST0121_N12_W01_P004,35.155,57.646,94.442,61.821,64.172,46.518,104.634,46.592,75.918,0.0,55.918,46.518,35.155,46.518,94.442,75.918,55.918,64.172,75.918,0.0,61.821,64.172,52.507,52.507,104.634
INST0121_N12_W01_D004,41.349,20.342,57.687,43.952,58.923,22.455,71.944,32.833,50.611,55.918,0.0,22.455,41.349,22.455,57.687,50.611,0.0,58.923,50.611,55.918,43.952,58.923,51.842,51.842,71.944
INST0121_N12_W01_P005,20.581,40.063,79.708,24.4,37.477,0.0,93.687,10.426,35.196,46.518,22.455,0.0,20.581,0.0,79.708,35.196,22.455,37.477,35.196,46.518,24.4,37.477,29.48,29.48,93.687
INST0121_N12_W01_D005,0.0,55.217,96.036,26.872,30.344,20.581,109.245,14.077,41.092,35.155,41.349,20.581,0.0,20.581,96.036,41.092,41.349,30.344,41.092,35.155,26.872,30.344,18.744,18.744,109.245
INST0121_N12_W01_P006,20.581,40.063,79.708,24.4,37.477,0.0,93.687,10.426,35.196,46.518,22.455,0.0,20.581,0.0,79.708,35.196,22.455,37.477,35.196,46.518,24.4,37.477,29.48,29.48,93.687
INST0121_N12_W01_D006,96.036,40.846,0.0,101.402,116.61,79.708,14.722,90.122,106.091,94.442,57.687,79.708,96.036,79.708,0.0,106.091,57.687,116.61,106.091,94.442,101.402,116.61,109.164,109.164,14.722
INST0121_N12_W01_P007,41.092,70.903,106.091,14.239,23.199,35.196,120.757,29.954,0.0,75.918,50.611,35.196,41.092,35.196,106.091,0.0,50.611,23.199,0.0,75.918,14.239,23.199,28.769,28.769,120.757
INST0121_N12_W01_D007,41.349,20.342,57.687,43.952,58.923,22.455,71.944,32.833,50.611,55.918,0.0,22.455,41.349,22.455,57.687,50.611,0.0,58.923,50.611,55.918,43.952,58.923,51.842,51.842,71.944
INST0121_N12_W01_P008,30.344,77.525,116.61,16.399,0.0,37.477,130.825,27.544,23.199,64.172,58.923,37.477,30.344,37.477,116.61,23.199,58.923,0.0,23.199,64.172,16.399,0.0,11.735,11.735,130.825
INST0121_N12_W01_D008,41.092,70.903,106.091,14.239,23.199,35.196,120.757,29.954,0.0,75.918,50.611,35.196,41.092,35.196,106.091,0.0,50.611,23.199,0.0,75.918,14.239,23.199,28.769,28.769,120.757
INST0121_N12_W01_P009,35.155,57.646,94.442,61.821,64.172,46.518,104.634,46.592,75.918,0.0,55.918,46.518,35.155,46.518,94.442,75.918,55.918,64.172,75.918,0.0,61.821,64.172,52.507,52.507,104.634
INST0121_N12_W01_D009,26.872,63.444,101.402,0.0,16.399,24.4,115.807,16.791,14.239,61.821,43.952,24.4,26.872,24.4,101.402,14.239,43.952,16.399,14.239,61.821,0.0,16.399,16.35,16.35,115.807
INST0121_N12_W01_P010,30.344,77.525,116.61,16.399,0.0,37.477,130.825,27.544,23.199,64.172,58.923,37.477,30.344,37.477,116.61,23.199,58.923,0.0,23.199,64.172,16.399,0.0,11.735,11.735,130.825
INST0121_N12_W01_D010,18.744,69.129,109.164,16.35,11.735,29.48,123.055,19.054,28.769,52.507,51.842,29.48,18.744,29.48,109.164,28.769,51.842,11.735,28.769,52.507,16.35,11.735,0.0,0.0,123.055
