,depot,INST0106_N10_W16_P000,INST0106_N10_W16_D000,INST0106_N10_W16_P001,INST0106_N10_W16_D001,INST0106_N10_W16_P002,INST0106_N10_W16_D002,INST0106_N10_W16_P003,INST0106_N10_W16_D003,INST0106_N10_W16_P004,INST0106_N10_W16_D004,INST0106_N10_W16_P005,INST0106_N10_W16_D005,INST0106_N10_W16_P006,INST0106_N10_W16_D006,INST0106_N10_W16_P007,INST0106_N10_W16_D007,INST0106_N10_W16_P008,INST0106_N10_W16_D008,INST0106_N10_W16_P009,INST0106_N10_W16_D009
depot,0.0,20.581,41.092,35.155,14.077,35.155,96.036,41.092,35.155,41.092,26.872,41.349,20.581,18.744,14.077,30.344,0.0,35.155,41.349,41.349,96.036
INST0106_N10_W16_P000,20.581,0.0,35.196,46.518,10.426,46.518,79.708,35.196,46.518,35.196,24.4,22.455,0.0,29.48,10.426,37.477,20.581,46.518,22.455,22.455,79.708
INST0106_N10_W16_D000,41.092,35.196,0.0,75.918,29.954,75.918,106.091,0.0,75.918,0.0,14.239,50.611,35.196,28.769,29.954,23.199,41.092,75.918,50.611,50.611,106.091
INST0106_N10_W16_P001,35.155,46.518,75.918,0.0,46.592,0.0,94.442,75.918,0.0,75.918,61.821,55.918,46.518,52.507,46.592,64.172,35.155,0.0,55.918,55.918,94.442
INST0106_N10_W16_D001,14.077,10.426,29.954,46.592,0.0,46.592,90.122,29.954,46.592,29.954,16.791,32.833,10.426,19.054,0.0,27.544,14.077,46.592,32.833,32.833,90.122
INST0106_N10_W16_P002,35.155,46.518,75.918,0.0,46.592,0.0,94.442,75.918,0.0,75.918,61.821,55.918,46.518,52.507,46.592,64.172,35.155,0.0,55.918,55.918,94.442
INST0106_N10_W16_D002,96.036,79.708,106.091,94.442,90.122,94.442,0.0,106.091,94.442,106.091,101.402,57.687,79.708,109.164,90.122,116.61,96.036,94.442,57.687,57.687,0.0
INST0106_N10_W16_P003,41.092,35.196,0.0,75.918,29.954,75.918,106.091,0.0,75.918,0.0,14.239,50.611,35.196,28.769,29.954,23.199,41.092,75.918,50.611,50.611,106.091
INST0106_N10_W16_D003,35.155,46.518,75.918,0.0,46.592,0.0,94.442,75.918,0.0,75.918,61.821,55.918,46.518,52.507,46.592,64.172,35.155,0.0,55.918,55.918,94.442
INST0106_N10_W16_P004,41.092,35.196,0.0,75.918,29.954,75.918,106.091,0.0,75.918,0.0,14.239,50.611,35.196,28.769,29.954,23.199,41.092,75.918,50.611,50.611,106.091
INST0106_N10_W16_D004,26.872,24.4,14.239,61.821,16.791,61.821,101.402,14.239,61.821,14.239,0.0,43.952,24.4,16.35,16.791,16.399,26.872,61.821,43.952,43.952,101.402
INST0106_N10_W16_P005,41.349,22.455,50.611,55.918,32.833,55.918,57.687,50.611,55.918,50.611,43.952,0.0,22.455,51.842,32.833,58.923,41.349,55.918,0.0,0.0,57.687
INST0106_N10_W16_D005,20.581,0.0,35.196,46.518,10.426,46.518,79.708,35.196,46.518,35.196,24.4,22.455,0.0,29.48,10.426,37.477,20.581,46.518,22.455,22.455,79.708
INST0106_N10_W16_P006,18.744,29.48,28.769,52.507,19.054,52.507,109.164,28.769,52.507,28.769,16.35,51.842,29.48,0.0,19.054,11.735,18.744,52.507,51.842,51.842,109.164
INST0106_N10_W16_D006,14.077,10.426,29.954,46.592,0.0,46.592,90.122,29.954,46.592,29.954,16.791,32.833,10.426,19.054,0.0,27.544,14.077,46.592,32.833,32.833,90.122
INST0106_N10_W16_P007,30.344,37.477,23.199,64.172,27.544,64.172,116.61,23.199,64.172,23.199,16.399,58.923,37.477,11.735,27.544,0.0,30.344,64.172,58.923,58.923,116.61
INST0106_N10_W16_D007,0.0,20.581,41.092,35.155,14.077,35.155,96.036,41.092,35.155,41.092,26.872,41.349,20.581,18.744,14.077,30.344,0.0,35.155,41.349,41.349,96.036
INST0106_N10_W16_P008,35.155,46.518,75.918,0.0,46.592,0.0,94.442,75.918,0.0,75.918,61.821,55.918,46.518,52.507,46.592,64.172,35.155,0.0,55.918,55.918,94.442
INST0106_N10_W16_D008,41.349,22.455,50.611,55.918,32.833,55.918,57.687,50.611,55.918,50.611,43.952,0.0,22.455,51.842,32.833,58.923,41.349,55.918,0.0,0.0,57.687
INST0106_N10_W16_P009,41.349,22.455,50.611,55.918,32.833,55.918,57.687,50.611,55.918,50.611,43.952,0.0,22.455,51.842,32.833,58.923,41.349,55.918,0.0,0.0,57.687
INST0106_N10_W16_D009,96.036,79.708,106.091,94.442,90.122,94.442,0.0,106.091,94.442,106.091,101.402,57.687,79.708,109.164,90.122,116.61,96.036,94.442,57.687,57.687,0.0
