,depot,INST0217_N20_W07_P000,INST0217_N20_W07_D000,INST0217_N20_W07_P001,INST0217_N20_W07_D001,INST0217_N20_W07_P002,INST0217_N20_W07_D002,INST0217_N20_W07_P003,INST0217_N20_W07_D003,INST0217_N20_W07_P004,INST0217_N20_W07_D004,INST0217_N20_W07_P005,INST0217_N20_W07_D005,INST0217_N20_W07_P006,INST0217_N20_W07_D006,INST0217_N20_W07_P007,INST0217_N20_W07_D007,INST0217_N20_W07_P008,INST0217_N20_W07_D008,INST0217_N20_W07_P009,INST0217_N20_W07_D009,INST0217_N20_W07_P010,INST0217_N20_W07_D010,INST0217_N20_W07_P011,INST0217_N20_W07_D011,INST0217_N20_W07_P012,INST0217_N20_W07_D012,INST0217_N20_W07_P013,INST0217_N20_W07_D013,INST0217_N20_W07_P014,INST0217_N20_W07_D014,INST0217_N20_W07_P015,INST0217_N20_W07_D015,INST0217_N20_W07_P016,INST0217_N20_W07_D016,INST0217_N20_W07_P017,INST0217_N20_W07_D017,INST0217_N20_W07_P018,INST0217_N20_W07_D018,INST0217_N20_W07_P019,INST0217_N20_W07_D019
depot,0.0,0.0,20.081,53.818,20.02,77.687,75.699,20.56,53.818,20.56,124.166,20.02,75.699,17.435,29.878,77.687,53.818,53.818,20.56,20.56,0.0,0.0,20.081,17.435,75.699,20.081,17.435,20.081,124.166,53.818,75.699,20.02,141.804,75.699,20.081,53.818,29.878,0.0,17.435,53.818,20.081
INST0217_N20_W07_P000,0.0,0.0,20.081,53.818,20.02,77.687,75.699,20.56,53.818,20.56,124.166,20.02,75.699,17.435,29.878,77.687,53.818,53.818,20.56,20.56,0.0,0.0,20.081,17.435,75.699,20.081,17.435,20.081,124.166,53.818,75.699,20.02,141.804,75.699,20.081,53.818,29.878,0.0,17.435,53.818,20.081
INST0217_N20_W07_D000,20.081,20.081,0.0,72.151,14.369,94.929,78.578,33.728,72.151,33.728,142.787,14.369,78.578,28.407,45.89,94.929,72.151,72.151,33.728,33.728,20.081,20.081,0.0,28.407,78.578,0.0,28.407,0.0,142.787,72.151,78.578,14.369,160.194,78.578,0.0,72.151,45.89,20.081,28.407,72.151,0.0
INST0217_N20_W07_P001,53.818,53.818,72.151,0.0,63.48,24.909,68.471,40.204,0.0,40.204,70.637,63.48,68.471,61.972,27.496,24.909,0.0,0.0,40.204,40.204,53.818,53.818,72.151,61.972,68.471,72.151,61.972,72.151,70.637,0.0,68.471,63.48,88.095,68.471,72.151,0.0,27.496,53.818,61.972,0.0,72.151
INST0217_N20_W07_D001,20.02,20.02,14.369,63.48,0.0,84.648,64.294,23.331,63.48,23.331,133.671,0.0,64.294,35.228,36.098,84.648,63.48,63.48,23.331,23.331,20.02,20.02,14.369,35.228,64.294,14.369,35.228,14.369,133.671,63.48,64.294,0.0,150.679,64.294,14.369,63.48,36.098,20.02,35.228,63.48,14.369
INST0217_N20_W07_P002,77.687,77.687,94.929,24.909,84.648,0.0,70.587,61.567,24.909,61.567,50.015,84.648,70.587,86.82,49.056,0.0,24.909,24.909,61.567,61.567,77.687,77.687,94.929,86.82,70.587,94.929,86.82,94.929,50.015,24.909,70.587,84.648,66.284,70.587,94.929,24.909,49.056,77.687,86.82,24.909,94.929
INST0217_N20_W07_D002,75.699,75.699,78.578,68.471,64.294,70.587,0.0,57.051,68.471,57.051,115.643,64.294,0.0,92.961,56.961,70.587,68.471,68.471,57.051,57.051,75.699,75.699,78.578,92.961,0.0,78.578,92.961,78.578,115.643,68.471,0.0,64.294,128.123,0.0,78.578,68.471,56.961,75.699,92.961,68.471,78.578
INST0217_N20_W07_P003,20.56,20.56,33.728,40.204,23.331,61.567,57.051,0.0,40.204,0.0,110.354,23.331,57.051,36.679,12.767,61.567,40.204,40.204,0.0,0.0,20.56,20.56,33.728,36.679,57.051,33.728,36.679,33.728,110.354,40.204,57.051,23.331,127.423,57.051,33.728,40.204,12.767,20.56,36.679,40.204,33.728
INST0217_N20_W07_D003,53.818,53.818,72.151,0.0,63.48,24.909,68.471,40.204,0.0,40.204,70.637,63.48,68.471,61.972,27.496,24.909,0.0,0.0,40.204,40.204,53.818,53.818,72.151,61.972,68.471,72.151,61.972,72.151,70.637,0.0,68.471,63.48,88.095,68.471,72.151,0.0,27.496,53.818,61.972,0.0,72.151
INST0217_N20_W07_P004,20.56,20.56,33.728,40.204,23.331,61.567,57.051,0.0,40.204,0.0,110.354,23.331,57.051,36.679,12.767,61.567,40.204,40.204,0.0,0.0,20.56,20.56,33.728,36.679,57.051,33.728,36.679,33.728,110.354,40.204,57.051,23.331,127.423,57.051,33.728,40.204,12.767,20.56,36.679,40.204,33.728
