,depot,INST0245_N22_S05_P000,INST0245_N22_S05_D000,INST0245_N22_S05_P001,INST0245_N22_S05_D001,INST0245_N22_S05_P002,INST0245_N22_S05_D002,INST0245_N22_S05_P003,INST0245_N22_S05_D003,INST0245_N22_S05_P004,INST0245_N22_S05_D004,INST0245_N22_S05_P005,INST0245_N22_S05_D005,INST0245_N22_S05_P006,INST0245_N22_S05_D006,INST0245_N22_S05_P007,INST0245_N22_S05_D007,INST0245_N22_S05_P008,INST0245_N22_S05_D008,INST0245_N22_S05_P009,INST0245_N22_S05_D009,INST0245_N22_S05_P010,INST0245_N22_S05_D010,INST0245_N22_S05_P011,INST0245_N22_S05_D011,INST0245_N22_S05_P012,INST0245_N22_S05_D012,INST0245_N22_S05_P013,INST0245_N22_S05_D013,INST0245_N22_S05_P014,INST0245_N22_S05_D014,INST0245_N22_S05_P015,INST0245_N22_S05_D015,INST0245_N22_S05_P016,INST0245_N22_S05_D016,INST0245_N22_S05_P017,INST0245_N22_S05_D017,INST0245_N22_S05_P018,INST0245_N22_S05_D018,INST0245_N22_S05_P019,INST0245_N22_S05_D019,INST0245_N22_S05_P020,INST0245_N22_S05_D020,INST0245_N22_S05_P021,INST0245_N22_S05_D021
depot,0.0,0.0,10.881,68.319,19.629,21.478,97.061,61.394,55.179,36.46,10.881,55.179,36.46,50.526,21.478,68.319,61.394,61.394,36.46,19.629,36.46,68.319,97.061,5.477,36.46,21.478,36.46,61.394,36.46,0.0,10.881,50.526,5.477,19.629,10.881,50.526,36.46,50.526,5.477,68.319,0.0,21.478,36.46,0.0,68.319
INST0245_N22_S05_P000,0.0,0.0,10.881,68.319,19.629,21.478,97.061,61.394,55.179,36.46,10.881,55.179,36.46,50.526,21.478,68.319,61.394,61.394,36.46,19.629,36.46,68.319,97.061,5.477,36.46,21.478,36.46,61.394,36.46,0.0,10.881,50.526,5.477,19.629,10.881,50.526,36.46,50.526,5.477,68.319,0.0,21.478,36.46,0.0,68.319
INST0245_N22_S05_D000,10.881,10.881,0.0,58.699,25.439,32.298,89.072,54.565,65.452,44.339,0.0,65.452,44.339,43.838,32.298,58.699,54.565,54.565,44.339,25.439,44.339,58.699,89.072,7.008,44.339,32.298,44.339,54.565,44.339,10.881,0.0,43.838,7.008,25.439,0.0,43.838,44.339,43.838,7.008,58.699,10.881,32.298,44.339,10.881,58.699
INST0245_N22_S05_P001,68.319,68.319,58.699,0.0,83.416,88.975,93.449,77.092,113.511,102.776,58.699,113.511,102.776,71.865,88.975,0.0,77.092,77.092,102.776,83.416,102.776,0.0,93.449,62.898,102.776,88.975,102.776,77.092,102.776,68.319,58.699,71.865,62.898,83.416,58.699,71.865,102.776,71.865,62.898,0.0,68.319,88.975,102.776,68.319,0.0
INST0245_N22_S05_D001,19.629,19.629,25.439,83.416,0.0,21.517,91.902,55.171,59.019,19.488,25.439,59.019,19.488,45.002,21.517,83.416,55.171,55.171,19.488,0.0,19.488,83.416,91.902,24.239,19.488,21.517,19.488,55.171,19.488,19.629,25.439,45.002,24.239,0.0,25.439,45.002,19.488,45.002,24.239,83.416,19.629,21.517,19.488,19.629,83.416
INST0245_N22_S05_P002,21.478,21.478,32.298,88.975,21.517,0.0,112.576,75.908,37.715,24.954,32.298,37.715,24.954,65.388,0.0,88.975,75.908,75.908,24.954,21.517,24.954,88.975,112.576,26.505,24.954,0.0,24.954,75.908,24.954,21.478,32.298,65.388,26.505,21.517,32.298,65.388,24.954,65.388,26.505,88.975,21.478,0.0,24.954,21.478,88.975
INST0245_N22_S05_D002,97.061,97.061,89.072,93.449,91.902,112.576,0.0,36.733,150.208,103.829,89.072,150.208,103.829,47.206,112.576,93.449,36.733,36.733,103.829,91.902,103.829,93.449,0.0,95.708,103.829,112.576,103.829,36.733,103.829,97.061,89.072,47.206,95.708,91.902,89.072,47.206,103.829,47.206,95.708,93.449,97.061,112.576,103.829,97.061,93.449
INST0245_N22_S05_P003,61.394,61.394,54.565,77.092,55.171,75.908,36.733,0.0,113.587,67.889,54.565,113.587,67.889,10.867,75.908,77.092,0.0,0.0,67.889,55.171,67.889,77.092,36.733,60.745,67.889,75.908,67.889,0.0,67.889,61.394,54.565,10.867,60.745,55.171,54.565,10.867,67.889,10.867,60.745,77.092,61.394,75.908,67.889,61.394,77.092
INST0245_N22_S05_D003,55.179,55.179,65.452,113.511,59.019,37.715,150.208,113.587,0.0,54.903,65.452,0.0,54.903,103.002,37.715,113.511,113.587,113.587,54.903,59.019,54.903,113.511,150.208,58.521,54.903,37.715,54.903,113.587,54.903,55.179,65.452,103.002,58.521,59.019,65.452,103.002,54.903,103.002,58.521,113.511,55.179,37.715,54.903,55.179,113.511
INST0245_N22_S05_P004,36.46,36.46,44.339,102.776,19.488,24.954,103.829,67.889,54.903,0.0,44.339,54.903,0.0,59.003,24.954,102.776,67.889,67.889,0.0,19.488,0.0,102.776,103.829,41.761,0.0,24.954,0.0,67.889,0.0,36.46,44.339,59.003,41.761,19.488,44.339,59.003,0.0,59.003,41.761,102.776,36.46,24.954,0.0,36.46,102.776
