,depot,INST0125_N12_S05_P000,INST0125_N12_S05_D000,INST0125_N12_S05_P001,INST0125_N12_S05_D001,INST0125_N12_S05_P002,INST0125_N12_S05_D002,INST0125_N12_S05_P003,INST0125_N12_S05_D003,INST0125_N12_S05_P004,INST0125_N12_S05_D004,INST0125_N12_S05_P005,INST0125_N12_S05_D005,INST0125_N12_S05_P006,INST0125_N12_S05_D006,INST0125_N12_S05_P007,INST0125_N12_S05_D007,INST0125_N12_S05_P008,INST0125_N12_S05_D008,INST0125_N12_S05_P009,INST0125_N12_S05_D009,INST0125_N12_S05_P010,INST0125_N12_S05_D010,INST0125_N12_S05_P011,INST0125_N12_S05_D011
depot,0.0,26.3,6.707,0.0,26.3,83.656,75.176,61.869,160.028,26.3,0.0,6.707,61.869,67.566,13.324,24.036,160.028,26.3,6.707,24.036,13.324,6.707,83.656,0.0,67.566
INST0125_N12_S05_P000,26.3,0.0,32.455,26.3,0.0,108.949,92.948,80.067,177.944,0.0,26.3,32.455,80.067,46.181,39.549,26.348,177.944,0.0,32.455,26.348,39.549,32.455,108.949,26.3,46.181
INST0125_N12_S05_D000,6.707,32.455,0.0,6.707,32.455,77.018,74.382,61.135,158.604,32.455,6.707,0.0,61.135,71.658,8.581,29.68,158.604,32.455,0.0,29.68,8.581,0.0,77.018,6.707,71.658
INST0125_N12_S05_P001,0.0,26.3,6.707,0.0,26.3,83.656,75.176,61.869,160.028,26.3,0.0,6.707,61.869,67.566,13.324,24.036,160.028,26.3,6.707,24.036,13.324,6.707,83.656,0.0,67.566
INST0125_N12_S05_D001,26.3,0.0,32.455,26.3,0.0,108.949,92.948,80.067,177.944,0.0,26.3,32.455,80.067,46.181,39.549,26.348,177.944,0.0,32.455,26.348,39.549,32.455,108.949,26.3,46.181
INST0125_N12_S05_P002,83.656,108.949,77.018,83.656,108.949,0.0,94.398,87.998,151.155,108.949,83.656,77.018,87.998,138.993,71.877,102.142,151.155,108.949,77.018,102.142,71.877,77.018,0.0,83.656,138.993
INST0125_N12_S05_D002,75.176,92.948,74.382,75.176,92.948,94.398,0.0,13.307,85.211,92.948,75.176,74.382,13.307,139.086,66.815,67.557,85.211,92.948,74.382,67.557,66.815,74.382,94.398,75.176,139.086
INST0125_N12_S05_P003,61.869,80.067,61.135,61.869,80.067,87.998,13.307,0.0,98.41,80.067,61.869,61.135,0.0,126.125,53.679,55.105,98.41,80.067,61.135,55.105,53.679,61.135,87.998,61.869,126.125
INST0125_N12_S05_D003,160.028,177.944,158.604,160.028,177.944,151.155,85.211,98.41,0.0,177.944,160.028,158.604,98.41,224.124,150.553,152.108,0.0,177.944,158.604,152.108,150.553,158.604,151.155,160.028,224.124
INST0125_N12_S05_P004,26.3,0.0,32.455,26.3,0.0,108.949,92.948,80.067,177.944,0.0,26.3,32.455,80.067,46.181,39.549,26.348,177.944,0.0,32.455,26.348,39.549,32.455,108.949,26.3,46.181
INST0125_N12_S05_D004,0.0,26.3,6.707,0.0,26.3,83.656,75.176,61.869,160.028,26.3,0.0,6.707,61.869,67.566,13.324,24.036,160.028,26.3,6.707,24.036,13.324,6.707,83.656,0.0,67.566
INST0125_N12_S05_P005,6.707,32.455,0.0,6.707,32.455,77.018,74.382,61.135,158.604,32.455,6.707,0.0,61.135,71.658,8.581,29.68,158.604,32.455,0.0,29.68,8.581,0.0,77.018,6.707,71.658
INST0125_N12_S05_D005,61.869,80.067,61.135,61.869,80.067,87.998,13.307,0.0,98.41,80.067,61.869,61.135,0.0,126.125,53.679,55.105,98.41,80.067,61.135,55.105,53.679,61.135,87.998,61.869,126.125
INST0125_N12_S05_P006,67.566,46.181,71.658,67.566,46.181,138.993,139.086,126.125,224.124,46.181,67.566,71.658,126.125,0.0,80.145,72.268,224.124,46.181,71.658,72.268,80.145,71.658,138.993,67.566,0.0
INST0125_N12_S05_D006,13.324,39.549,8.581,13.324,39.549,71.877,66.815,53.679,150.553,39.549,13.324,8.581,53.679,80.145,0.0,31.149,150.553,39.549,8.581,31.149,0.0,8.581,71.877,13.324,80.145
INST0125_N12_S05_P007,24.036,26.348,29.68,24.036,26.348,102.142,67.557,55.105,152.108,26.348,24.036,29.68,55.105,72.268,31.149,0.0,152.108,26.348,29.68,0.0,31.149,29.68,102.142,24.036,72.268
INST0125_N12_S05_D007,160.028,177.944,158.604,160.028,177.944,151.155,85.211,98.41,0.0,177.944,160.028,158.604,98.41,224.124,150.553,152.108,0.0,177.944,158.604,152.108,150.553,158.604,151.155,160.028,224.124
INST0125_N12_S05_P008,26.3,0.0,32.455,26.3,0.0,108.949,92.948,80.067,177.944,0.0,26.3,32.455,80.067,46.181,39.549,26.348,177.944,0.0,32.455,26.348,39.549,32.455,108.949,26.3,46.181
INST0125_N12_S05_D008,6.707,32.455,0.0,6.707,32.455,77.018,74.382,61.135,158.604,32.455,6.707,0.0,61.135,71.658,8.581,29.68,158.604,32.455,0.0,29.68,8.581,0.0,77.018,6.707,71.658
INST0125_N12_S05_P009,24.036,26.348,29.68,24.036,26.348,102.142,67.557,55.105,152.108,26.348,24.036,29.68,55.105,72.268,31.149,0.0,152.108,26.348,29.68,0.0,31.149,29.68,102.142,24.036,72.268
INST0125_N12_S05_D009,13.324,39.549,8.581,13.324,39.549,71.877,66.815,53.679,150.553,39.549,13.324,8.581,53.679,80.145,0.0,31.149,150.553,39.549,8.581,31.149,0.0,8.581,71.877,13.324,80.145
INST0125_N12_S05_P010,6.707,32.455,0.0,6.707,32.455,77.018,74.382,61.135,158.604,32.455,6.707,0.0,61.135,71.658,8.581,29.68,158.604,32.455,0.0,29.68,8.581,0.0,77.018,6.707,71.658
INST0125_N12_S05_D010,83.656,108.949,77.018,83.656,108.949,0.0,94.398,87.998,151.155,108.949,83.656,77.018,87.998,138.993,71.877,102.142,151.155,108.949,77.018,102.142,71.877,77.018,0.0,83.656,138.993
INST0125_N12_S05_P011,0.0,26.3,6.707,0.0,26.3,83.656,75.176,61.869,160.028,26.3,0.0,6.707,61.869,67.566,13.324,24.036,160.028,26.3,6.707,24.036,13.324,6.707,83.656,0.0,67.566
INST0125_N12_S05_D011,67.566,46.181,71.658,67.566,46.181,138.993,139.086,126.125,224.124,46.181,67.566,71.658,126.125,0.0,80.145,72.268,224.124,46.181,71.658,72.268,80.145,71.658,138.993,67.566,0.0
