,depot,INST0159_N15_N09_P000,INST0159_N15_N09_D000,INST0159_N15_N09_P001,INST0159_N15_N09_D001,INST0159_N15_N09_P002,INST0159_N15_N09_D002,INST0159_N15_N09_P003,INST0159_N15_N09_D003,INST0159_N15_N09_P004,INST0159_N15_N09_D004,INST0159_N15_N09_P005,INST0159_N15_N09_D005,INST0159_N15_N09_P006,INST0159_N15_N09_D006,INST0159_N15_N09_P007,INST0159_N15_N09_D007,INST0159_N15_N09_P008,INST0159_N15_N09_D008,INST0159_N15_N09_P009,INST0159_N15_N09_D009,INST0159_N15_N09_P010,INST0159_N15_N09_D010,INST0159_N15_N09_P011,INST0159_N15_N09_D011,INST0159_N15_N09_P012,INST0159_N15_N09_D012,INST0159_N15_N09_P013,INST0159_N15_N09_D013,INST0159_N15_N09_P014,INST0159_N15_N09_D014
depot,0.0,35.653,28.616,35.653,46.06,48.052,153.371,35.653,28.616,46.06,81.232,48.052,81.232,27.111,48.052,35.653,122.247,0.0,35.653,0.0,35.653,27.111,44.646,27.111,44.646,34.294,0.0,35.653,153.371,27.111,0.0
INST0159_N15_N09_P000,35.653,0.0,35.534,0.0,30.471,40.266,122.278,0.0,35.534,30.471,47.339,40.266,47.339,18.283,40.266,0.0,93.214,35.653,0.0,35.653,0.0,18.283,27.709,18.283,27.709,18.791,35.653,0.0,122.278,18.283,35.653
INST0159_N15_N09_D000,28.616,35.534,0.0,35.534,23.353,20.683,132.815,35.534,0.0,23.353,81.17,20.683,81.17,17.254,20.683,35.534,100.436,28.616,35.534,28.616,35.534,17.254,23.461,17.254,23.461,19.671,28.616,35.534,132.815,17.254,28.616
INST0159_N15_N09_P001,35.653,0.0,35.534,0.0,30.471,40.266,122.278,0.0,35.534,30.471,47.339,40.266,47.339,18.283,40.266,0.0,93.214,35.653,0.0,35.653,0.0,18.283,27.709,18.283,27.709,18.791,35.653,0.0,122.278,18.283,35.653
INST0159_N15_N09_D001,46.06,30.471,23.353,30.471,0.0,11.436,109.689,30.471,23.353,0.0,66.572,11.436,66.572,20.176,11.436,30.471,77.555,46.06,30.471,46.06,30.471,20.176,2.788,20.176,2.788,13.759,46.06,30.471,109.689,20.176,46.06
INST0159_N15_N09_P002,48.052,40.266,20.683,40.266,11.436,0.0,113.909,40.266,20.683,11.436,77.99,0.0,77.99,26.126,0.0,40.266,81.189,48.052,40.266,48.052,40.266,26.126,13.942,26.126,13.942,21.8,48.052,40.266,113.909,26.126,48.052
INST0159_N15_N09_D002,153.371,122.278,132.815,122.278,109.689,113.909,0.0,122.278,132.815,109.689,104.379,113.909,104.379,126.352,113.909,122.278,32.884,153.371,122.278,153.371,122.278,126.352,110.207,126.352,110.207,119.262,153.371,122.278,0.0,126.352,153.371
INST0159_N15_N09_P003,35.653,0.0,35.534,0.0,30.471,40.266,122.278,0.0,35.534,30.471,47.339,40.266,47.339,18.283,40.266,0.0,93.214,35.653,0.0,35.653,0.0,18.283,27.709,18.283,27.709,18.791,35.653,0.0,122.278,18.283,35.653
INST0159_N15_N09_D003,28.616,35.534,0.0,35.534,23.353,20.683,132.815,35.534,0.0,23.353,81.17,20.683,81.17,17.254,20.683,35.534,100.436,28.616,35.534,28.616,35.534,17.254,23.461,17.254,23.461,19.671,28.616,35.534,132.815,17.254,28.616
INST0159_N15_N09_P004,46.06,30.471,23.353,30.471,0.0,11.436,109.689,30.471,23.353,0.0,66.572,11.436,66.572,20.176,11.436,30.471,77.555,46.06,30.471,46.06,30.471,20.176,2.788,20.176,2.788,13.759,46.06,30.471,109.689,20.176,46.06
INST0159_N15_N09_D004,81.232,47.339,81.17,47.339,66.572,77.99,104.379,47.339,81.17,66.572,0.0,77.99,0.0,64.45,77.99,47.339,85.106,81.232,47.339,81.232,47.339,64.45,64.236,64.45,64.236,61.784,81.232,47.339,104.379,64.45,81.232
INST0159_N15_N09_P005,48.052,40.266,20.683,40.266,11.436,0.0,113.909,40.266,20.683,11.436,77.99,0.0,77.99,26.126,0.0,40.266,81.189,48.052,40.266,48.052,40.266,26.126,13.942,26.126,13.942,21.8,48.052,40.266,113.909,26.126,48.052
INST0159_N15_N09_D005,81.232,47.339,81.17,47.339,66.572,77.99,104.379,47.339,81.17,66.572,0.0,77.99,0.0,64.45,77.99,47.339,85.106,81.232,47.339,81.232,47.339,64.45,64.236,64.45,64.236,61.784,81.232,47.339,104.379,64.45,81.232
INST0159_N15_N09_P006,27.111,18.283,17.254,18.283,20.176,26.126,126.352,18.283,17.254,20.176,64.45,26.126,64.45,0.0,26.126,18.283,95.136,27.111,18.283,27.111,18.283,0.0,18.229,0.0,18.229,7.201,27.111,18.283,126.352,0.0,27.111
INST0159_N15_N09_D006,48.052,40.266,20.683,40.266,11.436,0.0,113.909,40.266,20.683,11.436,77.99,0.0,77.99,26.126,0.0,40.266,81.189,48.052,40.266,48.052,40.266,26.126,13.942,26.126,13.942,21.8,48.052,40.266,113.909,26.126,48.052
INST0159_N15_N09_P007,35.653,0.0,35.534,0.0,30.471,40.266,122.278,0.0,35.534,30.471,47.339,40.266,47.339,18.283,40.266,0.0,93.214,35.653,0.0,35.653,0.0,18.283,27.709,18.283,27.709,18.791,35.653,0.0,122.278,18.283,35.653
INST0159_N15_N09_D007,122.247,93.214,100.436,93.214,77.555,81.189,32.884,93.214,100.436,77.555,85.106,81.189,85.106,95.136,81.189,93.214,0.0,122.247,93.214,122.247,93.214,95.136,78.292,95.136,78.292,87.958,122.247,93.214,32.884,95.136,122.247
INST0159_N15_N09_P008,0.0,35.653,28.616,35.653,46.06,48.052,153.371,35.653,28.616,46.06,81.232,48.052,81.232,27.111,48.052,35.653,122.247,0.0,35.653,0.0,35.653,27.111,44.646,27.111,44.646,34.294,0.0,35.653,153.371,27.111,0.0
