,depot,INST0247_N22_W07_P000,INST0247_N22_W07_D000,INST0247_N22_W07_P001,INST0247_N22_W07_D001,INST0247_N22_W07_P002,INST0247_N22_W07_D002,INST0247_N22_W07_P003,INST0247_N22_W07_D003,INST0247_N22_W07_P004,INST0247_N22_W07_D004,INST0247_N22_W07_P005,INST0247_N22_W07_D005,INST0247_N22_W07_P006,INST0247_N22_W07_D006,INST0247_N22_W07_P007,INST0247_N22_W07_D007,INST0247_N22_W07_P008,INST0247_N22_W07_D008,INST0247_N22_W07_P009,INST0247_N22_W07_D009,INST0247_N22_W07_P010,INST0247_N22_W07_D010,INST0247_N22_W07_P011,INST0247_N22_W07_D011,INST0247_N22_W07_P012,INST0247_N22_W07_D012,INST0247_N22_W07_P013,INST0247_N22_W07_D013,INST0247_N22_W07_P014,INST0247_N22_W07_D014,INST0247_N22_W07_P015,INST0247_N22_W07_D015,INST0247_N22_W07_P016,INST0247_N22_W07_D016,INST0247_N22_W07_P017,INST0247_N22_W07_D017,INST0247_N22_W07_P018,INST0247_N22_W07_D018,INST0247_N22_W07_P019,INST0247_N22_W07_D019,INST0247_N22_W07_P020,INST0247_N22_W07_D020,INST0247_N22_W07_P021,INST0247_N22_W07_D021
depot,0.0,32.905,20.56,75.699,0.0,20.56,75.699,29.878,17.435,0.0,141.804,0.0,29.878,20.56,29.878,29.878,124.166,17.435,75.699,75.699,53.818,20.081,32.905,77.687,20.02,17.435,20.081,29.878,20.02,29.878,141.804,75.699,124.166,32.905,53.818,17.435,149.638,53.818,20.081,32.905,29.878,53.818,124.166,77.687,20.56
INST0247_N22_W07_P000,32.905,0.0,17.238,43.046,32.905,17.238,43.046,25.201,50.317,32.905,133.769,32.905,25.201,17.238,25.201,25.201,117.595,50.317,43.046,43.046,50.631,37.156,0.0,67.612,22.951,50.317,37.156,25.201,22.951,25.201,133.769,43.046,117.595,0.0,50.631,50.317,180.319,50.631,37.156,0.0,25.201,50.631,117.595,67.612,17.238
INST0247_N22_W07_D000,20.56,17.238,0.0,57.051,20.56,0.0,57.051,12.767,36.679,20.56,127.423,20.56,12.767,0.0,12.767,12.767,110.354,36.679,57.051,57.051,40.204,33.728,17.238,61.567,23.331,36.679,33.728,12.767,23.331,12.767,127.423,57.051,110.354,17.238,40.204,36.679,163.588,40.204,33.728,17.238,12.767,40.204,110.354,61.567,0.0
INST0247_N22_W07_P001,75.699,43.046,57.051,0.0,75.699,57.051,0.0,56.961,92.961,75.699,128.123,75.699,56.961,57.051,56.961,56.961,115.643,92.961,0.0,0.0,68.471,78.578,43.046,70.587,64.294,92.961,78.578,56.961,64.294,56.961,128.123,0.0,115.643,43.046,68.471,92.961,219.073,68.471,78.578,43.046,56.961,68.471,115.643,70.587,57.051
INST0247_N22_W07_D001,0.0,32.905,20.56,75.699,0.0,20.56,75.699,29.878,17.435,0.0,141.804,0.0,29.878,20.56,29.878,29.878,124.166,17.435,75.699,75.699,53.818,20.081,32.905,77.687,20.02,17.435,20.081,29.878,20.02,29.878,141.804,75.699,124.166,32.905,53.818,17.435,149.638,53.818,20.081,32.905,29.878,53.818,124.166,77.687,20.56
INST0247_N22_W07_P002,20.56,17.238,0.0,57.051,20.56,0.0,57.051,12.767,36.679,20.56,127.423,20.56,12.767,0.0,12.767,12.767,110.354,36.679,57.051,57.051,40.204,33.728,17.238,61.567,23.331,36.679,33.728,12.767,23.331,12.767,127.423,57.051,110.354,17.238,40.204,36.679,163.588,40.204,33.728,17.238,12.767,40.204,110.354,61.567,0.0
INST0247_N22_W07_D002,75.699,43.046,57.051,0.0,75.699,57.051,0.0,56.961,92.961,75.699,128.123,75.699,56.961,57.051,56.961,56.961,115.643,92.961,0.0,0.0,68.471,78.578,43.046,70.587,64.294,92.961,78.578,56.961,64.294,56.961,128.123,0.0,115.643,43.046,68.471,92.961,219.073,68.471,78.578,43.046,56.961,68.471,115.643,70.587,57.051
INST0247_N22_W07_P003,29.878,25.201,12.767,56.961,29.878,12.767,56.961,0.0,43.098,29.878,114.719,29.878,0.0,12.767,0.0,0.0,97.602,43.098,56.961,56.961,27.496,45.89,25.201,49.056,36.098,43.098,45.89,0.0,36.098,0.0,114.719,56.961,97.602,25.201,27.496,43.098,162.13,27.496,45.89,25.201,0.0,27.496,97.602,49.056,12.767
INST0247_N22_W07_D003,17.435,50.317,36.679,92.961,17.435,36.679,92.961,43.098,0.0,17.435,147.866,17.435,43.098,36.679,43.098,43.098,129.907,0.0,92.961,92.961,61.972,28.407,50.317,86.82,35.228,0.0,28.407,43.098,35.228,43.098,147.866,92.961,129.907,50.317,61.972,0.0,133.358,61.972,28.407,50.317,43.098,61.972,129.907,86.82,36.679
INST0247_N22_W07_P004,0.0,32.905,20.56,75.699,0.0,20.56,75.699,29.878,17.435,0.0,141.804,0.0,29.878,20.56,29.878,29.878,124.166,17.435,75.699,75.699,53.818,20.081,32.905,77.687,20.02,17.435,20.081,29.878,20.02,29.878,141.804,75.699,124.166,32.905,53.818,17.435,149.638,53.818,20.081,32.905,29.878,53.818,124.166,77.687,20.56
