,depot,INST0218_N20_S08_P000,INST0218_N20_S08_D000,INST0218_N20_S08_P001,INST0218_N20_S08_D001,INST0218_N20_S08_P002,INST0218_N20_S08_D002,INST0218_N20_S08_P003,INST0218_N20_S08_D003,INST0218_N20_S08_P004,INST0218_N20_S08_D004,INST0218_N20_S08_P005,INST0218_N20_S08_D005,INST0218_N20_S08_P006,INST0218_N20_S08_D006,INST0218_N20_S08_P007,INST0218_N20_S08_D007,INST0218_N20_S08_P008,INST0218_N20_S08_D008,INST0218_N20_S08_P009,INST0218_N20_S08_D009,INST0218_N20_S08_P010,INST0218_N20_S08_D010,INST0218_N20_S08_P011,INST0218_N20_S08_D011,INST0218_N20_S08_P012,INST0218_N20_S08_D012,INST0218_N20_S08_P013,INST0218_N20_S08_D013,INST0218_N20_S08_P014,INST0218_N20_S08_D014,INST0218_N20_S08_P015,INST0218_N20_S08_D015,INST0218_N20_S08_P016,INST0218_N20_S08_D016,INST0218_N20_S08_P017,INST0218_N20_S08_D017,INST0218_N20_S08_P018,INST0218_N20_S08_D018,INST0218_N20_S08_P019,INST0218_N20_S08_D019
depot,0.0,32.455,71.658,61.135,77.018,29.68,117.194,8.581,6.707,8.581,77.018,77.018,61.135,74.382,77.018,6.707,71.658,77.018,29.68,29.68,6.707,77.018,71.658,6.707,29.68,51.136,32.455,61.135,0.0,71.658,8.581,29.68,6.707,29.68,77.018,61.135,0.0,71.658,8.581,74.382,51.136
INST0218_N20_S08_P000,32.455,0.0,46.181,80.067,108.949,26.348,137.848,39.549,26.3,39.549,108.949,108.949,80.067,92.948,108.949,26.3,46.181,108.949,26.348,26.348,26.3,108.949,46.181,26.3,26.348,30.556,0.0,80.067,32.455,46.181,39.549,26.348,26.3,26.348,108.949,80.067,32.455,46.181,39.549,92.948,30.556
INST0218_N20_S08_D000,71.658,46.181,0.0,126.125,138.993,72.268,183.928,80.145,67.566,80.145,138.993,138.993,126.125,139.086,138.993,67.566,0.0,138.993,72.268,72.268,67.566,138.993,0.0,67.566,72.268,67.228,46.181,126.125,71.658,0.0,80.145,72.268,67.566,72.268,138.993,126.125,71.658,0.0,80.145,139.086,67.228
INST0218_N20_S08_P001,61.135,80.067,126.125,0.0,87.998,55.105,57.803,53.679,61.869,53.679,87.998,87.998,0.0,13.307,87.998,61.869,126.125,87.998,55.105,55.105,61.869,87.998,126.125,61.869,55.105,72.248,80.067,0.0,61.135,126.125,53.679,55.105,61.869,55.105,87.998,0.0,61.135,126.125,53.679,13.307,72.248
INST0218_N20_S08_D001,77.018,108.949,138.993,87.998,0.0,102.142,114.428,71.877,83.656,71.877,0.0,0.0,87.998,94.398,0.0,83.656,138.993,0.0,102.142,102.142,83.656,0.0,138.993,83.656,102.142,125.848,108.949,87.998,77.018,138.993,71.877,102.142,83.656,102.142,0.0,87.998,77.018,138.993,71.877,94.398,125.848
INST0218_N20_S08_P002,29.68,26.348,72.268,55.105,102.142,0.0,112.533,31.149,24.036,31.149,102.142,102.142,55.105,67.557,102.142,24.036,72.268,102.142,0.0,0.0,24.036,102.142,72.268,24.036,0.0,23.863,26.348,55.105,29.68,72.268,31.149,0.0,24.036,0.0,102.142,55.105,29.68,72.268,31.149,67.557,23.863
INST0218_N20_S08_D002,117.194,137.848,183.928,57.803,114.428,112.533,0.0,109.068,118.85,109.068,114.428,114.428,57.803,44.98,114.428,118.85,183.928,114.428,112.533,112.533,118.85,114.428,183.928,118.85,112.533,127.137,137.848,57.803,117.194,183.928,109.068,112.533,118.85,112.533,114.428,57.803,117.194,183.928,109.068,44.98,127.137
INST0218_N20_S08_P003,8.581,39.549,80.145,53.679,71.877,31.149,109.068,0.0,13.324,0.0,71.877,71.877,53.679,66.815,71.877,13.324,80.145,71.877,31.149,31.149,13.324,71.877,80.145,13.324,31.149,54.293,39.549,53.679,8.581,80.145,0.0,31.149,13.324,31.149,71.877,53.679,8.581,80.145,0.0,66.815,54.293
INST0218_N20_S08_D003,6.707,26.3,67.566,61.869,83.656,24.036,118.85,13.324,0.0,13.324,83.656,83.656,61.869,75.176,83.656,0.0,67.566,83.656,24.036,24.036,0.0,83.656,67.566,0.0,24.036,44.645,26.3,61.869,6.707,67.566,13.324,24.036,0.0,24.036,83.656,61.869,6.707,67.566,13.324,75.176,44.645
INST0218_N20_S08_P004,8.581,39.549,80.145,53.679,71.877,31.149,109.068,0.0,13.324,0.0,71.877,71.877,53.679,66.815,71.877,13.324,80.145,71.877,31.149,31.149,13.324,71.877,80.145,13.324,31.149,54.293,39.549,53.679,8.581,80.145,0.0,31.149,13.324,31.149,71.877,53.679,8.581,80.145,0.0,66.815,54.293
