,depot,INST0042_N5_N12_P000,INST0042_N5_N12_D000,INST0042_N5_N12_P001,INST0042_N5_N12_D001,INST0042_N5_N12_P002,INST0042_N5_N12_D002,INST0042_N5_N12_P003,INST0042_N5_N12_D003,INST0042_N5_N12_P004,INST0042_N5_N12_D004
depot,0.0,49.306,114.14,23.01,37.312,23.01,57.966,49.306,23.01,37.312,101.428
INST0042_N5_N12_P000,49.306,0.0,99.415,26.694,14.003,26.694,95.498,0.0,26.694,14.003,56.35
INST0042_N5_N12_D000,114.14,99.415,0.0,107.703,94.965,107.703,104.211,99.415,107.703,94.965,79.694
INST0042_N5_N12_P001,23.01,26.694,107.703,0.0,16.848,0.0,75.654,26.694,0.0,16.848,81.208
INST0042_N5_N12_D001,37.312,14.003,94.965,16.848,0.0,16.848,81.517,14.003,16.848,0.0,64.653
INST0042_N5_N12_P002,23.01,26.694,107.703,0.0,16.848,0.0,75.654,26.694,0.0,16.848,81.208
INST0042_N5_N12_D002,57.966,95.498,104.211,75.654,81.517,75.654,0.0,95.498,75.654,81.517,131.605
INST0042_N5_N12_P003,49.306,0.0,99.415,26.694,14.003,26.694,95.498,0.0,26.694,14.003,56.35
INST0042_N5_N12_D003,23.01,26.694,107.703,0.0,16.848,0.0,75.654,26.694,0.0,16.848,81.208
INST0042_N5_N12_P004,37.312,14.003,94.965,16.848,0.0,16.848,81.517,14.003,16.848,0.0,64.653
INST0042_N5_N12_D004,101.428,56.35,79.694,81.208,64.653,81.208,131.605,56.35,81.208,64.653,0.0
