,depot,INST0213_N20_N03_P000,INST0213_N20_N03_D000,INST0213_N20_N03_P001,INST0213_N20_N03_D001,INST0213_N20_N03_P002,INST0213_N20_N03_D002,INST0213_N20_N03_P003,INST0213_N20_N03_D003,INST0213_N20_N03_P004,INST0213_N20_N03_D004,INST0213_N20_N03_P005,INST0213_N20_N03_D005,INST0213_N20_N03_P006,INST0213_N20_N03_D006,INST0213_N20_N03_P007,INST0213_N20_N03_D007,INST0213_N20_N03_P008,INST0213_N20_N03_D008,INST0213_N20_N03_P009,INST0213_N20_N03_D009,INST0213_N20_N03_P010,INST0213_N20_N03_D010,INST0213_N20_N03_P011,INST0213_N20_N03_D011,INST0213_N20_N03_P012,INST0213_N20_N03_D012,INST0213_N20_N03_P013,INST0213_N20_N03_D013,INST0213_N20_N03_P014,INST0213_N20_N03_D014,INST0213_N20_N03_P015,INST0213_N20_N03_D015,INST0213_N20_N03_P016,INST0213_N20_N03_D016,INST0213_N20_N03_P017,INST0213_N20_N03_D017,INST0213_N20_N03_P018,INST0213_N20_N03_D018,INST0213_N20_N03_P019,INST0213_N20_N03_D019
depot,0.0,77.555,13.759,52.8,30.471,13.759,23.353,20.176,52.8,2.788,11.436,66.572,30.471,20.176,11.436,77.555,13.759,46.06,11.436,0.0,66.572,23.353,135.971,52.8,109.689,66.572,77.555,77.555,30.471,11.436,2.788,11.436,52.8,2.788,13.759,23.353,30.471,2.788,20.176,30.471,46.06
INST0213_N20_N03_P000,77.555,0.0,87.958,65.084,93.214,87.958,100.436,95.136,65.084,78.292,81.189,85.106,93.214,95.136,81.189,0.0,87.958,122.247,81.189,77.555,85.106,100.436,206.878,65.084,32.884,85.106,0.0,0.0,93.214,81.189,78.292,81.189,65.084,78.292,87.958,100.436,93.214,78.292,95.136,93.214,122.247
INST0213_N20_N03_D000,13.759,87.958,0.0,66.32,18.791,0.0,19.671,7.201,66.32,11.477,21.8,61.784,18.791,7.201,21.8,87.958,0.0,34.294,21.8,13.759,61.784,19.671,132.823,66.32,119.262,61.784,87.958,87.958,18.791,21.8,11.477,21.8,66.32,11.477,0.0,19.671,18.791,11.477,7.201,18.791,34.294
INST0213_N20_N03_P001,52.8,65.084,66.32,0.0,82.833,66.32,64.86,71.779,0.0,55.435,46.019,107.477,82.833,71.779,46.019,65.084,66.32,93.371,46.019,52.8,107.477,64.86,149.304,0.0,95.428,107.477,65.084,65.084,82.833,46.019,55.435,46.019,0.0,55.435,66.32,64.86,82.833,55.435,71.779,82.833,93.371
INST0213_N20_N03_D001,30.471,93.214,18.791,82.833,0.0,18.791,35.534,18.283,82.833,27.709,40.266,47.339,0.0,18.283,40.266,93.214,18.791,35.653,40.266,30.471,47.339,35.534,143.5,82.833,122.278,47.339,93.214,93.214,0.0,40.266,27.709,40.266,82.833,27.709,18.791,35.534,0.0,27.709,18.283,0.0,35.653
INST0213_N20_N03_P002,13.759,87.958,0.0,66.32,18.791,0.0,19.671,7.201,66.32,11.477,21.8,61.784,18.791,7.201,21.8,87.958,0.0,34.294,21.8,13.759,61.784,19.671,132.823,66.32,119.262,61.784,87.958,87.958,18.791,21.8,11.477,21.8,66.32,11.477,0.0,19.671,18.791,11.477,7.201,18.791,34.294
INST0213_N20_N03_D002,23.353,100.436,19.671,64.86,35.534,19.671,0.0,17.254,64.86,23.461,20.683,81.17,35.534,17.254,20.683,100.436,19.671,28.616,20.683,23.353,81.17,0.0,113.8,64.86,132.815,81.17,100.436,100.436,35.534,20.683,23.461,20.683,64.86,23.461,19.671,0.0,35.534,23.461,17.254,35.534,28.616
INST0213_N20_N03_P003,20.176,95.136,7.201,71.779,18.283,7.201,17.254,0.0,71.779,18.229,26.126,64.45,18.283,0.0,26.126,95.136,7.201,27.111,26.126,20.176,64.45,17.254,127.973,71.779,126.352,64.45,95.136,95.136,18.283,26.126,18.229,26.126,71.779,18.229,7.201,17.254,18.283,18.229,0.0,18.283,27.111
INST0213_N20_N03_D003,52.8,65.084,66.32,0.0,82.833,66.32,64.86,71.779,0.0,55.435,46.019,107.477,82.833,71.779,46.019,65.084,66.32,93.371,46.019,52.8,107.477,64.86,149.304,0.0,95.428,107.477,65.084,65.084,82.833,46.019,55.435,46.019,0.0,55.435,66.32,64.86,82.833,55.435,71.779,82.833,93.371
INST0213_N20_N03_P004,2.788,78.292,11.477,55.435,27.709,11.477,23.461,18.229,55.435,0.0,13.942,64.236,27.709,18.229,13.942,78.292,11.477,44.646,13.942,2.788,64.236,23.461,136.742,55.435,110.207,64.236,78.292,78.292,27.709,13.942,0.0,13.942,55.435,0.0,11.477,23.461,27.709,0.0,18.229,27.709,44.646
INST0213_N20_N03_D004,11.436,81.189,21.8,46.019,40.266,21.8,20.683,26.126,46.019,13.942,0.0,77.99,40.266,26.126,0.0,81.189,21.8,48.052,0.0,11.436,77.99,20.683,128.231,46.019,113.909,77.99,81.189,81.189,40.266,0.0,13.942,0.0,46.019,13.942,21.8,20.683,40.266,13.942,26.126,40.266,48.052
