,depot,INST0064_N8_W04_P000,INST0064_N8_W04_D000,INST0064_N8_W04_P001,INST0064_N8_W04_D001,INST0064_N8_W04_P002,INST0064_N8_W04_D002,INST0064_N8_W04_P003,INST0064_N8_W04_D003,INST0064_N8_W04_P004,INST0064_N8_W04_D004,INST0064_N8_W04_P005,INST0064_N8_W04_D005,INST0064_N8_W04_P006,INST0064_N8_W04_D006,INST0064_N8_W04_P007,INST0064_N8_W04_D007
depot,0.0,71.944,120.757,14.722,123.055,0.0,93.687,71.944,123.055,54.132,115.807,54.132,120.757,71.944,115.807,54.132,130.825
INST0064_N8_W04_P000,71.944,0.0,50.611,57.687,51.842,71.944,22.455,0.0,51.842,20.342,43.952,20.342,50.611,0.0,43.952,20.342,58.923
INST0064_N8_W04_D000,120.757,50.611,0.0,106.091,28.769,120.757,35.196,50.611,28.769,70.903,14.239,70.903,0.0,50.611,14.239,70.903,23.199
INST0064_N8_W04_P001,14.722,57.687,106.091,0.0,109.164,14.722,79.708,57.687,109.164,40.846,101.402,40.846,106.091,57.687,101.402,40.846,116.61
INST0064_N8_W04_D001,123.055,51.842,28.769,109.164,0.0,123.055,29.48,51.842,0.0,69.129,16.35,69.129,28.769,51.842,16.35,69.129,11.735
INST0064_N8_W04_P002,0.0,71.944,120.757,14.722,123.055,0.0,93.687,71.944,123.055,54.132,115.807,54.132,120.757,71.944,115.807,54.132,130.825
INST0064_N8_W04_D002,93.687,22.455,35.196,79.708,29.48,93.687,0.0,22.455,29.48,40.063,24.4,40.063,35.196,22.455,24.4,40.063,37.477
INST0064_N8_W04_P003,71.944,0.0,50.611,57.687,51.842,71.944,22.455,0.0,51.842,20.342,43.952,20.342,50.611,0.0,43.952,20.342,58.923
INST0064_N8_W04_D003,123.055,51.842,28.769,109.164,0.0,123.055,29.48,51.842,0.0,69.129,16.35,69.129,28.769,51.842,16.35,69.129,11.735
INST0064_N8_W04_P004,54.132,20.342,70.903,40.846,69.129,54.132,40.063,20.342,69.129,0.0,63.444,0.0,70.903,20.342,63.444,0.0,77.525
INST0064_N8_W04_D004,115.807,43.952,14.239,101.402,16.35,115.807,24.4,43.952,16.35,63.444,0.0,63.444,14.239,43.952,0.0,63.444,16.399
INST0064_N8_W04_P005,54.132,20.342,70.903,40.846,69.129,54.132,40.063,20.342,69.129,0.0,63.444,0.0,70.903,20.342,63.444,0.0,77.525
INST0064_N8_W04_D005,120.757,50.611,0.0,106.091,28.769,120.757,35.196,50.611,28.769,70.903,14.239,70.903,0.0,50.611,14.239,70.903,23.199
INST0064_N8_W04_P006,71.944,0.0,50.611,57.687,51.842,71.944,22.455,0.0,51.842,20.342,43.952,20.342,50.611,0.0,43.952,20.342,58.923
INST0064_N8_W04_D006,115.807,43.952,14.239,101.402,16.35,115.807,24.4,43.952,16.35,63.444,0.0,63.444,14.239,43.952,0.0,63.444,16.399
INST0064_N8_W04_P007,54.132,20.342,70.903,40.846,69.129,54.132,40.063,20.342,69.129,0.0,63.444,0.0,70.903,20.342,63.444,0.0,77.525
INST0064_N8_W04_D007,130.825,58.923,23.199,116.61,11.735,130.825,37.477,58.923,11.735,77.525,16.399,77.525,23.199,58.923,16.399,77.525,0.0
