,depot,INST0081_N8_N21_P000,INST0081_N8_N21_D000,INST0081_N8_N21_P001,INST0081_N8_N21_D001,INST0081_N8_N21_P002,INST0081_N8_N21_D002,INST0081_N8_N21_P003,INST0081_N8_N21_D003,INST0081_N8_N21_P004,INST0081_N8_N21_D004,INST0081_N8_N21_P005,INST0081_N8_N21_D005,INST0081_N8_N21_P006,INST0081_N8_N21_D006,INST0081_N8_N21_P007,INST0081_N8_N21_D007
depot,0.0,23.461,100.436,23.353,64.86,35.534,64.86,28.616,113.8,20.683,64.86,23.461,81.17,64.86,132.815,23.353,20.683
INST0081_N8_N21_P000,23.461,0.0,78.292,2.788,55.435,27.709,55.435,44.646,136.742,13.942,55.435,0.0,64.236,55.435,110.207,2.788,13.942
INST0081_N8_N21_D000,100.436,78.292,0.0,77.555,65.084,93.214,65.084,122.247,206.878,81.189,65.084,78.292,85.106,65.084,32.884,77.555,81.189
INST0081_N8_N21_P001,23.353,2.788,77.555,0.0,52.8,30.471,52.8,46.06,135.971,11.436,52.8,2.788,66.572,52.8,109.689,0.0,11.436
INST0081_N8_N21_D001,64.86,55.435,65.084,52.8,0.0,82.833,0.0,93.371,149.304,46.019,0.0,55.435,107.477,0.0,95.428,52.8,46.019
INST0081_N8_N21_P002,35.534,27.709,93.214,30.471,82.833,0.0,82.833,35.653,143.5,40.266,82.833,27.709,47.339,82.833,122.278,30.471,40.266
INST0081_N8_N21_D002,64.86,55.435,65.084,52.8,0.0,82.833,0.0,93.371,149.304,46.019,0.0,55.435,107.477,0.0,95.428,52.8,46.019
INST0081_N8_N21_P003,28.616,44.646,122.247,46.06,93.371,35.653,93.371,0.0,110.202,48.052,93.371,44.646,81.232,93.371,153.371,46.06,48.052
INST0081_N8_N21_D003,113.8,136.742,206.878,135.971,149.304,143.5,149.304,110.202,0.0,128.231,149.304,136.742,190.666,149.304,239.676,135.971,128.231
INST0081_N8_N21_P004,20.683,13.942,81.189,11.436,46.019,40.266,46.019,48.052,128.231,0.0,46.019,13.942,77.99,46.019,113.909,11.436,0.0
INST0081_N8_N21_D004,64.86,55.435,65.084,52.8,0.0,82.833,0.0,93.371,149.304,46.019,0.0,55.435,107.477,0.0,95.428,52.8,46.019
INST0081_N8_N21_P005,23.461,0.0,78.292,2.788,55.435,27.709,55.435,44.646,136.742,13.942,55.435,0.0,64.236,55.435,110.207,2.788,13.942
INST0081_N8_N21_D005,81.17,64.236,85.106,66.572,107.477,47.339,107.477,81.232,190.666,77.99,107.477,64.236,0.0,107.477,104.379,66.572,77.99
INST0081_N8_N21_P006,64.86,55.435,65.084,52.8,0.0,82.833,0.0,93.371,149.304,46.019,0.0,55.435,107.477,0.0,95.428,52.8,46.019
INST0081_N8_N21_D006,132.815,110.207,32.884,109.689,95.428,122.278,95.428,153.371,239.676,113.909,95.428,110.207,104.379,95.428,0.0,109.689,113.909
INST0081_N8_N21_P007,23.353,2.788,77.555,0.0,52.8,30.471,52.8,46.06,135.971,11.436,52.8,2.788,66.572,52.8,109.689,0.0,11.436
INST0081_N8_N21_D007,20.683,13.942,81.189,11.436,46.019,40.266,46.019,48.052,128.231,0.0,46.019,13.942,77.99,46.019,113.909,11.436,0.0
