,depot,INST0065_N8_S05_P000,INST0065_N8_S05_D000,INST0065_N8_S05_P001,INST0065_N8_S05_D001,INST0065_N8_S05_P002,INST0065_N8_S05_D002,INST0065_N8_S05_P003,INST0065_N8_S05_D003,INST0065_N8_S05_P004,INST0065_N8_S05_D004,INST0065_N8_S05_P005,INST0065_N8_S05_D005,INST0065_N8_S05_P006,INST0065_N8_S05_D006,INST0065_N8_S05_P007,INST0065_N8_S05_D007
depot,0.0,26.3,118.85,0.0,118.85,67.566,44.645,61.869,67.566,13.324,160.028,75.176,13.324,26.3,0.0,83.656,44.645
INST0065_N8_S05_P000,26.3,0.0,137.848,26.3,137.848,46.181,30.556,80.067,46.181,39.549,177.944,92.948,39.549,0.0,26.3,108.949,30.556
INST0065_N8_S05_D000,118.85,137.848,0.0,118.85,0.0,183.928,127.137,57.803,183.928,109.068,41.594,44.98,109.068,137.848,118.85,114.428,127.137
INST0065_N8_S05_P001,0.0,26.3,118.85,0.0,118.85,67.566,44.645,61.869,67.566,13.324,160.028,75.176,13.324,26.3,0.0,83.656,44.645
INST0065_N8_S05_D001,118.85,137.848,0.0,118.85,0.0,183.928,127.137,57.803,183.928,109.068,41.594,44.98,109.068,137.848,118.85,114.428,127.137
INST0065_N8_S05_P002,67.566,46.181,183.928,67.566,183.928,0.0,67.228,126.125,0.0,80.145,224.124,139.086,80.145,46.181,67.566,138.993,67.228
INST0065_N8_S05_D002,44.645,30.556,127.137,44.645,127.137,67.228,0.0,72.248,67.228,54.293,164.482,83.129,54.293,30.556,44.645,125.848,0.0
INST0065_N8_S05_P003,61.869,80.067,57.803,61.869,57.803,126.125,72.248,0.0,126.125,53.679,98.41,13.307,53.679,80.067,61.869,87.998,72.248
INST0065_N8_S05_D003,67.566,46.181,183.928,67.566,183.928,0.0,67.228,126.125,0.0,80.145,224.124,139.086,80.145,46.181,67.566,138.993,67.228
INST0065_N8_S05_P004,13.324,39.549,109.068,13.324,109.068,80.145,54.293,53.679,80.145,0.0,150.553,66.815,0.0,39.549,13.324,71.877,54.293
INST0065_N8_S05_D004,160.028,177.944,41.594,160.028,41.594,224.124,164.482,98.41,224.124,150.553,0.0,85.211,150.553,177.944,160.028,151.155,164.482
INST0065_N8_S05_P005,75.176,92.948,44.98,75.176,44.98,139.086,83.129,13.307,139.086,66.815,85.211,0.0,66.815,92.948,75.176,94.398,83.129
INST0065_N8_S05_D005,13.324,39.549,109.068,13.324,109.068,80.145,54.293,53.679,80.145,0.0,150.553,66.815,0.0,39.549,13.324,71.877,54.293
INST0065_N8_S05_P006,26.3,0.0,137.848,26.3,137.848,46.181,30.556,80.067,46.181,39.549,177.944,92.948,39.549,0.0,26.3,108.949,30.556
INST0065_N8_S05_D006,0.0,26.3,118.85,0.0,118.85,67.566,44.645,61.869,67.566,13.324,160.028,75.176,13.324,26.3,0.0,83.656,44.645
INST0065_N8_S05_P007,83.656,108.949,114.428,83.656,114.428,138.993,125.848,87.998,138.993,71.877,151.155,94.398,71.877,108.949,83.656,0.0,125.848
INST0065_N8_S05_D007,44.645,30.556,127.137,44.645,127.137,67.228,0.0,72.248,67.228,54.293,164.482,83.129,54.293,30.556,44.645,125.848,0.0
