,depot,INST0225_N20_N15_P000,INST0225_N20_N15_D000,INST0225_N20_N15_P001,INST0225_N20_N15_D001,INST0225_N20_N15_P002,INST0225_N20_N15_D002,INST0225_N20_N15_P003,INST0225_N20_N15_D003,INST0225_N20_N15_P004,INST0225_N20_N15_D004,INST0225_N20_N15_P005,INST0225_N20_N15_D005,INST0225_N20_N15_P006,INST0225_N20_N15_D006,INST0225_N20_N15_P007,INST0225_N20_N15_D007,INST0225_N20_N15_P008,INST0225_N20_N15_D008,INST0225_N20_N15_P009,INST0225_N20_N15_D009,INST0225_N20_N15_P010,INST0225_N20_N15_D010,INST0225_N20_N15_P011,INST0225_N20_N15_D011,INST0225_N20_N15_P012,INST0225_N20_N15_D012,INST0225_N20_N15_P013,INST0225_N20_N15_D013,INST0225_N20_N15_P014,INST0225_N20_N15_D014,INST0225_N20_N15_P015,INST0225_N20_N15_D015,INST0225_N20_N15_P016,INST0225_N20_N15_D016,INST0225_N20_N15_P017,INST0225_N20_N15_D017,INST0225_N20_N15_P018,INST0225_N20_N15_D018,INST0225_N20_N15_P019,INST0225_N20_N15_D019
depot,0.0,41.993,75.654,75.654,24.088,8.817,81.208,81.208,8.817,14.053,75.654,0.0,23.01,23.01,41.993,24.088,26.694,75.654,81.208,14.053,146.035,75.654,14.053,26.694,81.208,75.654,23.01,8.817,14.053,75.654,41.993,14.053,75.654,24.088,107.703,14.053,81.208,0.0,24.088,41.993,16.848
INST0225_N20_N15_P000,41.993,0.0,99.467,99.467,35.041,33.197,114.332,114.332,33.197,54.669,99.467,41.993,43.657,43.657,0.0,35.041,58.839,99.467,114.332,54.669,187.802,99.467,54.669,58.839,114.332,99.467,43.657,33.197,54.669,99.467,0.0,54.669,99.467,35.041,149.69,54.669,114.332,41.993,35.041,0.0,56.4
INST0225_N20_N15_D000,75.654,99.467,0.0,0.0,99.392,78.919,131.605,131.605,78.919,78.656,0.0,75.654,57.966,57.966,99.467,99.392,95.498,0.0,131.605,78.656,127.812,0.0,78.656,95.498,131.605,0.0,57.966,78.919,78.656,0.0,99.467,78.656,0.0,99.392,104.211,78.656,131.605,75.654,99.392,99.467,81.517
INST0225_N20_N15_P001,75.654,99.467,0.0,0.0,99.392,78.919,131.605,131.605,78.919,78.656,0.0,75.654,57.966,57.966,99.467,99.392,95.498,0.0,131.605,78.656,127.812,0.0,78.656,95.498,131.605,0.0,57.966,78.919,78.656,0.0,99.467,78.656,0.0,99.392,104.211,78.656,131.605,75.654,99.392,99.467,81.517
INST0225_N20_N15_D001,24.088,35.041,99.392,99.392,0.0,21.127,79.42,79.42,21.127,28.727,99.392,24.088,43.511,43.511,35.041,0.0,25.326,99.392,79.42,28.727,162.63,99.392,28.727,25.326,79.42,99.392,43.511,21.127,28.727,99.392,35.041,28.727,99.392,0.0,122.983,28.727,79.42,24.088,0.0,35.041,28.595
INST0225_N20_N15_P002,8.817,33.197,78.919,78.919,21.127,0.0,87.893,87.893,0.0,22.322,78.919,8.817,22.387,22.387,33.197,21.127,31.992,78.919,87.893,22.322,154.717,78.919,22.322,31.992,87.893,78.919,22.387,0.0,22.322,78.919,33.197,22.322,78.919,21.127,116.493,22.322,87.893,8.817,21.127,33.197,24.705
INST0225_N20_N15_D002,81.208,114.332,131.605,131.605,79.42,87.893,0.0,0.0,87.893,67.88,131.605,81.208,101.428,101.428,114.332,79.42,56.35,131.605,0.0,67.88,116.851,131.605,67.88,56.35,0.0,131.605,101.428,87.893,67.88,131.605,114.332,67.88,131.605,79.42,79.694,67.88,0.0,81.208,79.42,114.332,64.653
INST0225_N20_N15_P003,81.208,114.332,131.605,131.605,79.42,87.893,0.0,0.0,87.893,67.88,131.605,81.208,101.428,101.428,114.332,79.42,56.35,131.605,0.0,67.88,116.851,131.605,67.88,56.35,0.0,131.605,101.428,87.893,67.88,131.605,114.332,67.88,131.605,79.42,79.694,67.88,0.0,81.208,79.42,114.332,64.653
INST0225_N20_N15_D003,8.817,33.197,78.919,78.919,21.127,0.0,87.893,87.893,0.0,22.322,78.919,8.817,22.387,22.387,33.197,21.127,31.992,78.919,87.893,22.322,154.717,78.919,22.322,31.992,87.893,78.919,22.387,0.0,22.322,78.919,33.197,22.322,78.919,21.127,116.493,22.322,87.893,8.817,21.127,33.197,24.705
INST0225_N20_N15_P004,14.053,54.669,78.656,78.656,28.727,22.322,67.88,67.88,22.322,0.0,78.656,14.053,33.929,33.929,54.669,28.727,17.072,78.656,67.88,0.0,134.948,78.656,0.0,17.072,67.88,78.656,33.929,22.322,0.0,78.656,54.669,0.0,78.656,28.727,95.867,0.0,67.88,14.053,28.727,54.669,3.413
INST0225_N20_N15_D004,75.654,99.467,0.0,0.0,99.392,78.919,131.605,131.605,78.919,78.656,0.0,75.654,57.966,57.966,99.467,99.392,95.498,0.0,131.605,78.656,127.812,0.0,78.656,95.498,131.605,0.0,57.966,78.919,78.656,0.0,99.467,78.656,0.0,99.392,104.211,78.656,131.605,75.654,99.392,99.467,81.517
INST0225_N20_N15_P005,0.0,41.993,75.654,75.654,24.088,8.817,81.208,81.208,8.817,14.053,75.654,0.0,23.01,23.01,41.993,24.088,26.694,75.654,81.208,14.053,146.035,75.654,14.053,26.694,81.208,75.654,23.01,8.817,14.053,75.654,41.993,14.053,75.654,24.088,107.703,14.053,81.208,0.0,24.088,41.993,16.848
INST0225_N20_N15_D005,23.01,43.657,57.966,57.966,43.511,22.387,101.428,101.428,22.387,33.929,57.966,23.01,0.0,0.0,43.657,43.511,49.306,57.966,101.428,33.929,149.729,57.966,33.929,49.306,101.428,57.966,0.0,22.387,33.929,57.966,43.657,33.929,57.966,43.511,114.14,33.929,101.428,23.01,43.511,43.657,37.312
