,depot,INST0177_N15_N27_P000,INST0177_N15_N27_D000,INST0177_N15_N27_P001,INST0177_N15_N27_D001,INST0177_N15_N27_P002,INST0177_N15_N27_D002,INST0177_N15_N27_P003,INST0177_N15_N27_D003,INST0177_N15_N27_P004,INST0177_N15_N27_D004,INST0177_N15_N27_P005,INST0177_N15_N27_D005,INST0177_N15_N27_P006,INST0177_N15_N27_D006,INST0177_N15_N27_P007,INST0177_N15_N27_D007,INST0177_N15_N27_P008,INST0177_N15_N27_D008,INST0177_N15_N27_P009,INST0177_N15_N27_D009,INST0177_N15_N27_P010,INST0177_N15_N27_D010,INST0177_N15_N27_P011,INST0177_N15_N27_D011,INST0177_N15_N27_P012,INST0177_N15_N27_D012,INST0177_N15_N27_P013,INST0177_N15_N27_D013,INST0177_N15_N27_P014,INST0177_N15_N27_D014
depot,0.0,18.791,40.266,18.791,122.278,18.791,30.471,18.283,131.141,27.709,0.0,18.791,122.278,35.534,18.283,47.339,0.0,40.266,82.833,35.534,30.471,18.791,47.339,27.709,122.278,35.653,18.791,47.339,40.266,35.653,30.471
INST0177_N15_N27_P000,18.791,0.0,21.8,0.0,119.262,0.0,13.759,7.201,134.365,11.477,18.791,0.0,119.262,19.671,7.201,61.784,18.791,21.8,66.32,19.671,13.759,0.0,61.784,11.477,119.262,34.294,0.0,61.784,21.8,34.294,13.759
INST0177_N15_N27_D000,40.266,21.8,0.0,21.8,113.909,21.8,11.436,26.126,145.998,13.942,40.266,21.8,113.909,20.683,26.126,77.99,40.266,0.0,46.019,20.683,11.436,21.8,77.99,13.942,113.909,48.052,21.8,77.99,0.0,48.052,11.436
INST0177_N15_N27_P001,18.791,0.0,21.8,0.0,119.262,0.0,13.759,7.201,134.365,11.477,18.791,0.0,119.262,19.671,7.201,61.784,18.791,21.8,66.32,19.671,13.759,0.0,61.784,11.477,119.262,34.294,0.0,61.784,21.8,34.294,13.759
INST0177_N15_N27_D001,122.278,119.262,113.909,119.262,0.0,119.262,109.689,126.352,252.84,110.207,122.278,119.262,0.0,132.815,126.352,104.379,122.278,113.909,95.428,132.815,109.689,119.262,104.379,110.207,0.0,153.371,119.262,104.379,113.909,153.371,109.689
INST0177_N15_N27_P002,18.791,0.0,21.8,0.0,119.262,0.0,13.759,7.201,134.365,11.477,18.791,0.0,119.262,19.671,7.201,61.784,18.791,21.8,66.32,19.671,13.759,0.0,61.784,11.477,119.262,34.294,0.0,61.784,21.8,34.294,13.759
INST0177_N15_N27_D002,30.471,13.759,11.436,13.759,109.689,13.759,0.0,20.176,145.919,2.788,30.471,13.759,109.689,23.353,20.176,66.572,30.471,11.436,52.8,23.353,0.0,13.759,66.572,2.788,109.689,46.06,13.759,66.572,11.436,46.06,0.0
INST0177_N15_N27_P003,18.283,7.201,26.126,7.201,126.352,7.201,20.176,0.0,127.166,18.229,18.283,7.201,126.352,17.254,0.0,64.45,18.283,26.126,71.779,17.254,20.176,7.201,64.45,18.229,126.352,27.111,7.201,64.45,26.126,27.111,20.176
INST0177_N15_N27_D003,131.141,134.365,145.998,134.365,252.84,134.365,145.919,127.166,0.0,144.673,131.141,134.365,252.84,125.319,127.166,165.945,131.141,145.998,187.822,125.319,145.919,134.365,165.945,144.673,252.84,100.108,134.365,165.945,145.998,100.108,145.919
INST0177_N15_N27_P004,27.709,11.477,13.942,11.477,110.207,11.477,2.788,18.229,144.673,0.0,27.709,11.477,110.207,23.461,18.229,64.236,27.709,13.942,55.435,23.461,2.788,11.477,64.236,0.0,110.207,44.646,11.477,64.236,13.942,44.646,2.788
INST0177_N15_N27_D004,0.0,18.791,40.266,18.791,122.278,18.791,30.471,18.283,131.141,27.709,0.0,18.791,122.278,35.534,18.283,47.339,0.0,40.266,82.833,35.534,30.471,18.791,47.339,27.709,122.278,35.653,18.791,47.339,40.266,35.653,30.471
INST0177_N15_N27_P005,18.791,0.0,21.8,0.0,119.262,0.0,13.759,7.201,134.365,11.477,18.791,0.0,119.262,19.671,7.201,61.784,18.791,21.8,66.32,19.671,13.759,0.0,61.784,11.477,119.262,34.294,0.0,61.784,21.8,34.294,13.759
INST0177_N15_N27_D005,122.278,119.262,113.909,119.262,0.0,119.262,109.689,126.352,252.84,110.207,122.278,119.262,0.0,132.815,126.352,104.379,122.278,113.909,95.428,132.815,109.689,119.262,104.379,110.207,0.0,153.371,119.262,104.379,113.909,153.371,109.689
INST0177_N15_N27_P006,35.534,19.671,20.683,19.671,132.815,19.671,23.353,17.254,125.319,23.461,35.534,19.671,132.815,0.0,17.254,81.17,35.534,20.683,64.86,0.0,23.353,19.671,81.17,23.461,132.815,28.616,19.671,81.17,20.683,28.616,23.353
INST0177_N15_N27_D006,18.283,7.201,26.126,7.201,126.352,7.201,20.176,0.0,127.166,18.229,18.283,7.201,126.352,17.254,0.0,64.45,18.283,26.126,71.779,17.254,20.176,7.201,64.45,18.229,126.352,27.111,7.201,64.45,26.126,27.111,20.176
INST0177_N15_N27_P007,47.339,61.784,77.99,61.784,104.379,61.784,66.572,64.45,165.945,64.236,47.339,61.784,104.379,81.17,64.45,0.0,47.339,77.99,107.477,81.17,66.572,61.784,0.0,64.236,104.379,81.232,61.784,0.0,77.99,81.232,66.572
INST0177_N15_N27_D007,0.0,18.791,40.266,18.791,122.278,18.791,30.471,18.283,131.141,27.709,0.0,18.791,122.278,35.534,18.283,47.339,0.0,40.266,82.833,35.534,30.471,18.791,47.339,27.709,122.278,35.653,18.791,47.339,40.266,35.653,30.471
INST0177_N15_N27_P008,40.266,21.8,0.0,21.8,113.909,21.8,11.436,26.126,145.998,13.942,40.266,21.8,113.909,20.683,26.126,77.99,40.266,0.0,46.019,20.683,11.436,21.8,77.99,13.942,113.909,48.052,21.8,77.99,0.0,48.052,11.436
INST0177_N15_N27_D008,82.833,66.32,46.019,66.32,95.428,66.32,52.8,71.779,187.822,55.435,82.833,66.32,95.428,64.86,71.779,107.477,82.833,46.019,0.0,64.86,52.8,66.32,107.477,55.435,95.428,93.371,66.32,107.477,46.019,93.371,52.8
INST0177_N15_N27_P009,35.534,19.671,20.683,19.671,132.815,19.671,23.353,17.254,125.319,23.461,35.534,19.671,132.815,0.0,17.254,81.17,35.534,20.683,64.86,0.0,23.353,19.671,81.17,23.461,132.815,28.616,19.671,81.17,20.683,28.616,23.353
INST0177_N15_N27_D009,30.471,13.759,11.436,13.759,109.689,13.759,0.0,20.176,145.919,2.788,30.471,13.759,109.689,23.353,20.176,66.572,30.471,11.436,52.8,23.353,0.0,13.759,66.572,2.788,109.689,46.06,13.759,66.572,11.436,46.06,0.0
INST0177_N15_N27_P010,18.791,0.0,21.8,0.0,119.262,0.0,13.759,7.201,134.365,11.477,18.791,0.0,119.262,19.671,7.201,61.784,18.791,21.8,66.32,19.671,13.759,0.0,61.784,11.477,119.262,34.294,0.0,61.784,21.8,34.294,13.759
INST0177_N15_N27_D010,47.339,61.784,77.99,61.784,104.379,61.784,66.572,64.45,165.945,64.236,47.339,61.784,104.379,81.17,64.45,0.0,47.339,77.99,107.477,81.17,66.572,61.784,0.0,64.236,104.379,81.232,61.784,0.0,77.99,81.232,66.572
INST0177_N15_N27_P011,27.709,11.477,13.942,11.477,110.207,11.477,2.788,18.229,144.673,0.0,27.709,11.477,110.207,23.461,18.229,64.236,27.709,13.942,55.435,23.461,2.788,11.477,64.236,0.0,110.207,44.646,11.477,64.236,13.942,44.646,2.788
INST0177_N15_N27_D011,122.278,119.262,113.909,119.262,0.0,119.262,109.689,126.352,252.84,110.207,122.278,119.262,0.0,132.815,126.352,104.379,122.278,113.909,95.428,132.815,109.689,119.262,104.379,110.207,0.0,153.371,119.262,104.379,113.909,153.371,109.689
INST0177_N15_N27_P012,35.653,34.294,48.052,34.294,153.371,34.294,46.06,27.111,100.108,44.646,35.653,34.294,153.371,28.616,27.111,81.232,35.653,48.052,93.371,28.616,46.06,34.294,81.232,44.646,153.371,0.0,34.294,81.232,48.052,0.0,46.06
INST0177_N15_N27_D012,18.791,0.0,21.8,0.0,119.262,0.0,13.759,7.201,134.365,11.477,18.791,0.0,119.262,19.671,7.201,61.784,18.791,21.8,66.32,19.671,13.759,0.0,61.784,11.477,119.262,34.294,0.0,61.784,21.8,34.294,13.759
INST0177_N15_N27_P013,47.339,61.784,77.99,61.784,104.379,61.784,66.572,64.45,165.945,64.236,47.339,61.784,104.379,81.17,64.45,0.0,47.339,77.99,107.477,81.17,66.572,61.784,0.0,64.236,104.379,81.232,61.784,0.0,77.99,81.232,66.572
INST0177_N15_N27_D013,40.266,21.8,0.0,21.8,113.909,21.8,11.436,26.126,145.998,13.942,40.266,21.8,113.909,20.683,26.126,77.99,40.266,0.0,46.019,20.683,11.436,21.8,77.99,13.942,113.909,48.052,21.8,77.99,0.0,48.052,11.436
INST0177_N15_N27_P014,35.653,34.294,48.052,34.294,153.371,34.294,46.06,27.111,100.108,44.646,35.653,34.294,153.371,28.616,27.111,81.232,35.653,48.052,93.371,28.616,46.06,34.294,81.232,44.646,153.371,0.0,34.294,81.232,48.052,0.0,46.06
INST0177_N15_N27_D014,30.471,13.759,11.436,13.759,109.689,13.759,0.0,20.176,145.919,2.788,30.471,13.759,109.689,23.353,20.176,66.572,30.471,11.436,52.8,23.353,0.0,13.759,66.572,2.788,109.689,46.06,13.759,66.572,11.436,46.06,0.0
