,depot,INST0262_N22_W22_P000,INST0262_N22_W22_D000,INST0262_N22_W22_P001,INST0262_N22_W22_D001,INST0262_N22_W22_P002,INST0262_N22_W22_D002,INST0262_N22_W22_P003,INST0262_N22_W22_D003,INST0262_N22_W22_P004,INST0262_N22_W22_D004,INST0262_N22_W22_P005,INST0262_N22_W22_D005,INST0262_N22_W22_P006,INST0262_N22_W22_D006,INST0262_N22_W22_P007,INST0262_N22_W22_D007,INST0262_N22_W22_P008,INST0262_N22_W22_D008,INST0262_N22_W22_P009,INST0262_N22_W22_D009,INST0262_N22_W22_P010,INST0262_N22_W22_D010,INST0262_N22_W22_P011,INST0262_N22_W22_D011,INST0262_N22_W22_P012,INST0262_N22_W22_D012,INST0262_N22_W22_P013,INST0262_N22_W22_D013,INST0262_N22_W22_P014,INST0262_N22_W22_D014,INST0262_N22_W22_P015,INST0262_N22_W22_D015,INST0262_N22_W22_P016,INST0262_N22_W22_D016,INST0262_N22_W22_P017,INST0262_N22_W22_D017,INST0262_N22_W22_P018,INST0262_N22_W22_D018,INST0262_N22_W22_P019,INST0262_N22_W22_D019,INST0262_N22_W22_P020,INST0262_N22_W22_D020,INST0262_N22_W22_P021,INST0262_N22_W22_D021
depot,0.0,63.444,14.239,16.399,61.821,26.872,61.821,0.0,61.821,61.821,0.0,26.872,0.0,16.791,63.444,16.791,115.807,16.791,16.35,26.872,61.821,24.4,63.444,61.821,16.399,26.872,16.35,63.444,24.4,63.444,14.239,0.0,101.402,16.399,43.952,16.791,101.402,63.444,16.791,61.821,16.791,26.872,63.444,16.35,63.444
INST0262_N22_W22_P000,63.444,0.0,70.903,77.525,57.646,55.217,57.646,63.444,57.646,57.646,63.444,55.217,63.444,50.28,0.0,50.28,54.132,50.28,69.129,55.217,57.646,40.063,0.0,57.646,77.525,55.217,69.129,0.0,40.063,0.0,70.903,63.444,40.846,77.525,20.342,50.28,40.846,0.0,50.28,57.646,50.28,55.217,0.0,69.129,0.0
INST0262_N22_W22_D000,14.239,70.903,0.0,23.199,75.918,41.092,75.918,14.239,75.918,75.918,14.239,41.092,14.239,29.954,70.903,29.954,120.757,29.954,28.769,41.092,75.918,35.196,70.903,75.918,23.199,41.092,28.769,70.903,35.196,70.903,0.0,14.239,106.091,23.199,50.611,29.954,106.091,70.903,29.954,75.918,29.954,41.092,70.903,28.769,70.903
INST0262_N22_W22_P001,16.399,77.525,23.199,0.0,64.172,30.344,64.172,16.399,64.172,64.172,16.399,30.344,16.399,27.544,77.525,27.544,130.825,27.544,11.735,30.344,64.172,37.477,77.525,64.172,0.0,30.344,11.735,77.525,37.477,77.525,23.199,16.399,116.61,0.0,58.923,27.544,116.61,77.525,27.544,64.172,27.544,30.344,77.525,11.735,77.525
INST0262_N22_W22_D001,61.821,57.646,75.918,64.172,0.0,35.155,0.0,61.821,0.0,0.0,61.821,35.155,61.821,46.592,57.646,46.592,104.634,46.592,52.507,35.155,0.0,46.518,57.646,0.0,64.172,35.155,52.507,57.646,46.518,57.646,75.918,61.821,94.442,64.172,55.918,46.592,94.442,57.646,46.592,0.0,46.592,35.155,57.646,52.507,57.646
INST0262_N22_W22_P002,26.872,55.217,41.092,30.344,35.155,0.0,35.155,26.872,35.155,35.155,26.872,0.0,26.872,14.077,55.217,14.077,109.245,14.077,18.744,0.0,35.155,20.581,55.217,35.155,30.344,0.0,18.744,55.217,20.581,55.217,41.092,26.872,96.036,30.344,41.349,14.077,96.036,55.217,14.077,35.155,14.077,0.0,55.217,18.744,55.217
INST0262_N22_W22_D002,61.821,57.646,75.918,64.172,0.0,35.155,0.0,61.821,0.0,0.0,61.821,35.155,61.821,46.592,57.646,46.592,104.634,46.592,52.507,35.155,0.0,46.518,57.646,0.0,64.172,35.155,52.507,57.646,46.518,57.646,75.918,61.821,94.442,64.172,55.918,46.592,94.442,57.646,46.592,0.0,46.592,35.155,57.646,52.507,57.646
INST0262_N22_W22_P003,0.0,63.444,14.239,16.399,61.821,26.872,61.821,0.0,61.821,61.821,0.0,26.872,0.0,16.791,63.444,16.791,115.807,16.791,16.35,26.872,61.821,24.4,63.444,61.821,16.399,26.872,16.35,63.444,24.4,63.444,14.239,0.0,101.402,16.399,43.952,16.791,101.402,63.444,16.791,61.821,16.791,26.872,63.444,16.35,63.444
INST0262_N22_W22_D003,61.821,57.646,75.918,64.172,0.0,35.155,0.0,61.821,0.0,0.0,61.821,35.155,61.821,46.592,57.646,46.592,104.634,46.592,52.507,35.155,0.0,46.518,57.646,0.0,64.172,35.155,52.507,57.646,46.518,57.646,75.918,61.821,94.442,64.172,55.918,46.592,94.442,57.646,46.592,0.0,46.592,35.155,57.646,52.507,57.646
INST0262_N22_W22_P004,61.821,57.646,75.918,64.172,0.0,35.155,0.0,61.821,0.0,0.0,61.821,35.155,61.821,46.592,57.646,46.592,104.634,46.592,52.507,35.155,0.0,46.518,57.646,0.0,64.172,35.155,52.507,57.646,46.518,57.646,75.918,61.821,94.442,64.172,55.918,46.592,94.442,57.646,46.592,0.0,46.592,35.155,57.646,52.507,57.646
INST0262_N22_W22_D004,0.0,63.444,14.239,16.399,61.821,26.872,61.821,0.0,61.821,61.821,0.0,26.872,0.0,16.791,63.444,16.791,115.807,16.791,16.35,26.872,61.821,24.4,63.444,61.821,16.399,26.872,16.35,63.444,24.4,63.444,14.239,0.0,101.402,16.399,43.952,16.791,101.402,63.444,16.791,61.821,16.791,26.872,63.444,16.35,63.444
INST0262_N22_W22_P005,26.872,55.217,41.092,30.344,35.155,0.0,35.155,26.872,35.155,35.155,26.872,0.0,26.872,14.077,55.217,14.077,109.245,14.077,18.744,0.0,35.155,20.581,55.217,35.155,30.344,0.0,18.744,55.217,20.581,55.217,41.092,26.872,96.036,30.344,41.349,14.077,96.036,55.217,14.077,35.155,14.077,0.0,55.217,18.744,55.217
INST0262_N22_W22_D005,0.0,63.444,14.239,16.399,61.821,26.872,61.821,0.0,61.821,61.821,0.0,26.872,0.0,16.791,63.444,16.791,115.807,16.791,16.35,26.872,61.821,24.4,63.444,61.821,16.399,26.872,16.35,63.444,24.4,63.444,14.239,0.0,101.402,16.399,43.952,16.791,101.402,63.444,16.791,61.821,16.791,26.872,63.444,16.35,63.444
INST0262_N22_W22_P006,16.791,50.28,29.954,27.544,46.592,14.077,46.592,16.791,46.592,46.592,16.791,14.077,16.791,0.0,50.28,0.0,104.062,0.0,19.054,14.077,46.592,10.426,50.28,46.592,27.544,14.077,19.054,50.28,10.426,50.28,29.954,16.791,90.122,27.544,32.833,0.0,90.122,50.28,0.0,46.592,0.0,14.077,50.28,19.054,50.28
INST0262_N22_W22_D006,63.444,0.0,70.903,77.525,57.646,55.217,57.646,63.444,57.646,57.646,63.444,55.217,63.444,50.28,0.0,50.28,54.132,50.28,69.129,55.217,57.646,40.063,0.0,57.646,77.525,55.217,69.129,0.0,40.063,0.0,70.903,63.444,40.846,77.525,20.342,50.28,40.846,0.0,50.28,57.646,50.28,55.217,0.0,69.129,0.0
INST0262_N22_W22_P007,16.791,50.28,29.954,27.544,46.592,14.077,46.592,16.791,46.592,46.592,16.791,14.077,16.791,0.0,50.28,0.0,104.062,0.0,19.054,14.077,46.592,10.426,50.28,46.592,27.544,14.077,19.054,50.28,10.426,50.28,29.954,16.791,90.122,27.544,32.833,0.0,90.122,50.28,0.0,46.592,0.0,14.077,50.28,19.054,50.28
INST0262_N22_W22_D007,115.807,54.132,120.757,130.825,104.634,109.245,104.634,115.807,104.634,104.634,115.807,109.245,115.807,104.062,54.132,104.062,0.0,104.062,123.055,109.245,104.634,93.687,54.132,104.634,130.825,109.245,123.055,54.132,93.687,54.132,120.757,115.807,14.722,130.825,71.944,104.062,14.722,54.132,104.062,104.634,104.062,109.245,54.132,123.055,54.132
INST0262_N22_W22_P008,16.791,50.28,29.954,27.544,46.592,14.077,46.592,16.791,46.592,46.592,16.791,14.077,16.791,0.0,50.28,0.0,104.062,0.0,19.054,14.077,46.592,10.426,50.28,46.592,27.544,14.077,19.054,50.28,10.426,50.28,29.954,16.791,90.122,27.544,32.833,0.0,90.122,50.28,0.0,46.592,0.0,14.077,50.28,19.054,50.28
INST0262_N22_W22_D008,16.35,69.129,28.769,11.735,52.507,18.744,52.507,16.35,52.507,52.507,16.35,18.744,16.35,19.054,69.129,19.054,123.055,19.054,0.0,18.744,52.507,29.48,69.129,52.507,11.735,18.744,0.0,69.129,29.48,69.129,28.769,16.35,109.164,11.735,51.842,19.054,109.164,69.129,19.054,52.507,19.054,18.744,69.129,0.0,69.129
INST0262_N22_W22_P009,26.872,55.217,41.092,30.344,35.155,0.0,35.155,26.872,35.155,35.155,26.872,0.0,26.872,14.077,55.217,14.077,109.245,14.077,18.744,0.0,35.155,20.581,55.217,35.155,30.344,0.0,18.744,55.217,20.581,55.217,41.092,26.872,96.036,30.344,41.349,14.077,96.036,55.217,14.077,35.155,14.077,0.0,55.217,18.744,55.217
INST0262_N22_W22_D009,61.821,57.646,75.918,64.172,0.0,35.155,0.0,61.821,0.0,0.0,61.821,35.155,61.821,46.592,57.646,46.592,104.634,46.592,52.507,35.155,0.0,46.518,57.646,0.0,64.172,35.155,52.507,57.646,46.518,57.646,75.918,61.821,94.442,64.172,55.918,46.592,94.442,57.646,46.592,0.0,46.592,35.155,57.646,52.507,57.646
INST0262_N22_W22_P010,24.4,40.063,35.196,37.477,46.518,20.581,46.518,24.4,46.518,46.518,24.4,20.581,24.4,10.426,40.063,10.426,93.687,10.426,29.48,20.581,46.518,0.0,40.063,46.518,37.477,20.581,29.48,40.063,0.0,40.063,35.196,24.4,79.708,37.477,22.455,10.426,79.708,40.063,10.426,46.518,10.426,20.581,40.063,29.48,40.063
INST0262_N22_W22_D010,63.444,0.0,70.903,77.525,57.646,55.217,57.646,63.444,57.646,57.646,63.444,55.217,63.444,50.28,0.0,50.28,54.132,50.28,69.129,55.217,57.646,40.063,0.0,57.646,77.525,55.217,69.129,0.0,40.063,0.0,70.903,63.444,40.846,77.525,20.342,50.28,40.846,0.0,50.28,57.646,50.28,55.217,0.0,69.129,0.0
INST0262_N22_W22_P011,61.821,57.646,75.918,64.172,0.0,35.155,0.0,61.821,0.0,0.0,61.821,35.155,61.821,46.592,57.646,46.592,104.634,46.592,52.507,35.155,0.0,46.518,57.646,0.0,64.172,35.155,52.507,57.646,46.518,57.646,75.918,61.821,94.442,64.172,55.918,46.592,94.442,57.646,46.592,0.0,46.592,35.155,57.646,52.507,57.646
