,depot,INST0207_N18_N27_P000,INST0207_N18_N27_D000,INST0207_N18_N27_P001,INST0207_N18_N27_D001,INST0207_N18_N27_P002,INST0207_N18_N27_D002,INST0207_N18_N27_P003,INST0207_N18_N27_D003,INST0207_N18_N27_P004,INST0207_N18_N27_D004,INST0207_N18_N27_P005,INST0207_N18_N27_D005,INST0207_N18_N27_P006,INST0207_N18_N27_D006,INST0207_N18_N27_P007,INST0207_N18_N27_D007,INST0207_N18_N27_P008,INST0207_N18_N27_D008,INST0207_N18_N27_P009,INST0207_N18_N27_D009,INST0207_N18_N27_P010,INST0207_N18_N27_D010,INST0207_N18_N27_P011,INST0207_N18_N27_D011,INST0207_N18_N27_P012,INST0207_N18_N27_D012,INST0207_N18_N27_P013,INST0207_N18_N27_D013,INST0207_N18_N27_P014,INST0207_N18_N27_D014,INST0207_N18_N27_P015,INST0207_N18_N27_D015,INST0207_N18_N27_P016,INST0207_N18_N27_D016,INST0207_N18_N27_P017,INST0207_N18_N27_D017
depot,0.0,18.791,35.534,18.283,82.833,18.283,35.534,30.471,18.791,0.0,93.214,30.471,47.339,35.534,27.709,35.653,18.791,35.653,18.791,0.0,18.791,0.0,40.266,18.283,143.5,18.283,27.709,18.283,30.471,18.283,27.709,47.339,35.653,40.266,35.653,47.339,18.791
INST0207_N18_N27_P000,18.791,0.0,19.671,7.201,66.32,7.201,19.671,13.759,0.0,18.791,87.958,13.759,61.784,19.671,11.477,34.294,0.0,34.294,0.0,18.791,0.0,18.791,21.8,7.201,132.823,7.201,11.477,7.201,13.759,7.201,11.477,61.784,34.294,21.8,34.294,61.784,0.0
INST0207_N18_N27_D000,35.534,19.671,0.0,17.254,64.86,17.254,0.0,23.353,19.671,35.534,100.436,23.353,81.17,0.0,23.461,28.616,19.671,28.616,19.671,35.534,19.671,35.534,20.683,17.254,113.8,17.254,23.461,17.254,23.353,17.254,23.461,81.17,28.616,20.683,28.616,81.17,19.671
INST0207_N18_N27_P001,18.283,7.201,17.254,0.0,71.779,0.0,17.254,20.176,7.201,18.283,95.136,20.176,64.45,17.254,18.229,27.111,7.201,27.111,7.201,18.283,7.201,18.283,26.126,0.0,127.973,0.0,18.229,0.0,20.176,0.0,18.229,64.45,27.111,26.126,27.111,64.45,7.201
INST0207_N18_N27_D001,82.833,66.32,64.86,71.779,0.0,71.779,64.86,52.8,66.32,82.833,65.084,52.8,107.477,64.86,55.435,93.371,66.32,93.371,66.32,82.833,66.32,82.833,46.019,71.779,149.304,71.779,55.435,71.779,52.8,71.779,55.435,107.477,93.371,46.019,93.371,107.477,66.32
INST0207_N18_N27_P002,18.283,7.201,17.254,0.0,71.779,0.0,17.254,20.176,7.201,18.283,95.136,20.176,64.45,17.254,18.229,27.111,7.201,27.111,7.201,18.283,7.201,18.283,26.126,0.0,127.973,0.0,18.229,0.0,20.176,0.0,18.229,64.45,27.111,26.126,27.111,64.45,7.201
INST0207_N18_N27_D002,35.534,19.671,0.0,17.254,64.86,17.254,0.0,23.353,19.671,35.534,100.436,23.353,81.17,0.0,23.461,28.616,19.671,28.616,19.671,35.534,19.671,35.534,20.683,17.254,113.8,17.254,23.461,17.254,23.353,17.254,23.461,81.17,28.616,20.683,28.616,81.17,19.671
INST0207_N18_N27_P003,30.471,13.759,23.353,20.176,52.8,20.176,23.353,0.0,13.759,30.471,77.555,0.0,66.572,23.353,2.788,46.06,13.759,46.06,13.759,30.471,13.759,30.471,11.436,20.176,135.971,20.176,2.788,20.176,0.0,20.176,2.788,66.572,46.06,11.436,46.06,66.572,13.759
INST0207_N18_N27_D003,18.791,0.0,19.671,7.201,66.32,7.201,19.671,13.759,0.0,18.791,87.958,13.759,61.784,19.671,11.477,34.294,0.0,34.294,0.0,18.791,0.0,18.791,21.8,7.201,132.823,7.201,11.477,7.201,13.759,7.201,11.477,61.784,34.294,21.8,34.294,61.784,0.0
INST0207_N18_N27_P004,0.0,18.791,35.534,18.283,82.833,18.283,35.534,30.471,18.791,0.0,93.214,30.471,47.339,35.534,27.709,35.653,18.791,35.653,18.791,0.0,18.791,0.0,40.266,18.283,143.5,18.283,27.709,18.283,30.471,18.283,27.709,47.339,35.653,40.266,35.653,47.339,18.791
INST0207_N18_N27_D004,93.214,87.958,100.436,95.136,65.084,95.136,100.436,77.555,87.958,93.214,0.0,77.555,85.106,100.436,78.292,122.247,87.958,122.247,87.958,93.214,87.958,93.214,81.189,95.136,206.878,95.136,78.292,95.136,77.555,95.136,78.292,85.106,122.247,81.189,122.247,85.106,87.958
