,depot,INST0094_N10_W04_P000,INST0094_N10_W04_D000,INST0094_N10_W04_P001,INST0094_N10_W04_D001,INST0094_N10_W04_P002,INST0094_N10_W04_D002,INST0094_N10_W04_P003,INST0094_N10_W04_D003,INST0094_N10_W04_P004,INST0094_N10_W04_D004,INST0094_N10_W04_P005,INST0094_N10_W04_D005,INST0094_N10_W04_P006,INST0094_N10_W04_D006,INST0094_N10_W04_P007,INST0094_N10_W04_D007,INST0094_N10_W04_P008,INST0094_N10_W04_D008,INST0094_N10_W04_P009,INST0094_N10_W04_D009
depot,0.0,66.284,88.095,66.284,18.026,0.0,127.423,0.0,88.095,66.284,160.194,88.095,160.194,66.284,147.866,88.095,128.123,18.026,133.769,18.026,66.284
INST0094_N10_W04_P000,66.284,0.0,24.909,0.0,50.015,66.284,61.567,66.284,24.909,0.0,94.929,24.909,94.929,0.0,86.82,24.909,70.587,50.015,67.612,50.015,0.0
INST0094_N10_W04_D000,88.095,24.909,0.0,24.909,70.637,88.095,40.204,88.095,0.0,24.909,72.151,0.0,72.151,24.909,61.972,0.0,68.471,70.637,50.631,70.637,24.909
INST0094_N10_W04_P001,66.284,0.0,24.909,0.0,50.015,66.284,61.567,66.284,24.909,0.0,94.929,24.909,94.929,0.0,86.82,24.909,70.587,50.015,67.612,50.015,0.0
INST0094_N10_W04_D001,18.026,50.015,70.637,50.015,0.0,18.026,110.354,18.026,70.637,50.015,142.787,70.637,142.787,50.015,129.907,70.637,115.643,0.0,117.595,0.0,50.015
INST0094_N10_W04_P002,0.0,66.284,88.095,66.284,18.026,0.0,127.423,0.0,88.095,66.284,160.194,88.095,160.194,66.284,147.866,88.095,128.123,18.026,133.769,18.026,66.284
INST0094_N10_W04_D002,127.423,61.567,40.204,61.567,110.354,127.423,0.0,127.423,40.204,61.567,33.728,40.204,33.728,61.567,36.679,40.204,57.051,110.354,17.238,110.354,61.567
INST0094_N10_W04_P003,0.0,66.284,88.095,66.284,18.026,0.0,127.423,0.0,88.095,66.284,160.194,88.095,160.194,66.284,147.866,88.095,128.123,18.026,133.769,18.026,66.284
INST0094_N10_W04_D003,88.095,24.909,0.0,24.909,70.637,88.095,40.204,88.095,0.0,24.909,72.151,0.0,72.151,24.909,61.972,0.0,68.471,70.637,50.631,70.637,24.909
INST0094_N10_W04_P004,66.284,0.0,24.909,0.0,50.015,66.284,61.567,66.284,24.909,0.0,94.929,24.909,94.929,0.0,86.82,24.909,70.587,50.015,67.612,50.015,0.0
INST0094_N10_W04_D004,160.194,94.929,72.151,94.929,142.787,160.194,33.728,160.194,72.151,94.929,0.0,72.151,0.0,94.929,28.407,72.151,78.578,142.787,37.156,142.787,94.929
INST0094_N10_W04_P005,88.095,24.909,0.0,24.909,70.637,88.095,40.204,88.095,0.0,24.909,72.151,0.0,72.151,24.909,61.972,0.0,68.471,70.637,50.631,70.637,24.909
INST0094_N10_W04_D005,160.194,94.929,72.151,94.929,142.787,160.194,33.728,160.194,72.151,94.929,0.0,72.151,0.0,94.929,28.407,72.151,78.578,142.787,37.156,142.787,94.929
INST0094_N10_W04_P006,66.284,0.0,24.909,0.0,50.015,66.284,61.567,66.284,24.909,0.0,94.929,24.909,94.929,0.0,86.82,24.909,70.587,50.015,67.612,50.015,0.0
INST0094_N10_W04_D006,147.866,86.82,61.972,86.82,129.907,147.866,36.679,147.866,61.972,86.82,28.407,61.972,28.407,86.82,0.0,61.972,92.961,129.907,50.317,129.907,86.82
INST0094_N10_W04_P007,88.095,24.909,0.0,24.909,70.637,88.095,40.204,88.095,0.0,24.909,72.151,0.0,72.151,24.909,61.972,0.0,68.471,70.637,50.631,70.637,24.909
INST0094_N10_W04_D007,128.123,70.587,68.471,70.587,115.643,128.123,57.051,128.123,68.471,70.587,78.578,68.471,78.578,70.587,92.961,68.471,0.0,115.643,43.046,115.643,70.587
INST0094_N10_W04_P008,18.026,50.015,70.637,50.015,0.0,18.026,110.354,18.026,70.637,50.015,142.787,70.637,142.787,50.015,129.907,70.637,115.643,0.0,117.595,0.0,50.015
INST0094_N10_W04_D008,133.769,67.612,50.631,67.612,117.595,133.769,17.238,133.769,50.631,67.612,37.156,50.631,37.156,67.612,50.317,50.631,43.046,117.595,0.0,117.595,67.612
INST0094_N10_W04_P009,18.026,50.015,70.637,50.015,0.0,18.026,110.354,18.026,70.637,50.015,142.787,70.637,142.787,50.015,129.907,70.637,115.643,0.0,117.595,0.0,50.015
INST0094_N10_W04_D009,66.284,0.0,24.909,0.0,50.015,66.284,61.567,66.284,24.909,0.0,94.929,24.909,94.929,0.0,86.82,24.909,70.587,50.015,67.612,50.015,0.0
