,depot,INST0242_N22_S02_P000,INST0242_N22_S02_D000,INST0242_N22_S02_P001,INST0242_N22_S02_D001,INST0242_N22_S02_P002,INST0242_N22_S02_D002,INST0242_N22_S02_P003,INST0242_N22_S02_D003,INST0242_N22_S02_P004,INST0242_N22_S02_D004,INST0242_N22_S02_P005,INST0242_N22_S02_D005,INST0242_N22_S02_P006,INST0242_N22_S02_D006,INST0242_N22_S02_P007,INST0242_N22_S02_D007,INST0242_N22_S02_P008,INST0242_N22_S02_D008,INST0242_N22_S02_P009,INST0242_N22_S02_D009,INST0242_N22_S02_P010,INST0242_N22_S02_D010,INST0242_N22_S02_P011,INST0242_N22_S02_D011,INST0242_N22_S02_P012,INST0242_N22_S02_D012,INST0242_N22_S02_P013,INST0242_N22_S02_D013,INST0242_N22_S02_P014,INST0242_N22_S02_D014,INST0242_N22_S02_P015,INST0242_N22_S02_D015,INST0242_N22_S02_P016,INST0242_N22_S02_D016,INST0242_N22_S02_P017,INST0242_N22_S02_D017,INST0242_N22_S02_P018,INST0242_N22_S02_D018,INST0242_N22_S02_P019,INST0242_N22_S02_D019,INST0242_N22_S02_P020,INST0242_N22_S02_D020,INST0242_N22_S02_P021,INST0242_N22_S02_D021
depot,0.0,26.348,55.105,31.149,23.863,67.557,31.149,29.68,102.142,55.105,24.036,67.557,31.149,23.863,55.105,24.036,23.863,55.105,29.68,29.68,112.533,23.863,31.149,24.036,112.533,31.149,0.0,0.0,102.142,26.348,23.863,55.105,102.142,0.0,23.863,29.68,152.108,0.0,23.863,23.863,29.68,31.149,26.348,23.863,67.557
INST0242_N22_S02_P000,26.348,0.0,80.067,39.549,30.556,92.948,39.549,32.455,108.949,80.067,26.3,92.948,39.549,30.556,80.067,26.3,30.556,80.067,32.455,32.455,137.848,30.556,39.549,26.3,137.848,39.549,26.348,26.348,108.949,0.0,30.556,80.067,108.949,26.348,30.556,32.455,177.944,26.348,30.556,30.556,32.455,39.549,0.0,30.556,92.948
INST0242_N22_S02_D000,55.105,80.067,0.0,53.679,72.248,13.307,53.679,61.135,87.998,0.0,61.869,13.307,53.679,72.248,0.0,61.869,72.248,0.0,61.135,61.135,57.803,72.248,53.679,61.869,57.803,53.679,55.105,55.105,87.998,80.067,72.248,0.0,87.998,55.105,72.248,61.135,98.41,55.105,72.248,72.248,61.135,53.679,80.067,72.248,13.307
INST0242_N22_S02_P001,31.149,39.549,53.679,0.0,54.293,66.815,0.0,8.581,71.877,53.679,13.324,66.815,0.0,54.293,53.679,13.324,54.293,53.679,8.581,8.581,109.068,54.293,0.0,13.324,109.068,0.0,31.149,31.149,71.877,39.549,54.293,53.679,71.877,31.149,54.293,8.581,150.553,31.149,54.293,54.293,8.581,0.0,39.549,54.293,66.815
INST0242_N22_S02_D001,23.863,30.556,72.248,54.293,0.0,83.129,54.293,51.136,125.848,72.248,44.645,83.129,54.293,0.0,72.248,44.645,0.0,72.248,51.136,51.136,127.137,0.0,54.293,44.645,127.137,54.293,23.863,23.863,125.848,30.556,0.0,72.248,125.848,23.863,0.0,51.136,164.482,23.863,0.0,0.0,51.136,54.293,30.556,0.0,83.129
INST0242_N22_S02_P002,67.557,92.948,13.307,66.815,83.129,0.0,66.815,74.382,94.398,13.307,75.176,0.0,66.815,83.129,13.307,75.176,83.129,13.307,74.382,74.382,44.98,83.129,66.815,75.176,44.98,66.815,67.557,67.557,94.398,92.948,83.129,13.307,94.398,67.557,83.129,74.382,85.211,67.557,83.129,83.129,74.382,66.815,92.948,83.129,0.0
INST0242_N22_S02_D002,31.149,39.549,53.679,0.0,54.293,66.815,0.0,8.581,71.877,53.679,13.324,66.815,0.0,54.293,53.679,13.324,54.293,53.679,8.581,8.581,109.068,54.293,0.0,13.324,109.068,0.0,31.149,31.149,71.877,39.549,54.293,53.679,71.877,31.149,54.293,8.581,150.553,31.149,54.293,54.293,8.581,0.0,39.549,54.293,66.815
INST0242_N22_S02_P003,29.68,32.455,61.135,8.581,51.136,74.382,8.581,0.0,77.018,61.135,6.707,74.382,8.581,51.136,61.135,6.707,51.136,61.135,0.0,0.0,117.194,51.136,8.581,6.707,117.194,8.581,29.68,29.68,77.018,32.455,51.136,61.135,77.018,29.68,51.136,0.0,158.604,29.68,51.136,51.136,0.0,8.581,32.455,51.136,74.382
INST0242_N22_S02_D003,102.142,108.949,87.998,71.877,125.848,94.398,71.877,77.018,0.0,87.998,83.656,94.398,71.877,125.848,87.998,83.656,125.848,87.998,77.018,77.018,114.428,125.848,71.877,83.656,114.428,71.877,102.142,102.142,0.0,108.949,125.848,87.998,0.0,102.142,125.848,77.018,151.155,102.142,125.848,125.848,77.018,71.877,108.949,125.848,94.398
INST0242_N22_S02_P004,55.105,80.067,0.0,53.679,72.248,13.307,53.679,61.135,87.998,0.0,61.869,13.307,53.679,72.248,0.0,61.869,72.248,0.0,61.135,61.135,57.803,72.248,53.679,61.869,57.803,53.679,55.105,55.105,87.998,80.067,72.248,0.0,87.998,55.105,72.248,61.135,98.41,55.105,72.248,72.248,61.135,53.679,80.067,72.248,13.307
INST0242_N22_S02_D004,24.036,26.3,61.869,13.324,44.645,75.176,13.324,6.707,83.656,61.869,0.0,75.176,13.324,44.645,61.869,0.0,44.645,61.869,6.707,6.707,118.85,44.645,13.324,0.0,118.85,13.324,24.036,24.036,83.656,26.3,44.645,61.869,83.656,24.036,44.645,6.707,160.028,24.036,44.645,44.645,6.707,13.324,26.3,44.645,75.176
INST0242_N22_S02_P005,67.557,92.948,13.307,66.815,83.129,0.0,66.815,74.382,94.398,13.307,75.176,0.0,66.815,83.129,13.307,75.176,83.129,13.307,74.382,74.382,44.98,83.129,66.815,75.176,44.98,66.815,67.557,67.557,94.398,92.948,83.129,13.307,94.398,67.557,83.129,74.382,85.211,67.557,83.129,83.129,74.382,66.815,92.948,83.129,0.0
INST0242_N22_S02_D005,31.149,39.549,53.679,0.0,54.293,66.815,0.0,8.581,71.877,53.679,13.324,66.815,0.0,54.293,53.679,13.324,54.293,53.679,8.581,8.581,109.068,54.293,0.0,13.324,109.068,0.0,31.149,31.149,71.877,39.549,54.293,53.679,71.877,31.149,54.293,8.581,150.553,31.149,54.293,54.293,8.581,0.0,39.549,54.293,66.815
INST0242_N22_S02_P006,23.863,30.556,72.248,54.293,0.0,83.129,54.293,51.136,125.848,72.248,44.645,83.129,54.293,0.0,72.248,44.645,0.0,72.248,51.136,51.136,127.137,0.0,54.293,44.645,127.137,54.293,23.863,23.863,125.848,30.556,0.0,72.248,125.848,23.863,0.0,51.136,164.482,23.863,0.0,0.0,51.136,54.293,30.556,0.0,83.129
INST0242_N22_S02_D006,55.105,80.067,0.0,53.679,72.248,13.307,53.679,61.135,87.998,0.0,61.869,13.307,53.679,72.248,0.0,61.869,72.248,0.0,61.135,61.135,57.803,72.248,53.679,61.869,57.803,53.679,55.105,55.105,87.998,80.067,72.248,0.0,87.998,55.105,72.248,61.135,98.41,55.105,72.248,72.248,61.135,53.679,80.067,72.248,13.307
INST0242_N22_S02_P007,24.036,26.3,61.869,13.324,44.645,75.176,13.324,6.707,83.656,61.869,0.0,75.176,13.324,44.645,61.869,0.0,44.645,61.869,6.707,6.707,118.85,44.645,13.324,0.0,118.85,13.324,24.036,24.036,83.656,26.3,44.645,61.869,83.656,24.036,44.645,6.707,160.028,24.036,44.645,44.645,6.707,13.324,26.3,44.645,75.176
INST0242_N22_S02_D007,23.863,30.556,72.248,54.293,0.0,83.129,54.293,51.136,125.848,72.248,44.645,83.129,54.293,0.0,72.248,44.645,0.0,72.248,51.136,51.136,127.137,0.0,54.293,44.645,127.137,54.293,23.863,23.863,125.848,30.556,0.0,72.248,125.848,23.863,0.0,51.136,164.482,23.863,0.0,0.0,51.136,54.293,30.556,0.0,83.129
INST0242_N22_S02_P008,55.105,80.067,0.0,53.679,72.248,13.307,53.679,61.135,87.998,0.0,61.869,13.307,53.679,72.248,0.0,61.869,72.248,0.0,61.135,61.135,57.803,72.248,53.679,61.869,57.803,53.679,55.105,55.105,87.998,80.067,72.248,0.0,87.998,55.105,72.248,61.135,98.41,55.105,72.248,72.248,61.135,53.679,80.067,72.248,13.307
INST0242_N22_S02_D008,29.68,32.455,61.135,8.581,51.136,74.382,8.581,0.0,77.018,61.135,6.707,74.382,8.581,51.136,61.135,6.707,51.136,61.135,0.0,0.0,117.194,51.136,8.581,6.707,117.194,8.581,29.68,29.68,77.018,32.455,51.136,61.135,77.018,29.68,51.136,0.0,158.604,29.68,51.136,51.136,0.0,8.581,32.455,51.136,74.382
INST0242_N22_S02_P009,29.68,32.455,61.135,8.581,51.136,74.382,8.581,0.0,77.018,61.135,6.707,74.382,8.581,51.136,61.135,6.707,51.136,61.135,0.0,0.0,117.194,51.136,8.581,6.707,117.194,8.581,29.68,29.68,77.018,32.455,51.136,61.135,77.018,29.68,51.136,0.0,158.604,29.68,51.136,51.136,0.0,8.581,32.455,51.136,74.382
INST0242_N22_S02_D009,112.533,137.848,57.803,109.068,127.137,44.98,109.068,117.194,114.428,57.803,118.85,44.98,109.068,127.137,57.803,118.85,127.137,57.803,117.194,117.194,0.0,127.137,109.068,118.85,0.0,109.068,112.533,112.533,114.428,137.848,127.137,57.803,114.428,112.533,127.137,117.194,41.594,112.533,127.137,127.137,117.194,109.068,137.848,127.137,44.98
INST0242_N22_S02_P010,23.863,30.556,72.248,54.293,0.0,83.129,54.293,51.136,125.848,72.248,44.645,83.129,54.293,0.0,72.248,44.645,0.0,72.248,51.136,51.136,127.137,0.0,54.293,44.645,127.137,54.293,23.863,23.863,125.848,30.556,0.0,72.248,125.848,23.863,0.0,51.136,164.482,23.863,0.0,0.0,51.136,54.293,30.556,0.0,83.129
INST0242_N22_S02_D010,31.149,39.549,53.679,0.0,54.293,66.815,0.0,8.581,71.877,53.679,13.324,66.815,0.0,54.293,53.679,13.324,54.293,53.679,8.581,8.581,109.068,54.293,0.0,13.324,109.068,0.0,31.149,31.149,71.877,39.549,54.293,53.679,71.877,31.149,54.293,8.581,150.553,31.149,54.293,54.293,8.581,0.0,39.549,54.293,66.815
INST0242_N22_S02_P011,24.036,26.3,61.869,13.324,44.645,75.176,13.324,6.707,83.656,61.869,0.0,75.176,13.324,44.645,61.869,0.0,44.645,61.869,6.707,6.707,118.85,44.645,13.324,0.0,118.85,13.324,24.036,24.036,83.656,26.3,44.645,61.869,83.656,24.036,44.645,6.707,160.028,24.036,44.645,44.645,6.707,13.324,26.3,44.645,75.176
INST0242_N22_S02_D011,112.533,137.848,57.803,109.068,127.137,44.98,109.068,117.194,114.428,57.803,118.85,44.98,109.068,127.137,57.803,118.85,127.137,57.803,117.194,117.194,0.0,127.137,109.068,118.85,0.0,109.068,112.533,112.533,114.428,137.848,127.137,57.803,114.428,112.533,127.137,117.194,41.594,112.533,127.137,127.137,117.194,109.068,137.848,127.137,44.98
INST0242_N22_S02_P012,31.149,39.549,53.679,0.0,54.293,66.815,0.0,8.581,71.877,53.679,13.324,66.815,0.0,54.293,53.679,13.324,54.293,53.679,8.581,8.581,109.068,54.293,0.0,13.324,109.068,0.0,31.149,31.149,71.877,39.549,54.293,53.679,71.877,31.149,54.293,8.581,150.553,31.149,54.293,54.293,8.581,0.0,39.549,54.293,66.815
INST0242_N22_S02_D012,0.0,26.348,55.105,31.149,23.863,67.557,31.149,29.68,102.142,55.105,24.036,67.557,31.149,23.863,55.105,24.036,23.863,55.105,29.68,29.68,112.533,23.863,31.149,24.036,112.533,31.149,0.0,0.0,102.142,26.348,23.863,55.105,102.142,0.0,23.863,29.68,152.108,0.0,23.863,23.863,29.68,31.149,26.348,23.863,67.557
INST0242_N22_S02_P013,0.0,26.348,55.105,31.149,23.863,67.557,31.149,29.68,102.142,55.105,24.036,67.557,31.149,23.863,55.105,24.036,23.863,55.105,29.68,29.68,112.533,23.863,31.149,24.036,112.533,31.149,0.0,0.0,102.142,26.348,23.863,55.105,102.142,0.0,23.863,29.68,152.108,0.0,23.863,23.863,29.68,31.149,26.348,23.863,67.557
