,depot,INST0037_N5_W07_P000,INST0037_N5_W07_D000,INST0037_N5_W07_P001,INST0037_N5_W07_D001,INST0037_N5_W07_P002,INST0037_N5_W07_D002,INST0037_N5_W07_P003,INST0037_N5_W07_D003,INST0037_N5_W07_P004,INST0037_N5_W07_D004
depot,0.0,16.791,14.239,0.0,26.872,14.239,16.35,14.239,101.402,14.239,61.821
INST0037_N5_W07_P000,16.791,0.0,29.954,16.791,14.077,29.954,19.054,29.954,90.122,29.954,46.592
INST0037_N5_W07_D000,14.239,29.954,0.0,14.239,41.092,0.0,28.769,0.0,106.091,0.0,75.918
INST0037_N5_W07_P001,0.0,16.791,14.239,0.0,26.872,14.239,16.35,14.239,101.402,14.239,61.821
INST0037_N5_W07_D001,26.872,14.077,41.092,26.872,0.0,41.092,18.744,41.092,96.036,41.092,35.155
INST0037_N5_W07_P002,14.239,29.954,0.0,14.239,41.092,0.0,28.769,0.0,106.091,0.0,75.918
INST0037_N5_W07_D002,16.35,19.054,28.769,16.35,18.744,28.769,0.0,28.769,109.164,28.769,52.507
INST0037_N5_W07_P003,14.239,29.954,0.0,14.239,41.092,0.0,28.769,0.0,106.091,0.0,75.918
INST0037_N5_W07_D003,101.402,90.122,106.091,101.402,96.036,106.091,109.164,106.091,0.0,106.091,94.442
INST0037_N5_W07_P004,14.239,29.954,0.0,14.239,41.092,0.0,28.769,0.0,106.091,0.0,75.918
INST0037_N5_W07_D004,61.821,46.592,75.918,61.821,35.155,75.918,52.507,75.918,94.442,75.918,0.0
