,depot,INST0144_N12_N24_P000,INST0144_N12_N24_D000,INST0144_N12_N24_P001,INST0144_N12_N24_D001,INST0144_N12_N24_P002,INST0144_N12_N24_D002,INST0144_N12_N24_P003,INST0144_N12_N24_D003,INST0144_N12_N24_P004,INST0144_N12_N24_D004,INST0144_N12_N24_P005,INST0144_N12_N24_D005,INST0144_N12_N24_P006,INST0144_N12_N24_D006,INST0144_N12_N24_P007,INST0144_N12_N24_D007,INST0144_N12_N24_P008,INST0144_N12_N24_D008,INST0144_N12_N24_P009,INST0144_N12_N24_D009,INST0144_N12_N24_P010,INST0144_N12_N24_D010,INST0144_N12_N24_P011,INST0144_N12_N24_D011
depot,0.0,33.197,35.041,41.993,58.839,58.839,114.332,58.839,54.669,41.993,54.669,58.839,35.041,0.0,58.839,43.657,56.4,43.657,56.4,41.993,187.802,0.0,33.197,41.993,56.4
INST0144_N12_N24_P000,33.197,0.0,21.127,8.817,31.992,31.992,87.893,31.992,22.322,8.817,22.322,31.992,21.127,33.197,31.992,22.387,24.705,22.387,24.705,8.817,154.717,33.197,0.0,8.817,24.705
INST0144_N12_N24_D000,35.041,21.127,0.0,24.088,25.326,25.326,79.42,25.326,28.727,24.088,28.727,25.326,0.0,35.041,25.326,43.511,28.595,43.511,28.595,24.088,162.63,35.041,21.127,24.088,28.595
INST0144_N12_N24_P001,41.993,8.817,24.088,0.0,26.694,26.694,81.208,26.694,14.053,0.0,14.053,26.694,24.088,41.993,26.694,23.01,16.848,23.01,16.848,0.0,146.035,41.993,8.817,0.0,16.848
INST0144_N12_N24_D001,58.839,31.992,25.326,26.694,0.0,0.0,56.35,0.0,17.072,26.694,17.072,0.0,25.326,58.839,0.0,49.306,14.003,49.306,14.003,26.694,139.481,58.839,31.992,26.694,14.003
INST0144_N12_N24_P002,58.839,31.992,25.326,26.694,0.0,0.0,56.35,0.0,17.072,26.694,17.072,0.0,25.326,58.839,0.0,49.306,14.003,49.306,14.003,26.694,139.481,58.839,31.992,26.694,14.003
INST0144_N12_N24_D002,114.332,87.893,79.42,81.208,56.35,56.35,0.0,56.35,67.88,81.208,67.88,56.35,79.42,114.332,56.35,101.428,64.653,101.428,64.653,81.208,116.851,114.332,87.893,81.208,64.653
INST0144_N12_N24_P003,58.839,31.992,25.326,26.694,0.0,0.0,56.35,0.0,17.072,26.694,17.072,0.0,25.326,58.839,0.0,49.306,14.003,49.306,14.003,26.694,139.481,58.839,31.992,26.694,14.003
INST0144_N12_N24_D003,54.669,22.322,28.727,14.053,17.072,17.072,67.88,17.072,0.0,14.053,0.0,17.072,28.727,54.669,17.072,33.929,3.413,33.929,3.413,14.053,134.948,54.669,22.322,14.053,3.413
INST0144_N12_N24_P004,41.993,8.817,24.088,0.0,26.694,26.694,81.208,26.694,14.053,0.0,14.053,26.694,24.088,41.993,26.694,23.01,16.848,23.01,16.848,0.0,146.035,41.993,8.817,0.0,16.848
INST0144_N12_N24_D004,54.669,22.322,28.727,14.053,17.072,17.072,67.88,17.072,0.0,14.053,0.0,17.072,28.727,54.669,17.072,33.929,3.413,33.929,3.413,14.053,134.948,54.669,22.322,14.053,3.413
INST0144_N12_N24_P005,58.839,31.992,25.326,26.694,0.0,0.0,56.35,0.0,17.072,26.694,17.072,0.0,25.326,58.839,0.0,49.306,14.003,49.306,14.003,26.694,139.481,58.839,31.992,26.694,14.003
INST0144_N12_N24_D005,35.041,21.127,0.0,24.088,25.326,25.326,79.42,25.326,28.727,24.088,28.727,25.326,0.0,35.041,25.326,43.511,28.595,43.511,28.595,24.088,162.63,35.041,21.127,24.088,28.595
INST0144_N12_N24_P006,0.0,33.197,35.041,41.993,58.839,58.839,114.332,58.839,54.669,41.993,54.669,58.839,35.041,0.0,58.839,43.657,56.4,43.657,56.4,41.993,187.802,0.0,33.197,41.993,56.4
INST0144_N12_N24_D006,58.839,31.992,25.326,26.694,0.0,0.0,56.35,0.0,17.072,26.694,17.072,0.0,25.326,58.839,0.0,49.306,14.003,49.306,14.003,26.694,139.481,58.839,31.992,26.694,14.003
INST0144_N12_N24_P007,43.657,22.387,43.511,23.01,49.306,49.306,101.428,49.306,33.929,23.01,33.929,49.306,43.511,43.657,49.306,0.0,37.312,0.0,37.312,23.01,149.729,43.657,22.387,23.01,37.312
INST0144_N12_N24_D007,56.4,24.705,28.595,16.848,14.003,14.003,64.653,14.003,3.413,16.848,3.413,14.003,28.595,56.4,14.003,37.312,0.0,37.312,0.0,16.848,134.313,56.4,24.705,16.848,0.0
INST0144_N12_N24_P008,43.657,22.387,43.511,23.01,49.306,49.306,101.428,49.306,33.929,23.01,33.929,49.306,43.511,43.657,49.306,0.0,37.312,0.0,37.312,23.01,149.729,43.657,22.387,23.01,37.312
INST0144_N12_N24_D008,56.4,24.705,28.595,16.848,14.003,14.003,64.653,14.003,3.413,16.848,3.413,14.003,28.595,56.4,14.003,37.312,0.0,37.312,0.0,16.848,134.313,56.4,24.705,16.848,0.0
INST0144_N12_N24_P009,41.993,8.817,24.088,0.0,26.694,26.694,81.208,26.694,14.053,0.0,14.053,26.694,24.088,41.993,26.694,23.01,16.848,23.01,16.848,0.0,146.035,41.993,8.817,0.0,16.848
