,depot,INST0298_N25_W28_P000,INST0298_N25_W28_D000,INST0298_N25_W28_P001,INST0298_N25_W28_D001,INST0298_N25_W28_P002,INST0298_N25_W28_D002,INST0298_N25_W28_P003,INST0298_N25_W28_D003,INST0298_N25_W28_P004,INST0298_N25_W28_D004,INST0298_N25_W28_P005,INST0298_N25_W28_D005,INST0298_N25_W28_P006,INST0298_N25_W28_D006,INST0298_N25_W28_P007,INST0298_N25_W28_D007,INST0298_N25_W28_P008,INST0298_N25_W28_D008,INST0298_N25_W28_P009,INST0298_N25_W28_D009,INST0298_N25_W28_P010,INST0298_N25_W28_D010,INST0298_N25_W28_P011,INST0298_N25_W28_D011,INST0298_N25_W28_P012,INST0298_N25_W28_D012,INST0298_N25_W28_P013,INST0298_N25_W28_D013,INST0298_N25_W28_P014,INST0298_N25_W28_D014,INST0298_N25_W28_P015,INST0298_N25_W28_D015,INST0298_N25_W28_P016,INST0298_N25_W28_D016,INST0298_N25_W28_P017,INST0298_N25_W28_D017,INST0298_N25_W28_P018,INST0298_N25_W28_D018,INST0298_N25_W28_P019,INST0298_N25_W28_D019,INST0298_N25_W28_P020,INST0298_N25_W28_D020,INST0298_N25_W28_P021,INST0298_N25_W28_D021,INST0298_N25_W28_P022,INST0298_N25_W28_D022,INST0298_N25_W28_P023,INST0298_N25_W28_D023,INST0298_N25_W28_P024,INST0298_N25_W28_D024
depot,0.0,40.846,116.61,40.846,106.091,57.687,101.402,0.0,90.122,79.708,96.036,79.708,57.687,0.0,109.164,0.0,106.091,79.708,116.61,40.846,106.091,40.846,57.687,0.0,90.122,57.687,106.091,14.722,94.442,40.846,109.164,0.0,116.61,40.846,14.722,40.846,90.122,79.708,109.164,57.687,14.722,0.0,94.442,0.0,14.722,40.846,101.402,57.687,90.122,0.0,106.091
INST0298_N25_W28_P000,40.846,0.0,77.525,0.0,70.903,20.342,63.444,40.846,50.28,40.063,55.217,40.063,20.342,40.846,69.129,40.846,70.903,40.063,77.525,0.0,70.903,0.0,20.342,40.846,50.28,20.342,70.903,54.132,57.646,0.0,69.129,40.846,77.525,0.0,54.132,0.0,50.28,40.063,69.129,20.342,54.132,40.846,57.646,40.846,54.132,0.0,63.444,20.342,50.28,40.846,70.903
INST0298_N25_W28_D000,116.61,77.525,0.0,77.525,23.199,58.923,16.399,116.61,27.544,37.477,30.344,37.477,58.923,116.61,11.735,116.61,23.199,37.477,0.0,77.525,23.199,77.525,58.923,116.61,27.544,58.923,23.199,130.825,64.172,77.525,11.735,116.61,0.0,77.525,130.825,77.525,27.544,37.477,11.735,58.923,130.825,116.61,64.172,116.61,130.825,77.525,16.399,58.923,27.544,116.61,23.199
INST0298_N25_W28_P001,40.846,0.0,77.525,0.0,70.903,20.342,63.444,40.846,50.28,40.063,55.217,40.063,20.342,40.846,69.129,40.846,70.903,40.063,77.525,0.0,70.903,0.0,20.342,40.846,50.28,20.342,70.903,54.132,57.646,0.0,69.129,40.846,77.525,0.0,54.132,0.0,50.28,40.063,69.129,20.342,54.132,40.846,57.646,40.846,54.132,0.0,63.444,20.342,50.28,40.846,70.903
INST0298_N25_W28_D001,106.091,70.903,23.199,70.903,0.0,50.611,14.239,106.091,29.954,35.196,41.092,35.196,50.611,106.091,28.769,106.091,0.0,35.196,23.199,70.903,0.0,70.903,50.611,106.091,29.954,50.611,0.0,120.757,75.918,70.903,28.769,106.091,23.199,70.903,120.757,70.903,29.954,35.196,28.769,50.611,120.757,106.091,75.918,106.091,120.757,70.903,14.239,50.611,29.954,106.091,0.0
INST0298_N25_W28_P002,57.687,20.342,58.923,20.342,50.611,0.0,43.952,57.687,32.833,22.455,41.349,22.455,0.0,57.687,51.842,57.687,50.611,22.455,58.923,20.342,50.611,20.342,0.0,57.687,32.833,0.0,50.611,71.944,55.918,20.342,51.842,57.687,58.923,20.342,71.944,20.342,32.833,22.455,51.842,0.0,71.944,57.687,55.918,57.687,71.944,20.342,43.952,0.0,32.833,57.687,50.611
INST0298_N25_W28_D002,101.402,63.444,16.399,63.444,14.239,43.952,0.0,101.402,16.791,24.4,26.872,24.4,43.952,101.402,16.35,101.402,14.239,24.4,16.399,63.444,14.239,63.444,43.952,101.402,16.791,43.952,14.239,115.807,61.821,63.444,16.35,101.402,16.399,63.444,115.807,63.444,16.791,24.4,16.35,43.952,115.807,101.402,61.821,101.402,115.807,63.444,0.0,43.952,16.791,101.402,14.239
INST0298_N25_W28_P003,0.0,40.846,116.61,40.846,106.091,57.687,101.402,0.0,90.122,79.708,96.036,79.708,57.687,0.0,109.164,0.0,106.091,79.708,116.61,40.846,106.091,40.846,57.687,0.0,90.122,57.687,106.091,14.722,94.442,40.846,109.164,0.0,116.61,40.846,14.722,40.846,90.122,79.708,109.164,57.687,14.722,0.0,94.442,0.0,14.722,40.846,101.402,57.687,90.122,0.0,106.091
INST0298_N25_W28_D003,90.122,50.28,27.544,50.28,29.954,32.833,16.791,90.122,0.0,10.426,14.077,10.426,32.833,90.122,19.054,90.122,29.954,10.426,27.544,50.28,29.954,50.28,32.833,90.122,0.0,32.833,29.954,104.062,46.592,50.28,19.054,90.122,27.544,50.28,104.062,50.28,0.0,10.426,19.054,32.833,104.062,90.122,46.592,90.122,104.062,50.28,16.791,32.833,0.0,90.122,29.954
INST0298_N25_W28_P004,79.708,40.063,37.477,40.063,35.196,22.455,24.4,79.708,10.426,0.0,20.581,0.0,22.455,79.708,29.48,79.708,35.196,0.0,37.477,40.063,35.196,40.063,22.455,79.708,10.426,22.455,35.196,93.687,46.518,40.063,29.48,79.708,37.477,40.063,93.687,40.063,10.426,0.0,29.48,22.455,93.687,79.708,46.518,79.708,93.687,40.063,24.4,22.455,10.426,79.708,35.196
