,depot,INST0178_N15_W28_P000,INST0178_N15_W28_D000,INST0178_N15_W28_P001,INST0178_N15_W28_D001,INST0178_N15_W28_P002,INST0178_N15_W28_D002,INST0178_N15_W28_P003,INST0178_N15_W28_D003,INST0178_N15_W28_P004,INST0178_N15_W28_D004,INST0178_N15_W28_P005,INST0178_N15_W28_D005,INST0178_N15_W28_P006,INST0178_N15_W28_D006,INST0178_N15_W28_P007,INST0178_N15_W28_D007,INST0178_N15_W28_P008,INST0178_N15_W28_D008,INST0178_N15_W28_P009,INST0178_N15_W28_D009,INST0178_N15_W28_P010,INST0178_N15_W28_D010,INST0178_N15_W28_P011,INST0178_N15_W28_D011,INST0178_N15_W28_P012,INST0178_N15_W28_D012,INST0178_N15_W28_P013,INST0178_N15_W28_D013,INST0178_N15_W28_P014,INST0178_N15_W28_D014
depot,0.0,97.602,0.0,50.015,133.671,18.026,133.671,97.602,142.787,50.015,70.637,97.602,117.595,50.015,97.602,50.015,117.595,50.015,97.602,18.026,110.354,70.637,142.787,50.015,124.166,70.637,115.643,70.637,0.0,18.026,133.671
INST0178_N15_W28_P000,97.602,0.0,97.602,49.056,36.098,114.719,36.098,0.0,45.89,49.056,27.496,0.0,25.201,49.056,0.0,49.056,25.201,49.056,0.0,114.719,12.767,27.496,45.89,49.056,29.878,27.496,56.961,27.496,97.602,114.719,36.098
INST0178_N15_W28_D000,0.0,97.602,0.0,50.015,133.671,18.026,133.671,97.602,142.787,50.015,70.637,97.602,117.595,50.015,97.602,50.015,117.595,50.015,97.602,18.026,110.354,70.637,142.787,50.015,124.166,70.637,115.643,70.637,0.0,18.026,133.671
INST0178_N15_W28_P001,50.015,49.056,50.015,0.0,84.648,66.284,84.648,49.056,94.929,0.0,24.909,49.056,67.612,0.0,49.056,0.0,67.612,0.0,49.056,66.284,61.567,24.909,94.929,0.0,77.687,24.909,70.587,24.909,50.015,66.284,84.648
INST0178_N15_W28_D001,133.671,36.098,133.671,84.648,0.0,150.679,0.0,36.098,14.369,84.648,63.48,36.098,22.951,84.648,36.098,84.648,22.951,84.648,36.098,150.679,23.331,63.48,14.369,84.648,20.02,63.48,64.294,63.48,133.671,150.679,0.0
INST0178_N15_W28_P002,18.026,114.719,18.026,66.284,150.679,0.0,150.679,114.719,160.194,66.284,88.095,114.719,133.769,66.284,114.719,66.284,133.769,66.284,114.719,0.0,127.423,88.095,160.194,66.284,141.804,88.095,128.123,88.095,18.026,0.0,150.679
INST0178_N15_W28_D002,133.671,36.098,133.671,84.648,0.0,150.679,0.0,36.098,14.369,84.648,63.48,36.098,22.951,84.648,36.098,84.648,22.951,84.648,36.098,150.679,23.331,63.48,14.369,84.648,20.02,63.48,64.294,63.48,133.671,150.679,0.0
INST0178_N15_W28_P003,97.602,0.0,97.602,49.056,36.098,114.719,36.098,0.0,45.89,49.056,27.496,0.0,25.201,49.056,0.0,49.056,25.201,49.056,0.0,114.719,12.767,27.496,45.89,49.056,29.878,27.496,56.961,27.496,97.602,114.719,36.098
INST0178_N15_W28_D003,142.787,45.89,142.787,94.929,14.369,160.194,14.369,45.89,0.0,94.929,72.151,45.89,37.156,94.929,45.89,94.929,37.156,94.929,45.89,160.194,33.728,72.151,0.0,94.929,20.081,72.151,78.578,72.151,142.787,160.194,14.369
INST0178_N15_W28_P004,50.015,49.056,50.015,0.0,84.648,66.284,84.648,49.056,94.929,0.0,24.909,49.056,67.612,0.0,49.056,0.0,67.612,0.0,49.056,66.284,61.567,24.909,94.929,0.0,77.687,24.909,70.587,24.909,50.015,66.284,84.648
INST0178_N15_W28_D004,70.637,27.496,70.637,24.909,63.48,88.095,63.48,27.496,72.151,24.909,0.0,27.496,50.631,24.909,27.496,24.909,50.631,24.909,27.496,88.095,40.204,0.0,72.151,24.909,53.818,0.0,68.471,0.0,70.637,88.095,63.48
INST0178_N15_W28_P005,97.602,0.0,97.602,49.056,36.098,114.719,36.098,0.0,45.89,49.056,27.496,0.0,25.201,49.056,0.0,49.056,25.201,49.056,0.0,114.719,12.767,27.496,45.89,49.056,29.878,27.496,56.961,27.496,97.602,114.719,36.098
INST0178_N15_W28_D005,117.595,25.201,117.595,67.612,22.951,133.769,22.951,25.201,37.156,67.612,50.631,25.201,0.0,67.612,25.201,67.612,0.0,67.612,25.201,133.769,17.238,50.631,37.156,67.612,32.905,50.631,43.046,50.631,117.595,133.769,22.951
INST0178_N15_W28_P006,50.015,49.056,50.015,0.0,84.648,66.284,84.648,49.056,94.929,0.0,24.909,49.056,67.612,0.0,49.056,0.0,67.612,0.0,49.056,66.284,61.567,24.909,94.929,0.0,77.687,24.909,70.587,24.909,50.015,66.284,84.648
INST0178_N15_W28_D006,97.602,0.0,97.602,49.056,36.098,114.719,36.098,0.0,45.89,49.056,27.496,0.0,25.201,49.056,0.0,49.056,25.201,49.056,0.0,114.719,12.767,27.496,45.89,49.056,29.878,27.496,56.961,27.496,97.602,114.719,36.098
INST0178_N15_W28_P007,50.015,49.056,50.015,0.0,84.648,66.284,84.648,49.056,94.929,0.0,24.909,49.056,67.612,0.0,49.056,0.0,67.612,0.0,49.056,66.284,61.567,24.909,94.929,0.0,77.687,24.909,70.587,24.909,50.015,66.284,84.648
INST0178_N15_W28_D007,117.595,25.201,117.595,67.612,22.951,133.769,22.951,25.201,37.156,67.612,50.631,25.201,0.0,67.612,25.201,67.612,0.0,67.612,25.201,133.769,17.238,50.631,37.156,67.612,32.905,50.631,43.046,50.631,117.595,133.769,22.951
INST0178_N15_W28_P008,50.015,49.056,50.015,0.0,84.648,66.284,84.648,49.056,94.929,0.0,24.909,49.056,67.612,0.0,49.056,0.0,67.612,0.0,49.056,66.284,61.567,24.909,94.929,0.0,77.687,24.909,70.587,24.909,50.015,66.284,84.648
INST0178_N15_W28_D008,97.602,0.0,97.602,49.056,36.098,114.719,36.098,0.0,45.89,49.056,27.496,0.0,25.201,49.056,0.0,49.056,25.201,49.056,0.0,114.719,12.767,27.496,45.89,49.056,29.878,27.496,56.961,27.496,97.602,114.719,36.098
INST0178_N15_W28_P009,18.026,114.719,18.026,66.284,150.679,0.0,150.679,114.719,160.194,66.284,88.095,114.719,133.769,66.284,114.719,66.284,133.769,66.284,114.719,0.0,127.423,88.095,160.194,66.284,141.804,88.095,128.123,88.095,18.026,0.0,150.679
INST0178_N15_W28_D009,110.354,12.767,110.354,61.567,23.331,127.423,23.331,12.767,33.728,61.567,40.204,12.767,17.238,61.567,12.767,61.567,17.238,61.567,12.767,127.423,0.0,40.204,33.728,61.567,20.56,40.204,57.051,40.204,110.354,127.423,23.331
INST0178_N15_W28_P010,70.637,27.496,70.637,24.909,63.48,88.095,63.48,27.496,72.151,24.909,0.0,27.496,50.631,24.909,27.496,24.909,50.631,24.909,27.496,88.095,40.204,0.0,72.151,24.909,53.818,0.0,68.471,0.0,70.637,88.095,63.48
INST0178_N15_W28_D010,142.787,45.89,142.787,94.929,14.369,160.194,14.369,45.89,0.0,94.929,72.151,45.89,37.156,94.929,45.89,94.929,37.156,94.929,45.89,160.194,33.728,72.151,0.0,94.929,20.081,72.151,78.578,72.151,142.787,160.194,14.369
INST0178_N15_W28_P011,50.015,49.056,50.015,0.0,84.648,66.284,84.648,49.056,94.929,0.0,24.909,49.056,67.612,0.0,49.056,0.0,67.612,0.0,49.056,66.284,61.567,24.909,94.929,0.0,77.687,24.909,70.587,24.909,50.015,66.284,84.648
INST0178_N15_W28_D011,124.166,29.878,124.166,77.687,20.02,141.804,20.02,29.878,20.081,77.687,53.818,29.878,32.905,77.687,29.878,77.687,32.905,77.687,29.878,141.804,20.56,53.818,20.081,77.687,0.0,53.818,75.699,53.818,124.166,141.804,20.02
INST0178_N15_W28_P012,70.637,27.496,70.637,24.909,63.48,88.095,63.48,27.496,72.151,24.909,0.0,27.496,50.631,24.909,27.496,24.909,50.631,24.909,27.496,88.095,40.204,0.0,72.151,24.909,53.818,0.0,68.471,0.0,70.637,88.095,63.48
INST0178_N15_W28_D012,115.643,56.961,115.643,70.587,64.294,128.123,64.294,56.961,78.578,70.587,68.471,56.961,43.046,70.587,56.961,70.587,43.046,70.587,56.961,128.123,57.051,68.471,78.578,70.587,75.699,68.471,0.0,68.471,115.643,128.123,64.294
INST0178_N15_W28_P013,70.637,27.496,70.637,24.909,63.48,88.095,63.48,27.496,72.151,24.909,0.0,27.496,50.631,24.909,27.496,24.909,50.631,24.909,27.496,88.095,40.204,0.0,72.151,24.909,53.818,0.0,68.471,0.0,70.637,88.095,63.48
