,depot,INST0234_N20_N24_P000,INST0234_N20_N24_D000,INST0234_N20_N24_P001,INST0234_N20_N24_D001,INST0234_N20_N24_P002,INST0234_N20_N24_D002,INST0234_N20_N24_P003,INST0234_N20_N24_D003,INST0234_N20_N24_P004,INST0234_N20_N24_D004,INST0234_N20_N24_P005,INST0234_N20_N24_D005,INST0234_N20_N24_P006,INST0234_N20_N24_D006,INST0234_N20_N24_P007,INST0234_N20_N24_D007,INST0234_N20_N24_P008,INST0234_N20_N24_D008,INST0234_N20_N24_P009,INST0234_N20_N24_D009,INST0234_N20_N24_P010,INST0234_N20_N24_D010,INST0234_N20_N24_P011,INST0234_N20_N24_D011,INST0234_N20_N24_P012,INST0234_N20_N24_D012,INST0234_N20_N24_P013,INST0234_N20_N24_D013,INST0234_N20_N24_P014,INST0234_N20_N24_D014,INST0234_N20_N24_P015,INST0234_N20_N24_D015,INST0234_N20_N24_P016,INST0234_N20_N24_D016,INST0234_N20_N24_P017,INST0234_N20_N24_D017,INST0234_N20_N24_P018,INST0234_N20_N24_D018,INST0234_N20_N24_P019,INST0234_N20_N24_D019
depot,0.0,48.052,46.06,27.111,35.653,34.294,35.653,46.06,34.294,35.653,34.294,46.06,28.616,34.294,81.232,46.06,0.0,48.052,46.06,28.616,44.646,44.646,28.616,28.616,34.294,34.294,35.653,28.616,122.247,27.111,122.247,0.0,34.294,35.653,48.052,34.294,93.371,48.052,81.232,0.0,93.371
INST0234_N20_N24_P000,48.052,0.0,11.436,26.126,40.266,21.8,40.266,11.436,21.8,40.266,21.8,11.436,20.683,21.8,77.99,11.436,48.052,0.0,11.436,20.683,13.942,13.942,20.683,20.683,21.8,21.8,40.266,20.683,81.189,26.126,81.189,48.052,21.8,40.266,0.0,21.8,46.019,0.0,77.99,48.052,46.019
INST0234_N20_N24_D000,46.06,11.436,0.0,20.176,30.471,13.759,30.471,0.0,13.759,30.471,13.759,0.0,23.353,13.759,66.572,0.0,46.06,11.436,0.0,23.353,2.788,2.788,23.353,23.353,13.759,13.759,30.471,23.353,77.555,20.176,77.555,46.06,13.759,30.471,11.436,13.759,52.8,11.436,66.572,46.06,52.8
INST0234_N20_N24_P001,27.111,26.126,20.176,0.0,18.283,7.201,18.283,20.176,7.201,18.283,7.201,20.176,17.254,7.201,64.45,20.176,27.111,26.126,20.176,17.254,18.229,18.229,17.254,17.254,7.201,7.201,18.283,17.254,95.136,0.0,95.136,27.111,7.201,18.283,26.126,7.201,71.779,26.126,64.45,27.111,71.779
INST0234_N20_N24_D001,35.653,40.266,30.471,18.283,0.0,18.791,0.0,30.471,18.791,0.0,18.791,30.471,35.534,18.791,47.339,30.471,35.653,40.266,30.471,35.534,27.709,27.709,35.534,35.534,18.791,18.791,0.0,35.534,93.214,18.283,93.214,35.653,18.791,0.0,40.266,18.791,82.833,40.266,47.339,35.653,82.833
INST0234_N20_N24_P002,34.294,21.8,13.759,7.201,18.791,0.0,18.791,13.759,0.0,18.791,0.0,13.759,19.671,0.0,61.784,13.759,34.294,21.8,13.759,19.671,11.477,11.477,19.671,19.671,0.0,0.0,18.791,19.671,87.958,7.201,87.958,34.294,0.0,18.791,21.8,0.0,66.32,21.8,61.784,34.294,66.32
INST0234_N20_N24_D002,35.653,40.266,30.471,18.283,0.0,18.791,0.0,30.471,18.791,0.0,18.791,30.471,35.534,18.791,47.339,30.471,35.653,40.266,30.471,35.534,27.709,27.709,35.534,35.534,18.791,18.791,0.0,35.534,93.214,18.283,93.214,35.653,18.791,0.0,40.266,18.791,82.833,40.266,47.339,35.653,82.833
INST0234_N20_N24_P003,46.06,11.436,0.0,20.176,30.471,13.759,30.471,0.0,13.759,30.471,13.759,0.0,23.353,13.759,66.572,0.0,46.06,11.436,0.0,23.353,2.788,2.788,23.353,23.353,13.759,13.759,30.471,23.353,77.555,20.176,77.555,46.06,13.759,30.471,11.436,13.759,52.8,11.436,66.572,46.06,52.8
INST0234_N20_N24_D003,34.294,21.8,13.759,7.201,18.791,0.0,18.791,13.759,0.0,18.791,0.0,13.759,19.671,0.0,61.784,13.759,34.294,21.8,13.759,19.671,11.477,11.477,19.671,19.671,0.0,0.0,18.791,19.671,87.958,7.201,87.958,34.294,0.0,18.791,21.8,0.0,66.32,21.8,61.784,34.294,66.32
INST0234_N20_N24_P004,35.653,40.266,30.471,18.283,0.0,18.791,0.0,30.471,18.791,0.0,18.791,30.471,35.534,18.791,47.339,30.471,35.653,40.266,30.471,35.534,27.709,27.709,35.534,35.534,18.791,18.791,0.0,35.534,93.214,18.283,93.214,35.653,18.791,0.0,40.266,18.791,82.833,40.266,47.339,35.653,82.833
INST0234_N20_N24_D004,34.294,21.8,13.759,7.201,18.791,0.0,18.791,13.759,0.0,18.791,0.0,13.759,19.671,0.0,61.784,13.759,34.294,21.8,13.759,19.671,11.477,11.477,19.671,19.671,0.0,0.0,18.791,19.671,87.958,7.201,87.958,34.294,0.0,18.791,21.8,0.0,66.32,21.8,61.784,34.294,66.32
INST0234_N20_N24_P005,46.06,11.436,0.0,20.176,30.471,13.759,30.471,0.0,13.759,30.471,13.759,0.0,23.353,13.759,66.572,0.0,46.06,11.436,0.0,23.353,2.788,2.788,23.353,23.353,13.759,13.759,30.471,23.353,77.555,20.176,77.555,46.06,13.759,30.471,11.436,13.759,52.8,11.436,66.572,46.06,52.8
INST0234_N20_N24_D005,28.616,20.683,23.353,17.254,35.534,19.671,35.534,23.353,19.671,35.534,19.671,23.353,0.0,19.671,81.17,23.353,28.616,20.683,23.353,0.0,23.461,23.461,0.0,0.0,19.671,19.671,35.534,0.0,100.436,17.254,100.436,28.616,19.671,35.534,20.683,19.671,64.86,20.683,81.17,28.616,64.86
INST0234_N20_N24_P006,34.294,21.8,13.759,7.201,18.791,0.0,18.791,13.759,0.0,18.791,0.0,13.759,19.671,0.0,61.784,13.759,34.294,21.8,13.759,19.671,11.477,11.477,19.671,19.671,0.0,0.0,18.791,19.671,87.958,7.201,87.958,34.294,0.0,18.791,21.8,0.0,66.32,21.8,61.784,34.294,66.32
INST0234_N20_N24_D006,81.232,77.99,66.572,64.45,47.339,61.784,47.339,66.572,61.784,47.339,61.784,66.572,81.17,61.784,0.0,66.572,81.232,77.99,66.572,81.17,64.236,64.236,81.17,81.17,61.784,61.784,47.339,81.17,85.106,64.45,85.106,81.232,61.784,47.339,77.99,61.784,107.477,77.99,0.0,81.232,107.477
INST0234_N20_N24_P007,46.06,11.436,0.0,20.176,30.471,13.759,30.471,0.0,13.759,30.471,13.759,0.0,23.353,13.759,66.572,0.0,46.06,11.436,0.0,23.353,2.788,2.788,23.353,23.353,13.759,13.759,30.471,23.353,77.555,20.176,77.555,46.06,13.759,30.471,11.436,13.759,52.8,11.436,66.572,46.06,52.8
INST0234_N20_N24_D007,0.0,48.052,46.06,27.111,35.653,34.294,35.653,46.06,34.294,35.653,34.294,46.06,28.616,34.294,81.232,46.06,0.0,48.052,46.06,28.616,44.646,44.646,28.616,28.616,34.294,34.294,35.653,28.616,122.247,27.111,122.247,0.0,34.294,35.653,48.052,34.294,93.371,48.052,81.232,0.0,93.371
INST0234_N20_N24_P008,48.052,0.0,11.436,26.126,40.266,21.8,40.266,11.436,21.8,40.266,21.8,11.436,20.683,21.8,77.99,11.436,48.052,0.0,11.436,20.683,13.942,13.942,20.683,20.683,21.8,21.8,40.266,20.683,81.189,26.126,81.189,48.052,21.8,40.266,0.0,21.8,46.019,0.0,77.99,48.052,46.019
