,depot,INST0183_N18_N03_P000,INST0183_N18_N03_D000,INST0183_N18_N03_P001,INST0183_N18_N03_D001,INST0183_N18_N03_P002,INST0183_N18_N03_D002,INST0183_N18_N03_P003,INST0183_N18_N03_D003,INST0183_N18_N03_P004,INST0183_N18_N03_D004,INST0183_N18_N03_P005,INST0183_N18_N03_D005,INST0183_N18_N03_P006,INST0183_N18_N03_D006,INST0183_N18_N03_P007,INST0183_N18_N03_D007,INST0183_N18_N03_P008,INST0183_N18_N03_D008,INST0183_N18_N03_P009,INST0183_N18_N03_D009,INST0183_N18_N03_P010,INST0183_N18_N03_D010,INST0183_N18_N03_P011,INST0183_N18_N03_D011,INST0183_N18_N03_P012,INST0183_N18_N03_D012,INST0183_N18_N03_P013,INST0183_N18_N03_D013,INST0183_N18_N03_P014,INST0183_N18_N03_D014,INST0183_N18_N03_P015,INST0183_N18_N03_D015,INST0183_N18_N03_P016,INST0183_N18_N03_D016,INST0183_N18_N03_P017,INST0183_N18_N03_D017
depot,0.0,52.8,13.759,23.353,30.471,77.555,52.8,77.555,46.06,52.8,0.0,13.759,11.436,46.06,135.971,13.759,11.436,13.759,66.572,77.555,30.471,30.471,66.572,23.353,145.919,2.788,11.436,11.436,66.572,52.8,30.471,30.471,66.572,77.555,23.353,20.176,0.0
INST0183_N18_N03_P000,52.8,0.0,66.32,64.86,82.833,65.084,0.0,65.084,93.371,0.0,52.8,66.32,46.019,93.371,149.304,66.32,46.019,66.32,107.477,65.084,82.833,82.833,107.477,64.86,187.822,55.435,46.019,46.019,107.477,0.0,82.833,82.833,107.477,65.084,64.86,71.779,52.8
INST0183_N18_N03_D000,13.759,66.32,0.0,19.671,18.791,87.958,66.32,87.958,34.294,66.32,13.759,0.0,21.8,34.294,132.823,0.0,21.8,0.0,61.784,87.958,18.791,18.791,61.784,19.671,134.365,11.477,21.8,21.8,61.784,66.32,18.791,18.791,61.784,87.958,19.671,7.201,13.759
INST0183_N18_N03_P001,23.353,64.86,19.671,0.0,35.534,100.436,64.86,100.436,28.616,64.86,23.353,19.671,20.683,28.616,113.8,19.671,20.683,19.671,81.17,100.436,35.534,35.534,81.17,0.0,125.319,23.461,20.683,20.683,81.17,64.86,35.534,35.534,81.17,100.436,0.0,17.254,23.353
INST0183_N18_N03_D001,30.471,82.833,18.791,35.534,0.0,93.214,82.833,93.214,35.653,82.833,30.471,18.791,40.266,35.653,143.5,18.791,40.266,18.791,47.339,93.214,0.0,0.0,47.339,35.534,131.141,27.709,40.266,40.266,47.339,82.833,0.0,0.0,47.339,93.214,35.534,18.283,30.471
INST0183_N18_N03_P002,77.555,65.084,87.958,100.436,93.214,0.0,65.084,0.0,122.247,65.084,77.555,87.958,81.189,122.247,206.878,87.958,81.189,87.958,85.106,0.0,93.214,93.214,85.106,100.436,222.229,78.292,81.189,81.189,85.106,65.084,93.214,93.214,85.106,0.0,100.436,95.136,77.555
INST0183_N18_N03_D002,52.8,0.0,66.32,64.86,82.833,65.084,0.0,65.084,93.371,0.0,52.8,66.32,46.019,93.371,149.304,66.32,46.019,66.32,107.477,65.084,82.833,82.833,107.477,64.86,187.822,55.435,46.019,46.019,107.477,0.0,82.833,82.833,107.477,65.084,64.86,71.779,52.8
INST0183_N18_N03_P003,77.555,65.084,87.958,100.436,93.214,0.0,65.084,0.0,122.247,65.084,77.555,87.958,81.189,122.247,206.878,87.958,81.189,87.958,85.106,0.0,93.214,93.214,85.106,100.436,222.229,78.292,81.189,81.189,85.106,65.084,93.214,93.214,85.106,0.0,100.436,95.136,77.555
INST0183_N18_N03_D003,46.06,93.371,34.294,28.616,35.653,122.247,93.371,122.247,0.0,93.371,46.06,34.294,48.052,0.0,110.202,34.294,48.052,34.294,81.232,122.247,35.653,35.653,81.232,28.616,100.108,44.646,48.052,48.052,81.232,93.371,35.653,35.653,81.232,122.247,28.616,27.111,46.06
INST0183_N18_N03_P004,52.8,0.0,66.32,64.86,82.833,65.084,0.0,65.084,93.371,0.0,52.8,66.32,46.019,93.371,149.304,66.32,46.019,66.32,107.477,65.084,82.833,82.833,107.477,64.86,187.822,55.435,46.019,46.019,107.477,0.0,82.833,82.833,107.477,65.084,64.86,71.779,52.8
INST0183_N18_N03_D004,0.0,52.8,13.759,23.353,30.471,77.555,52.8,77.555,46.06,52.8,0.0,13.759,11.436,46.06,135.971,13.759,11.436,13.759,66.572,77.555,30.471,30.471,66.572,23.353,145.919,2.788,11.436,11.436,66.572,52.8,30.471,30.471,66.572,77.555,23.353,20.176,0.0
INST0183_N18_N03_P005,13.759,66.32,0.0,19.671,18.791,87.958,66.32,87.958,34.294,66.32,13.759,0.0,21.8,34.294,132.823,0.0,21.8,0.0,61.784,87.958,18.791,18.791,61.784,19.671,134.365,11.477,21.8,21.8,61.784,66.32,18.791,18.791,61.784,87.958,19.671,7.201,13.759
