,depot,INST0142_N12_W22_P000,INST0142_N12_W22_D000,INST0142_N12_W22_P001,INST0142_N12_W22_D001,INST0142_N12_W22_P002,INST0142_N12_W22_D002,INST0142_N12_W22_P003,INST0142_N12_W22_D003,INST0142_N12_W22_P004,INST0142_N12_W22_D004,INST0142_N12_W22_P005,INST0142_N12_W22_D005,INST0142_N12_W22_P006,INST0142_N12_W22_D006,INST0142_N12_W22_P007,INST0142_N12_W22_D007,INST0142_N12_W22_P008,INST0142_N12_W22_D008,INST0142_N12_W22_P009,INST0142_N12_W22_D009,INST0142_N12_W22_P010,INST0142_N12_W22_D010,INST0142_N12_W22_P011,INST0142_N12_W22_D011
depot,0.0,61.821,24.4,16.35,115.807,26.872,14.239,43.952,16.791,14.239,122.204,24.4,61.821,43.952,63.444,16.791,14.239,61.821,26.872,63.444,43.952,61.821,16.791,16.35,24.4
INST0142_N12_W22_P000,61.821,0.0,46.518,52.507,104.634,35.155,75.918,55.918,46.592,75.918,178.909,46.518,0.0,55.918,57.646,46.592,75.918,0.0,35.155,57.646,55.918,0.0,46.592,52.507,46.518
INST0142_N12_W22_D000,24.4,46.518,0.0,29.48,93.687,20.581,35.196,22.455,10.426,35.196,132.406,0.0,46.518,22.455,40.063,10.426,35.196,46.518,20.581,40.063,22.455,46.518,10.426,29.48,0.0
INST0142_N12_W22_P001,16.35,52.507,29.48,0.0,123.055,18.744,28.769,51.842,19.054,28.769,137.675,29.48,52.507,51.842,69.129,19.054,28.769,52.507,18.744,69.129,51.842,52.507,19.054,0.0,29.48
INST0142_N12_W22_D001,115.807,104.634,93.687,123.055,0.0,109.245,120.757,71.944,104.062,120.757,164.396,93.687,104.634,71.944,54.132,104.062,120.757,104.634,109.245,54.132,71.944,104.634,104.062,123.055,93.687
INST0142_N12_W22_P002,26.872,35.155,20.581,18.744,109.245,0.0,41.092,41.349,14.077,41.092,147.26,20.581,35.155,41.349,55.217,14.077,41.092,35.155,0.0,55.217,41.349,35.155,14.077,18.744,20.581
INST0142_N12_W22_D002,14.239,75.918,35.196,28.769,120.757,41.092,0.0,50.611,29.954,0.0,108.909,35.196,75.918,50.611,70.903,29.954,0.0,75.918,41.092,70.903,50.611,75.918,29.954,28.769,35.196
INST0142_N12_W22_P003,43.952,55.918,22.455,51.842,71.944,41.349,50.611,0.0,32.833,50.611,130.013,22.455,55.918,0.0,20.342,32.833,50.611,55.918,41.349,20.342,0.0,55.918,32.833,51.842,22.455
INST0142_N12_W22_D003,16.791,46.592,10.426,19.054,104.062,14.077,29.954,32.833,0.0,29.954,133.597,10.426,46.592,32.833,50.28,0.0,29.954,46.592,14.077,50.28,32.833,46.592,0.0,19.054,10.426
INST0142_N12_W22_P004,14.239,75.918,35.196,28.769,120.757,41.092,0.0,50.611,29.954,0.0,108.909,35.196,75.918,50.611,70.903,29.954,0.0,75.918,41.092,70.903,50.611,75.918,29.954,28.769,35.196
INST0142_N12_W22_D004,122.204,178.909,132.406,137.675,164.396,147.26,108.909,130.013,133.597,108.909,0.0,132.406,178.909,130.013,143.94,133.597,108.909,178.909,147.26,143.94,130.013,178.909,133.597,137.675,132.406
INST0142_N12_W22_P005,24.4,46.518,0.0,29.48,93.687,20.581,35.196,22.455,10.426,35.196,132.406,0.0,46.518,22.455,40.063,10.426,35.196,46.518,20.581,40.063,22.455,46.518,10.426,29.48,0.0
INST0142_N12_W22_D005,61.821,0.0,46.518,52.507,104.634,35.155,75.918,55.918,46.592,75.918,178.909,46.518,0.0,55.918,57.646,46.592,75.918,0.0,35.155,57.646,55.918,0.0,46.592,52.507,46.518
INST0142_N12_W22_P006,43.952,55.918,22.455,51.842,71.944,41.349,50.611,0.0,32.833,50.611,130.013,22.455,55.918,0.0,20.342,32.833,50.611,55.918,41.349,20.342,0.0,55.918,32.833,51.842,22.455
INST0142_N12_W22_D006,63.444,57.646,40.063,69.129,54.132,55.217,70.903,20.342,50.28,70.903,143.94,40.063,57.646,20.342,0.0,50.28,70.903,57.646,55.217,0.0,20.342,57.646,50.28,69.129,40.063
INST0142_N12_W22_P007,16.791,46.592,10.426,19.054,104.062,14.077,29.954,32.833,0.0,29.954,133.597,10.426,46.592,32.833,50.28,0.0,29.954,46.592,14.077,50.28,32.833,46.592,0.0,19.054,10.426
INST0142_N12_W22_D007,14.239,75.918,35.196,28.769,120.757,41.092,0.0,50.611,29.954,0.0,108.909,35.196,75.918,50.611,70.903,29.954,0.0,75.918,41.092,70.903,50.611,75.918,29.954,28.769,35.196
INST0142_N12_W22_P008,61.821,0.0,46.518,52.507,104.634,35.155,75.918,55.918,46.592,75.918,178.909,46.518,0.0,55.918,57.646,46.592,75.918,0.0,35.155,57.646,55.918,0.0,46.592,52.507,46.518
INST0142_N12_W22_D008,26.872,35.155,20.581,18.744,109.245,0.0,41.092,41.349,14.077,41.092,147.26,20.581,35.155,41.349,55.217,14.077,41.092,35.155,0.0,55.217,41.349,35.155,14.077,18.744,20.581
INST0142_N12_W22_P009,63.444,57.646,40.063,69.129,54.132,55.217,70.903,20.342,50.28,70.903,143.94,40.063,57.646,20.342,0.0,50.28,70.903,57.646,55.217,0.0,20.342,57.646,50.28,69.129,40.063
INST0142_N12_W22_D009,43.952,55.918,22.455,51.842,71.944,41.349,50.611,0.0,32.833,50.611,130.013,22.455,55.918,0.0,20.342,32.833,50.611,55.918,41.349,20.342,0.0,55.918,32.833,51.842,22.455
INST0142_N12_W22_P010,61.821,0.0,46.518,52.507,104.634,35.155,75.918,55.918,46.592,75.918,178.909,46.518,0.0,55.918,57.646,46.592,75.918,0.0,35.155,57.646,55.918,0.0,46.592,52.507,46.518
