,depot,INST0061_N8_W01_P000,INST0061_N8_W01_D000,INST0061_N8_W01_P001,INST0061_N8_W01_D001,INST0061_N8_W01_P002,INST0061_N8_W01_D002,INST0061_N8_W01_P003,INST0061_N8_W01_D003,INST0061_N8_W01_P004,INST0061_N8_W01_D004,INST0061_N8_W01_P005,INST0061_N8_W01_D005,INST0061_N8_W01_P006,INST0061_N8_W01_D006,INST0061_N8_W01_P007,INST0061_N8_W01_D007
depot,0.0,43.046,50.317,32.905,43.046,50.631,17.238,17.238,25.201,50.317,117.595,50.317,43.046,37.156,17.238,25.201,50.631
INST0061_N8_W01_P000,43.046,0.0,92.961,75.699,0.0,68.471,57.051,57.051,56.961,92.961,115.643,92.961,0.0,78.578,57.051,56.961,68.471
INST0061_N8_W01_D000,50.317,92.961,0.0,17.435,92.961,61.972,36.679,36.679,43.098,0.0,129.907,0.0,92.961,28.407,36.679,43.098,61.972
INST0061_N8_W01_P001,32.905,75.699,17.435,0.0,75.699,53.818,20.56,20.56,29.878,17.435,124.166,17.435,75.699,20.081,20.56,29.878,53.818
INST0061_N8_W01_D001,43.046,0.0,92.961,75.699,0.0,68.471,57.051,57.051,56.961,92.961,115.643,92.961,0.0,78.578,57.051,56.961,68.471
INST0061_N8_W01_P002,50.631,68.471,61.972,53.818,68.471,0.0,40.204,40.204,27.496,61.972,70.637,61.972,68.471,72.151,40.204,27.496,0.0
INST0061_N8_W01_D002,17.238,57.051,36.679,20.56,57.051,40.204,0.0,0.0,12.767,36.679,110.354,36.679,57.051,33.728,0.0,12.767,40.204
INST0061_N8_W01_P003,17.238,57.051,36.679,20.56,57.051,40.204,0.0,0.0,12.767,36.679,110.354,36.679,57.051,33.728,0.0,12.767,40.204
INST0061_N8_W01_D003,25.201,56.961,43.098,29.878,56.961,27.496,12.767,12.767,0.0,43.098,97.602,43.098,56.961,45.89,12.767,0.0,27.496
INST0061_N8_W01_P004,50.317,92.961,0.0,17.435,92.961,61.972,36.679,36.679,43.098,0.0,129.907,0.0,92.961,28.407,36.679,43.098,61.972
INST0061_N8_W01_D004,117.595,115.643,129.907,124.166,115.643,70.637,110.354,110.354,97.602,129.907,0.0,129.907,115.643,142.787,110.354,97.602,70.637
INST0061_N8_W01_P005,50.317,92.961,0.0,17.435,92.961,61.972,36.679,36.679,43.098,0.0,129.907,0.0,92.961,28.407,36.679,43.098,61.972
INST0061_N8_W01_D005,43.046,0.0,92.961,75.699,0.0,68.471,57.051,57.051,56.961,92.961,115.643,92.961,0.0,78.578,57.051,56.961,68.471
INST0061_N8_W01_P006,37.156,78.578,28.407,20.081,78.578,72.151,33.728,33.728,45.89,28.407,142.787,28.407,78.578,0.0,33.728,45.89,72.151
INST0061_N8_W01_D006,17.238,57.051,36.679,20.56,57.051,40.204,0.0,0.0,12.767,36.679,110.354,36.679,57.051,33.728,0.0,12.767,40.204
INST0061_N8_W01_P007,25.201,56.961,43.098,29.878,56.961,27.496,12.767,12.767,0.0,43.098,97.602,43.098,56.961,45.89,12.767,0.0,27.496
INST0061_N8_W01_D007,50.631,68.471,61.972,53.818,68.471,0.0,40.204,40.204,27.496,61.972,70.637,61.972,68.471,72.151,40.204,27.496,0.0
