,depot,INST0123_N12_N03_P000,INST0123_N12_N03_D000,INST0123_N12_N03_P001,INST0123_N12_N03_D001,INST0123_N12_N03_P002,INST0123_N12_N03_D002,INST0123_N12_N03_P003,INST0123_N12_N03_D003,INST0123_N12_N03_P004,INST0123_N12_N03_D004,INST0123_N12_N03_P005,INST0123_N12_N03_D005,INST0123_N12_N03_P006,INST0123_N12_N03_D006,INST0123_N12_N03_P007,INST0123_N12_N03_D007,INST0123_N12_N03_P008,INST0123_N12_N03_D008,INST0123_N12_N03_P009,INST0123_N12_N03_D009,INST0123_N12_N03_P010,INST0123_N12_N03_D010,INST0123_N12_N03_P011,INST0123_N12_N03_D011
depot,0.0,30.471,2.788,46.06,0.0,52.8,2.788,20.176,23.353,13.759,2.788,77.555,46.06,20.176,145.919,2.788,66.572,2.788,23.353,0.0,11.436,20.176,46.06,30.471,23.353
INST0123_N12_N03_P000,30.471,0.0,27.709,35.653,30.471,82.833,27.709,18.283,35.534,18.791,27.709,93.214,35.653,18.283,131.141,27.709,47.339,27.709,35.534,30.471,40.266,18.283,35.653,0.0,35.534
INST0123_N12_N03_D000,2.788,27.709,0.0,44.646,2.788,55.435,0.0,18.229,23.461,11.477,0.0,78.292,44.646,18.229,144.673,0.0,64.236,0.0,23.461,2.788,13.942,18.229,44.646,27.709,23.461
INST0123_N12_N03_P001,46.06,35.653,44.646,0.0,46.06,93.371,44.646,27.111,28.616,34.294,44.646,122.247,0.0,27.111,100.108,44.646,81.232,44.646,28.616,46.06,48.052,27.111,0.0,35.653,28.616
INST0123_N12_N03_D001,0.0,30.471,2.788,46.06,0.0,52.8,2.788,20.176,23.353,13.759,2.788,77.555,46.06,20.176,145.919,2.788,66.572,2.788,23.353,0.0,11.436,20.176,46.06,30.471,23.353
INST0123_N12_N03_P002,52.8,82.833,55.435,93.371,52.8,0.0,55.435,71.779,64.86,66.32,55.435,65.084,93.371,71.779,187.822,55.435,107.477,55.435,64.86,52.8,46.019,71.779,93.371,82.833,64.86
INST0123_N12_N03_D002,2.788,27.709,0.0,44.646,2.788,55.435,0.0,18.229,23.461,11.477,0.0,78.292,44.646,18.229,144.673,0.0,64.236,0.0,23.461,2.788,13.942,18.229,44.646,27.709,23.461
INST0123_N12_N03_P003,20.176,18.283,18.229,27.111,20.176,71.779,18.229,0.0,17.254,7.201,18.229,95.136,27.111,0.0,127.166,18.229,64.45,18.229,17.254,20.176,26.126,0.0,27.111,18.283,17.254
INST0123_N12_N03_D003,23.353,35.534,23.461,28.616,23.353,64.86,23.461,17.254,0.0,19.671,23.461,100.436,28.616,17.254,125.319,23.461,81.17,23.461,0.0,23.353,20.683,17.254,28.616,35.534,0.0
INST0123_N12_N03_P004,13.759,18.791,11.477,34.294,13.759,66.32,11.477,7.201,19.671,0.0,11.477,87.958,34.294,7.201,134.365,11.477,61.784,11.477,19.671,13.759,21.8,7.201,34.294,18.791,19.671
INST0123_N12_N03_D004,2.788,27.709,0.0,44.646,2.788,55.435,0.0,18.229,23.461,11.477,0.0,78.292,44.646,18.229,144.673,0.0,64.236,0.0,23.461,2.788,13.942,18.229,44.646,27.709,23.461
INST0123_N12_N03_P005,77.555,93.214,78.292,122.247,77.555,65.084,78.292,95.136,100.436,87.958,78.292,0.0,122.247,95.136,222.229,78.292,85.106,78.292,100.436,77.555,81.189,95.136,122.247,93.214,100.436
INST0123_N12_N03_D005,46.06,35.653,44.646,0.0,46.06,93.371,44.646,27.111,28.616,34.294,44.646,122.247,0.0,27.111,100.108,44.646,81.232,44.646,28.616,46.06,48.052,27.111,0.0,35.653,28.616
INST0123_N12_N03_P006,20.176,18.283,18.229,27.111,20.176,71.779,18.229,0.0,17.254,7.201,18.229,95.136,27.111,0.0,127.166,18.229,64.45,18.229,17.254,20.176,26.126,0.0,27.111,18.283,17.254
INST0123_N12_N03_D006,145.919,131.141,144.673,100.108,145.919,187.822,144.673,127.166,125.319,134.365,144.673,222.229,100.108,127.166,0.0,144.673,165.945,144.673,125.319,145.919,145.998,127.166,100.108,131.141,125.319
INST0123_N12_N03_P007,2.788,27.709,0.0,44.646,2.788,55.435,0.0,18.229,23.461,11.477,0.0,78.292,44.646,18.229,144.673,0.0,64.236,0.0,23.461,2.788,13.942,18.229,44.646,27.709,23.461
INST0123_N12_N03_D007,66.572,47.339,64.236,81.232,66.572,107.477,64.236,64.45,81.17,61.784,64.236,85.106,81.232,64.45,165.945,64.236,0.0,64.236,81.17,66.572,77.99,64.45,81.232,47.339,81.17
INST0123_N12_N03_P008,2.788,27.709,0.0,44.646,2.788,55.435,0.0,18.229,23.461,11.477,0.0,78.292,44.646,18.229,144.673,0.0,64.236,0.0,23.461,2.788,13.942,18.229,44.646,27.709,23.461
INST0123_N12_N03_D008,23.353,35.534,23.461,28.616,23.353,64.86,23.461,17.254,0.0,19.671,23.461,100.436,28.616,17.254,125.319,23.461,81.17,23.461,0.0,23.353,20.683,17.254,28.616,35.534,0.0
INST0123_N12_N03_P009,0.0,30.471,2.788,46.06,0.0,52.8,2.788,20.176,23.353,13.759,2.788,77.555,46.06,20.176,145.919,2.788,66.572,2.788,23.353,0.0,11.436,20.176,46.06,30.471,23.353
INST0123_N12_N03_D009,11.436,40.266,13.942,48.052,11.436,46.019,13.942,26.126,20.683,21.8,13.942,81.189,48.052,26.126,145.998,13.942,77.99,13.942,20.683,11.436,0.0,26.126,48.052,40.266,20.683
INST0123_N12_N03_P010,20.176,18.283,18.229,27.111,20.176,71.779,18.229,0.0,17.254,7.201,18.229,95.136,27.111,0.0,127.166,18.229,64.45,18.229,17.254,20.176,26.126,0.0,27.111,18.283,17.254
INST0123_N12_N03_D010,46.06,35.653,44.646,0.0,46.06,93.371,44.646,27.111,28.616,34.294,44.646,122.247,0.0,27.111,100.108,44.646,81.232,44.646,28.616,46.06,48.052,27.111,0.0,35.653,28.616
INST0123_N12_N03_P011,30.471,0.0,27.709,35.653,30.471,82.833,27.709,18.283,35.534,18.791,27.709,93.214,35.653,18.283,131.141,27.709,47.339,27.709,35.534,30.471,40.266,18.283,35.653,0.0,35.534
INST0123_N12_N03_D011,23.353,35.534,23.461,28.616,23.353,64.86,23.461,17.254,0.0,19.671,23.461,100.436,28.616,17.254,125.319,23.461,81.17,23.461,0.0,23.353,20.683,17.254,28.616,35.534,0.0
