,depot,INST0092_N10_S02_P000,INST0092_N10_S02_D000,INST0092_N10_S02_P001,INST0092_N10_S02_D001,INST0092_N10_S02_P002,INST0092_N10_S02_D002,INST0092_N10_S02_P003,INST0092_N10_S02_D003,INST0092_N10_S02_P004,INST0092_N10_S02_D004,INST0092_N10_S02_P005,INST0092_N10_S02_D005,INST0092_N10_S02_P006,INST0092_N10_S02_D006,INST0092_N10_S02_P007,INST0092_N10_S02_D007,INST0092_N10_S02_P008,INST0092_N10_S02_D008,INST0092_N10_S02_P009,INST0092_N10_S02_D009
depot,0.0,29.68,67.557,0.0,31.149,24.036,23.863,0.0,112.533,67.557,31.149,24.036,72.268,55.105,26.348,55.105,67.557,55.105,67.557,0.0,67.557
INST0092_N10_S02_P000,29.68,0.0,74.382,29.68,8.581,6.707,51.136,29.68,117.194,74.382,8.581,6.707,71.658,61.135,32.455,61.135,74.382,61.135,74.382,29.68,74.382
INST0092_N10_S02_D000,67.557,74.382,0.0,67.557,66.815,75.176,83.129,67.557,44.98,0.0,66.815,75.176,139.086,13.307,92.948,13.307,0.0,13.307,0.0,67.557,0.0
INST0092_N10_S02_P001,0.0,29.68,67.557,0.0,31.149,24.036,23.863,0.0,112.533,67.557,31.149,24.036,72.268,55.105,26.348,55.105,67.557,55.105,67.557,0.0,67.557
INST0092_N10_S02_D001,31.149,8.581,66.815,31.149,0.0,13.324,54.293,31.149,109.068,66.815,0.0,13.324,80.145,53.679,39.549,53.679,66.815,53.679,66.815,31.149,66.815
INST0092_N10_S02_P002,24.036,6.707,75.176,24.036,13.324,0.0,44.645,24.036,118.85,75.176,13.324,0.0,67.566,61.869,26.3,61.869,75.176,61.869,75.176,24.036,75.176
INST0092_N10_S02_D002,23.863,51.136,83.129,23.863,54.293,44.645,0.0,23.863,127.137,83.129,54.293,44.645,67.228,72.248,30.556,72.248,83.129,72.248,83.129,23.863,83.129
INST0092_N10_S02_P003,0.0,29.68,67.557,0.0,31.149,24.036,23.863,0.0,112.533,67.557,31.149,24.036,72.268,55.105,26.348,55.105,67.557,55.105,67.557,0.0,67.557
INST0092_N10_S02_D003,112.533,117.194,44.98,112.533,109.068,118.85,127.137,112.533,0.0,44.98,109.068,118.85,183.928,57.803,137.848,57.803,44.98,57.803,44.98,112.533,44.98
INST0092_N10_S02_P004,67.557,74.382,0.0,67.557,66.815,75.176,83.129,67.557,44.98,0.0,66.815,75.176,139.086,13.307,92.948,13.307,0.0,13.307,0.0,67.557,0.0
INST0092_N10_S02_D004,31.149,8.581,66.815,31.149,0.0,13.324,54.293,31.149,109.068,66.815,0.0,13.324,80.145,53.679,39.549,53.679,66.815,53.679,66.815,31.149,66.815
INST0092_N10_S02_P005,24.036,6.707,75.176,24.036,13.324,0.0,44.645,24.036,118.85,75.176,13.324,0.0,67.566,61.869,26.3,61.869,75.176,61.869,75.176,24.036,75.176
INST0092_N10_S02_D005,72.268,71.658,139.086,72.268,80.145,67.566,67.228,72.268,183.928,139.086,80.145,67.566,0.0,126.125,46.181,126.125,139.086,126.125,139.086,72.268,139.086
INST0092_N10_S02_P006,55.105,61.135,13.307,55.105,53.679,61.869,72.248,55.105,57.803,13.307,53.679,61.869,126.125,0.0,80.067,0.0,13.307,0.0,13.307,55.105,13.307
INST0092_N10_S02_D006,26.348,32.455,92.948,26.348,39.549,26.3,30.556,26.348,137.848,92.948,39.549,26.3,46.181,80.067,0.0,80.067,92.948,80.067,92.948,26.348,92.948
INST0092_N10_S02_P007,55.105,61.135,13.307,55.105,53.679,61.869,72.248,55.105,57.803,13.307,53.679,61.869,126.125,0.0,80.067,0.0,13.307,0.0,13.307,55.105,13.307
INST0092_N10_S02_D007,67.557,74.382,0.0,67.557,66.815,75.176,83.129,67.557,44.98,0.0,66.815,75.176,139.086,13.307,92.948,13.307,0.0,13.307,0.0,67.557,0.0
INST0092_N10_S02_P008,55.105,61.135,13.307,55.105,53.679,61.869,72.248,55.105,57.803,13.307,53.679,61.869,126.125,0.0,80.067,0.0,13.307,0.0,13.307,55.105,13.307
INST0092_N10_S02_D008,67.557,74.382,0.0,67.557,66.815,75.176,83.129,67.557,44.98,0.0,66.815,75.176,139.086,13.307,92.948,13.307,0.0,13.307,0.0,67.557,0.0
INST0092_N10_S02_P009,0.0,29.68,67.557,0.0,31.149,24.036,23.863,0.0,112.533,67.557,31.149,24.036,72.268,55.105,26.348,55.105,67.557,55.105,67.557,0.0,67.557
INST0092_N10_S02_D009,67.557,74.382,0.0,67.557,66.815,75.176,83.129,67.557,44.98,0.0,66.815,75.176,139.086,13.307,92.948,13.307,0.0,13.307,0.0,67.557,0.0
