,depot,INST0271_N25_W01_P000,INST0271_N25_W01_D000,INST0271_N25_W01_P001,INST0271_N25_W01_D001,INST0271_N25_W01_P002,INST0271_N25_W01_D002,INST0271_N25_W01_P003,INST0271_N25_W01_D003,INST0271_N25_W01_P004,INST0271_N25_W01_D004,INST0271_N25_W01_P005,INST0271_N25_W01_D005,INST0271_N25_W01_P006,INST0271_N25_W01_D006,INST0271_N25_W01_P007,INST0271_N25_W01_D007,INST0271_N25_W01_P008,INST0271_N25_W01_D008,INST0271_N25_W01_P009,INST0271_N25_W01_D009,INST0271_N25_W01_P010,INST0271_N25_W01_D010,INST0271_N25_W01_P011,INST0271_N25_W01_D011,INST0271_N25_W01_P012,INST0271_N25_W01_D012,INST0271_N25_W01_P013,INST0271_N25_W01_D013,INST0271_N25_W01_P014,INST0271_N25_W01_D014,INST0271_N25_W01_P015,INST0271_N25_W01_D015,INST0271_N25_W01_P016,INST0271_N25_W01_D016,INST0271_N25_W01_P017,INST0271_N25_W01_D017,INST0271_N25_W01_P018,INST0271_N25_W01_D018,INST0271_N25_W01_P019,INST0271_N25_W01_D019,INST0271_N25_W01_P020,INST0271_N25_W01_D020,INST0271_N25_W01_P021,INST0271_N25_W01_D021,INST0271_N25_W01_P022,INST0271_N25_W01_D022,INST0271_N25_W01_P023,INST0271_N25_W01_D023,INST0271_N25_W01_P024,INST0271_N25_W01_D024
depot,0.0,43.046,25.201,37.156,32.905,50.317,67.612,22.951,117.595,25.201,43.046,67.612,50.317,22.951,25.201,0.0,50.317,17.238,43.046,67.612,133.769,25.201,0.0,17.238,22.951,67.612,17.238,22.951,50.631,0.0,50.317,25.201,43.046,67.612,17.238,32.905,43.046,17.238,50.631,37.156,0.0,0.0,133.769,22.951,0.0,50.631,0.0,25.201,133.769,25.201,67.612
INST0271_N25_W01_P000,43.046,0.0,56.961,78.578,75.699,92.961,70.587,64.294,115.643,56.961,0.0,70.587,92.961,64.294,56.961,43.046,92.961,57.051,0.0,70.587,128.123,56.961,43.046,57.051,64.294,70.587,57.051,64.294,68.471,43.046,92.961,56.961,0.0,70.587,57.051,75.699,0.0,57.051,68.471,78.578,43.046,43.046,128.123,64.294,43.046,68.471,43.046,56.961,128.123,56.961,70.587
INST0271_N25_W01_D000,25.201,56.961,0.0,45.89,29.878,43.098,49.056,36.098,97.602,0.0,56.961,49.056,43.098,36.098,0.0,25.201,43.098,12.767,56.961,49.056,114.719,0.0,25.201,12.767,36.098,49.056,12.767,36.098,27.496,25.201,43.098,0.0,56.961,49.056,12.767,29.878,56.961,12.767,27.496,45.89,25.201,25.201,114.719,36.098,25.201,27.496,25.201,0.0,114.719,0.0,49.056
INST0271_N25_W01_P001,37.156,78.578,45.89,0.0,20.081,28.407,94.929,14.369,142.787,45.89,78.578,94.929,28.407,14.369,45.89,37.156,28.407,33.728,78.578,94.929,160.194,45.89,37.156,33.728,14.369,94.929,33.728,14.369,72.151,37.156,28.407,45.89,78.578,94.929,33.728,20.081,78.578,33.728,72.151,0.0,37.156,37.156,160.194,14.369,37.156,72.151,37.156,45.89,160.194,45.89,94.929
INST0271_N25_W01_D001,32.905,75.699,29.878,20.081,0.0,17.435,77.687,20.02,124.166,29.878,75.699,77.687,17.435,20.02,29.878,32.905,17.435,20.56,75.699,77.687,141.804,29.878,32.905,20.56,20.02,77.687,20.56,20.02,53.818,32.905,17.435,29.878,75.699,77.687,20.56,0.0,75.699,20.56,53.818,20.081,32.905,32.905,141.804,20.02,32.905,53.818,32.905,29.878,141.804,29.878,77.687
INST0271_N25_W01_P002,50.317,92.961,43.098,28.407,17.435,0.0,86.82,35.228,129.907,43.098,92.961,86.82,0.0,35.228,43.098,50.317,0.0,36.679,92.961,86.82,147.866,43.098,50.317,36.679,35.228,86.82,36.679,35.228,61.972,50.317,0.0,43.098,92.961,86.82,36.679,17.435,92.961,36.679,61.972,28.407,50.317,50.317,147.866,35.228,50.317,61.972,50.317,43.098,147.866,43.098,86.82
INST0271_N25_W01_D002,67.612,70.587,49.056,94.929,77.687,86.82,0.0,84.648,50.015,49.056,70.587,0.0,86.82,84.648,49.056,67.612,86.82,61.567,70.587,0.0,66.284,49.056,67.612,61.567,84.648,0.0,61.567,84.648,24.909,67.612,86.82,49.056,70.587,0.0,61.567,77.687,70.587,61.567,24.909,94.929,67.612,67.612,66.284,84.648,67.612,24.909,67.612,49.056,66.284,49.056,0.0
INST0271_N25_W01_P003,22.951,64.294,36.098,14.369,20.02,35.228,84.648,0.0,133.671,36.098,64.294,84.648,35.228,0.0,36.098,22.951,35.228,23.331,64.294,84.648,150.679,36.098,22.951,23.331,0.0,84.648,23.331,0.0,63.48,22.951,35.228,36.098,64.294,84.648,23.331,20.02,64.294,23.331,63.48,14.369,22.951,22.951,150.679,0.0,22.951,63.48,22.951,36.098,150.679,36.098,84.648
INST0271_N25_W01_D003,117.595,115.643,97.602,142.787,124.166,129.907,50.015,133.671,0.0,97.602,115.643,50.015,129.907,133.671,97.602,117.595,129.907,110.354,115.643,50.015,18.026,97.602,117.595,110.354,133.671,50.015,110.354,133.671,70.637,117.595,129.907,97.602,115.643,50.015,110.354,124.166,115.643,110.354,70.637,142.787,117.595,117.595,18.026,133.671,117.595,70.637,117.595,97.602,18.026,97.602,50.015
INST0271_N25_W01_P004,25.201,56.961,0.0,45.89,29.878,43.098,49.056,36.098,97.602,0.0,56.961,49.056,43.098,36.098,0.0,25.201,43.098,12.767,56.961,49.056,114.719,0.0,25.201,12.767,36.098,49.056,12.767,36.098,27.496,25.201,43.098,0.0,56.961,49.056,12.767,29.878,56.961,12.767,27.496,45.89,25.201,25.201,114.719,36.098,25.201,27.496,25.201,0.0,114.719,0.0,49.056
INST0271_N25_W01_D004,43.046,0.0,56.961,78.578,75.699,92.961,70.587,64.294,115.643,56.961,0.0,70.587,92.961,64.294,56.961,43.046,92.961,57.051,0.0,70.587,128.123,56.961,43.046,57.051,64.294,70.587,57.051,64.294,68.471,43.046,92.961,56.961,0.0,70.587,57.051,75.699,0.0,57.051,68.471,78.578,43.046,43.046,128.123,64.294,43.046,68.471,43.046,56.961,128.123,56.961,70.587
INST0271_N25_W01_P005,67.612,70.587,49.056,94.929,77.687,86.82,0.0,84.648,50.015,49.056,70.587,0.0,86.82,84.648,49.056,67.612,86.82,61.567,70.587,0.0,66.284,49.056,67.612,61.567,84.648,0.0,61.567,84.648,24.909,67.612,86.82,49.056,70.587,0.0,61.567,77.687,70.587,61.567,24.909,94.929,67.612,67.612,66.284,84.648,67.612,24.909,67.612,49.056,66.284,49.056,0.0
INST0271_N25_W01_D005,50.317,92.961,43.098,28.407,17.435,0.0,86.82,35.228,129.907,43.098,92.961,86.82,0.0,35.228,43.098,50.317,0.0,36.679,92.961,86.82,147.866,43.098,50.317,36.679,35.228,86.82,36.679,35.228,61.972,50.317,0.0,43.098,92.961,86.82,36.679,17.435,92.961,36.679,61.972,28.407,50.317,50.317,147.866,35.228,50.317,61.972,50.317,43.098,147.866,43.098,86.82
INST0271_N25_W01_P006,22.951,64.294,36.098,14.369,20.02,35.228,84.648,0.0,133.671,36.098,64.294,84.648,35.228,0.0,36.098,22.951,35.228,23.331,64.294,84.648,150.679,36.098,22.951,23.331,0.0,84.648,23.331,0.0,63.48,22.951,35.228,36.098,64.294,84.648,23.331,20.02,64.294,23.331,63.48,14.369,22.951,22.951,150.679,0.0,22.951,63.48,22.951,36.098,150.679,36.098,84.648
INST0271_N25_W01_D006,25.201,56.961,0.0,45.89,29.878,43.098,49.056,36.098,97.602,0.0,56.961,49.056,43.098,36.098,0.0,25.201,43.098,12.767,56.961,49.056,114.719,0.0,25.201,12.767,36.098,49.056,12.767,36.098,27.496,25.201,43.098,0.0,56.961,49.056,12.767,29.878,56.961,12.767,27.496,45.89,25.201,25.201,114.719,36.098,25.201,27.496,25.201,0.0,114.719,0.0,49.056
INST0271_N25_W01_P007,0.0,43.046,25.201,37.156,32.905,50.317,67.612,22.951,117.595,25.201,43.046,67.612,50.317,22.951,25.201,0.0,50.317,17.238,43.046,67.612,133.769,25.201,0.0,17.238,22.951,67.612,17.238,22.951,50.631,0.0,50.317,25.201,43.046,67.612,17.238,32.905,43.046,17.238,50.631,37.156,0.0,0.0,133.769,22.951,0.0,50.631,0.0,25.201,133.769,25.201,67.612
INST0271_N25_W01_D007,50.317,92.961,43.098,28.407,17.435,0.0,86.82,35.228,129.907,43.098,92.961,86.82,0.0,35.228,43.098,50.317,0.0,36.679,92.961,86.82,147.866,43.098,50.317,36.679,35.228,86.82,36.679,35.228,61.972,50.317,0.0,43.098,92.961,86.82,36.679,17.435,92.961,36.679,61.972,28.407,50.317,50.317,147.866,35.228,50.317,61.972,50.317,43.098,147.866,43.098,86.82
INST0271_N25_W01_P008,17.238,57.051,12.767,33.728,20.56,36.679,61.567,23.331,110.354,12.767,57.051,61.567,36.679,23.331,12.767,17.238,36.679,0.0,57.051,61.567,127.423,12.767,17.238,0.0,23.331,61.567,0.0,23.331,40.204,17.238,36.679,12.767,57.051,61.567,0.0,20.56,57.051,0.0,40.204,33.728,17.238,17.238,127.423,23.331,17.238,40.204,17.238,12.767,127.423,12.767,61.567
INST0271_N25_W01_D008,43.046,0.0,56.961,78.578,75.699,92.961,70.587,64.294,115.643,56.961,0.0,70.587,92.961,64.294,56.961,43.046,92.961,57.051,0.0,70.587,128.123,56.961,43.046,57.051,64.294,70.587,57.051,64.294,68.471,43.046,92.961,56.961,0.0,70.587,57.051,75.699,0.0,57.051,68.471,78.578,43.046,43.046,128.123,64.294,43.046,68.471,43.046,56.961,128.123,56.961,70.587
INST0271_N25_W01_P009,67.612,70.587,49.056,94.929,77.687,86.82,0.0,84.648,50.015,49.056,70.587,0.0,86.82,84.648,49.056,67.612,86.82,61.567,70.587,0.0,66.284,49.056,67.612,61.567,84.648,0.0,61.567,84.648,24.909,67.612,86.82,49.056,70.587,0.0,61.567,77.687,70.587,61.567,24.909,94.929,67.612,67.612,66.284,84.648,67.612,24.909,67.612,49.056,66.284,49.056,0.0
INST0271_N25_W01_D009,133.769,128.123,114.719,160.194,141.804,147.866,66.284,150.679,18.026,114.719,128.123,66.284,147.866,150.679,114.719,133.769,147.866,127.423,128.123,66.284,0.0,114.719,133.769,127.423,150.679,66.284,127.423,150.679,88.095,133.769,147.866,114.719,128.123,66.284,127.423,141.804,128.123,127.423,88.095,160.194,133.769,133.769,0.0,150.679,133.769,88.095,133.769,114.719,0.0,114.719,66.284
INST0271_N25_W01_P010,25.201,56.961,0.0,45.89,29.878,43.098,49.056,36.098,97.602,0.0,56.961,49.056,43.098,36.098,0.0,25.201,43.098,12.767,56.961,49.056,114.719,0.0,25.201,12.767,36.098,49.056,12.767,36.098,27.496,25.201,43.098,0.0,56.961,49.056,12.767,29.878,56.961,12.767,27.496,45.89,25.201,25.201,114.719,36.098,25.201,27.496,25.201,0.0,114.719,0.0,49.056
