,depot,INST0295_N25_W25_P000,INST0295_N25_W25_D000,INST0295_N25_W25_P001,INST0295_N25_W25_D001,INST0295_N25_W25_P002,INST0295_N25_W25_D002,INST0295_N25_W25_P003,INST0295_N25_W25_D003,INST0295_N25_W25_P004,INST0295_N25_W25_D004,INST0295_N25_W25_P005,INST0295_N25_W25_D005,INST0295_N25_W25_P006,INST0295_N25_W25_D006,INST0295_N25_W25_P007,INST0295_N25_W25_D007,INST0295_N25_W25_P008,INST0295_N25_W25_D008,INST0295_N25_W25_P009,INST0295_N25_W25_D009,INST0295_N25_W25_P010,INST0295_N25_W25_D010,INST0295_N25_W25_P011,INST0295_N25_W25_D011,INST0295_N25_W25_P012,INST0295_N25_W25_D012,INST0295_N25_W25_P013,INST0295_N25_W25_D013,INST0295_N25_W25_P014,INST0295_N25_W25_D014,INST0295_N25_W25_P015,INST0295_N25_W25_D015,INST0295_N25_W25_P016,INST0295_N25_W25_D016,INST0295_N25_W25_P017,INST0295_N25_W25_D017,INST0295_N25_W25_P018,INST0295_N25_W25_D018,INST0295_N25_W25_P019,INST0295_N25_W25_D019,INST0295_N25_W25_P020,INST0295_N25_W25_D020,INST0295_N25_W25_P021,INST0295_N25_W25_D021,INST0295_N25_W25_P022,INST0295_N25_W25_D022,INST0295_N25_W25_P023,INST0295_N25_W25_D023,INST0295_N25_W25_P024,INST0295_N25_W25_D024
depot,0.0,16.35,51.842,51.842,28.769,29.48,19.054,11.735,16.35,16.35,52.507,28.769,51.842,16.35,51.842,16.35,52.507,16.35,0.0,29.48,52.507,18.744,11.735,16.35,109.164,51.842,18.744,18.744,16.35,28.769,109.164,29.48,18.744,52.507,51.842,16.35,52.507,16.35,137.675,0.0,28.769,29.48,52.507,69.129,19.054,51.842,123.055,29.48,16.35,0.0,52.507
INST0295_N25_W25_P000,16.35,0.0,43.952,43.952,14.239,24.4,16.791,16.399,0.0,0.0,61.821,14.239,43.952,0.0,43.952,0.0,61.821,0.0,16.35,24.4,61.821,26.872,16.399,0.0,101.402,43.952,26.872,26.872,0.0,14.239,101.402,24.4,26.872,61.821,43.952,0.0,61.821,0.0,122.204,16.35,14.239,24.4,61.821,63.444,16.791,43.952,115.807,24.4,0.0,16.35,61.821
INST0295_N25_W25_D000,51.842,43.952,0.0,0.0,50.611,22.455,32.833,58.923,43.952,43.952,55.918,50.611,0.0,43.952,0.0,43.952,55.918,43.952,51.842,22.455,55.918,41.349,58.923,43.952,57.687,0.0,41.349,41.349,43.952,50.611,57.687,22.455,41.349,55.918,0.0,43.952,55.918,43.952,130.013,51.842,50.611,22.455,55.918,20.342,32.833,0.0,71.944,22.455,43.952,51.842,55.918
INST0295_N25_W25_P001,51.842,43.952,0.0,0.0,50.611,22.455,32.833,58.923,43.952,43.952,55.918,50.611,0.0,43.952,0.0,43.952,55.918,43.952,51.842,22.455,55.918,41.349,58.923,43.952,57.687,0.0,41.349,41.349,43.952,50.611,57.687,22.455,41.349,55.918,0.0,43.952,55.918,43.952,130.013,51.842,50.611,22.455,55.918,20.342,32.833,0.0,71.944,22.455,43.952,51.842,55.918
INST0295_N25_W25_D001,28.769,14.239,50.611,50.611,0.0,35.196,29.954,23.199,14.239,14.239,75.918,0.0,50.611,14.239,50.611,14.239,75.918,14.239,28.769,35.196,75.918,41.092,23.199,14.239,106.091,50.611,41.092,41.092,14.239,0.0,106.091,35.196,41.092,75.918,50.611,14.239,75.918,14.239,108.909,28.769,0.0,35.196,75.918,70.903,29.954,50.611,120.757,35.196,14.239,28.769,75.918
INST0295_N25_W25_P002,29.48,24.4,22.455,22.455,35.196,0.0,10.426,37.477,24.4,24.4,46.518,35.196,22.455,24.4,22.455,24.4,46.518,24.4,29.48,0.0,46.518,20.581,37.477,24.4,79.708,22.455,20.581,20.581,24.4,35.196,79.708,0.0,20.581,46.518,22.455,24.4,46.518,24.4,132.406,29.48,35.196,0.0,46.518,40.063,10.426,22.455,93.687,0.0,24.4,29.48,46.518
INST0295_N25_W25_D002,19.054,16.791,32.833,32.833,29.954,10.426,0.0,27.544,16.791,16.791,46.592,29.954,32.833,16.791,32.833,16.791,46.592,16.791,19.054,10.426,46.592,14.077,27.544,16.791,90.122,32.833,14.077,14.077,16.791,29.954,90.122,10.426,14.077,46.592,32.833,16.791,46.592,16.791,133.597,19.054,29.954,10.426,46.592,50.28,0.0,32.833,104.062,10.426,16.791,19.054,46.592
INST0295_N25_W25_P003,11.735,16.399,58.923,58.923,23.199,37.477,27.544,0.0,16.399,16.399,64.172,23.199,58.923,16.399,58.923,16.399,64.172,16.399,11.735,37.477,64.172,30.344,0.0,16.399,116.61,58.923,30.344,30.344,16.399,23.199,116.61,37.477,30.344,64.172,58.923,16.399,64.172,16.399,130.691,11.735,23.199,37.477,64.172,77.525,27.544,58.923,130.825,37.477,16.399,11.735,64.172
INST0295_N25_W25_D003,16.35,0.0,43.952,43.952,14.239,24.4,16.791,16.399,0.0,0.0,61.821,14.239,43.952,0.0,43.952,0.0,61.821,0.0,16.35,24.4,61.821,26.872,16.399,0.0,101.402,43.952,26.872,26.872,0.0,14.239,101.402,24.4,26.872,61.821,43.952,0.0,61.821,0.0,122.204,16.35,14.239,24.4,61.821,63.444,16.791,43.952,115.807,24.4,0.0,16.35,61.821
INST0295_N25_W25_P004,16.35,0.0,43.952,43.952,14.239,24.4,16.791,16.399,0.0,0.0,61.821,14.239,43.952,0.0,43.952,0.0,61.821,0.0,16.35,24.4,61.821,26.872,16.399,0.0,101.402,43.952,26.872,26.872,0.0,14.239,101.402,24.4,26.872,61.821,43.952,0.0,61.821,0.0,122.204,16.35,14.239,24.4,61.821,63.444,16.791,43.952,115.807,24.4,0.0,16.35,61.821
