,depot,INST0085_N8_W25_P000,INST0085_N8_W25_D000,INST0085_N8_W25_P001,INST0085_N8_W25_D001,INST0085_N8_W25_P002,INST0085_N8_W25_D002,INST0085_N8_W25_P003,INST0085_N8_W25_D003,INST0085_N8_W25_P004,INST0085_N8_W25_D004,INST0085_N8_W25_P005,INST0085_N8_W25_D005,INST0085_N8_W25_P006,INST0085_N8_W25_D006,INST0085_N8_W25_P007,INST0085_N8_W25_D007
depot,0.0,23.331,150.679,0.0,64.294,14.369,84.648,20.02,14.369,64.294,63.48,0.0,63.48,14.369,0.0,0.0,35.228
INST0085_N8_W25_P000,23.331,0.0,127.423,23.331,57.051,33.728,61.567,20.56,33.728,57.051,40.204,23.331,40.204,33.728,23.331,23.331,36.679
INST0085_N8_W25_D000,150.679,127.423,0.0,150.679,128.123,160.194,66.284,141.804,160.194,128.123,88.095,150.679,88.095,160.194,150.679,150.679,147.866
INST0085_N8_W25_P001,0.0,23.331,150.679,0.0,64.294,14.369,84.648,20.02,14.369,64.294,63.48,0.0,63.48,14.369,0.0,0.0,35.228
INST0085_N8_W25_D001,64.294,57.051,128.123,64.294,0.0,78.578,70.587,75.699,78.578,0.0,68.471,64.294,68.471,78.578,64.294,64.294,92.961
INST0085_N8_W25_P002,14.369,33.728,160.194,14.369,78.578,0.0,94.929,20.081,0.0,78.578,72.151,14.369,72.151,0.0,14.369,14.369,28.407
INST0085_N8_W25_D002,84.648,61.567,66.284,84.648,70.587,94.929,0.0,77.687,94.929,70.587,24.909,84.648,24.909,94.929,84.648,84.648,86.82
INST0085_N8_W25_P003,20.02,20.56,141.804,20.02,75.699,20.081,77.687,0.0,20.081,75.699,53.818,20.02,53.818,20.081,20.02,20.02,17.435
INST0085_N8_W25_D003,14.369,33.728,160.194,14.369,78.578,0.0,94.929,20.081,0.0,78.578,72.151,14.369,72.151,0.0,14.369,14.369,28.407
INST0085_N8_W25_P004,64.294,57.051,128.123,64.294,0.0,78.578,70.587,75.699,78.578,0.0,68.471,64.294,68.471,78.578,64.294,64.294,92.961
INST0085_N8_W25_D004,63.48,40.204,88.095,63.48,68.471,72.151,24.909,53.818,72.151,68.471,0.0,63.48,0.0,72.151,63.48,63.48,61.972
INST0085_N8_W25_P005,0.0,23.331,150.679,0.0,64.294,14.369,84.648,20.02,14.369,64.294,63.48,0.0,63.48,14.369,0.0,0.0,35.228
INST0085_N8_W25_D005,63.48,40.204,88.095,63.48,68.471,72.151,24.909,53.818,72.151,68.471,0.0,63.48,0.0,72.151,63.48,63.48,61.972
INST0085_N8_W25_P006,14.369,33.728,160.194,14.369,78.578,0.0,94.929,20.081,0.0,78.578,72.151,14.369,72.151,0.0,14.369,14.369,28.407
INST0085_N8_W25_D006,0.0,23.331,150.679,0.0,64.294,14.369,84.648,20.02,14.369,64.294,63.48,0.0,63.48,14.369,0.0,0.0,35.228
INST0085_N8_W25_P007,0.0,23.331,150.679,0.0,64.294,14.369,84.648,20.02,14.369,64.294,63.48,0.0,63.48,14.369,0.0,0.0,35.228
INST0085_N8_W25_D007,35.228,36.679,147.866,35.228,92.961,28.407,86.82,17.435,28.407,92.961,61.972,35.228,61.972,28.407,35.228,35.228,0.0
