,depot,INST0059_N5_S29_P000,INST0059_N5_S29_D000,INST0059_N5_S29_P001,INST0059_N5_S29_D001,INST0059_N5_S29_P002,INST0059_N5_S29_D002,INST0059_N5_S29_P003,INST0059_N5_S29_D003,INST0059_N5_S29_P004,INST0059_N5_S29_D004
depot,0.0,58.699,122.952,32.298,58.699,44.339,7.008,65.452,10.881,43.838,25.439
INST0059_N5_S29_P000,58.699,0.0,123.443,88.975,0.0,102.776,62.898,113.511,68.319,71.865,83.416
INST0059_N5_S29_D000,122.952,123.443,0.0,145.321,123.443,134.327,129.526,183.035,130.689,80.368,124.222
INST0059_N5_S29_P001,32.298,88.975,145.321,0.0,88.975,24.954,26.505,37.715,21.478,65.388,21.517
INST0059_N5_S29_D001,58.699,0.0,123.443,88.975,0.0,102.776,62.898,113.511,68.319,71.865,83.416
INST0059_N5_S29_P002,44.339,102.776,134.327,24.954,102.776,0.0,41.761,54.903,36.46,59.003,19.488
INST0059_N5_S29_D002,7.008,62.898,129.526,26.505,62.898,41.761,0.0,58.521,5.477,49.927,24.239
INST0059_N5_S29_P003,65.452,113.511,183.035,37.715,113.511,54.903,58.521,0.0,55.179,103.002,59.019
INST0059_N5_S29_D003,10.881,68.319,130.689,21.478,68.319,36.46,5.477,55.179,0.0,50.526,19.629
INST0059_N5_S29_P004,43.838,71.865,80.368,65.388,71.865,59.003,49.927,103.002,50.526,0.0,45.002
INST0059_N5_S29_D004,25.439,83.416,124.222,21.517,83.416,19.488,24.239,59.019,19.629,45.002,0.0
