,depot,INST0060_N8_N00_P000,INST0060_N8_N00_D000,INST0060_N8_N00_P001,INST0060_N8_N00_D001,INST0060_N8_N00_P002,INST0060_N8_N00_D002,INST0060_N8_N00_P003,INST0060_N8_N00_D003,INST0060_N8_N00_P004,INST0060_N8_N00_D004,INST0060_N8_N00_P005,INST0060_N8_N00_D005,INST0060_N8_N00_P006,INST0060_N8_N00_D006,INST0060_N8_N00_P007,INST0060_N8_N00_D007
depot,0.0,75.654,146.035,23.01,26.694,24.088,75.654,16.848,24.088,41.993,75.654,81.208,107.703,75.654,0.0,23.01,8.817
INST0060_N8_N00_P000,75.654,0.0,127.812,57.966,95.498,99.392,0.0,81.517,99.392,99.467,0.0,131.605,104.211,0.0,75.654,57.966,78.919
INST0060_N8_N00_D000,146.035,127.812,0.0,149.729,139.481,162.63,127.812,134.313,162.63,187.802,127.812,116.851,40.266,127.812,146.035,149.729,154.717
INST0060_N8_N00_P001,23.01,57.966,149.729,0.0,49.306,43.511,57.966,37.312,43.511,43.657,57.966,101.428,114.14,57.966,23.01,0.0,22.387
INST0060_N8_N00_D001,26.694,95.498,139.481,49.306,0.0,25.326,95.498,14.003,25.326,58.839,95.498,56.35,99.415,95.498,26.694,49.306,31.992
INST0060_N8_N00_P002,24.088,99.392,162.63,43.511,25.326,0.0,99.392,28.595,0.0,35.041,99.392,79.42,122.983,99.392,24.088,43.511,21.127
INST0060_N8_N00_D002,75.654,0.0,127.812,57.966,95.498,99.392,0.0,81.517,99.392,99.467,0.0,131.605,104.211,0.0,75.654,57.966,78.919
INST0060_N8_N00_P003,16.848,81.517,134.313,37.312,14.003,28.595,81.517,0.0,28.595,56.4,81.517,64.653,94.965,81.517,16.848,37.312,24.705
INST0060_N8_N00_D003,24.088,99.392,162.63,43.511,25.326,0.0,99.392,28.595,0.0,35.041,99.392,79.42,122.983,99.392,24.088,43.511,21.127
INST0060_N8_N00_P004,41.993,99.467,187.802,43.657,58.839,35.041,99.467,56.4,35.041,0.0,99.467,114.332,149.69,99.467,41.993,43.657,33.197
INST0060_N8_N00_D004,75.654,0.0,127.812,57.966,95.498,99.392,0.0,81.517,99.392,99.467,0.0,131.605,104.211,0.0,75.654,57.966,78.919
INST0060_N8_N00_P005,81.208,131.605,116.851,101.428,56.35,79.42,131.605,64.653,79.42,114.332,131.605,0.0,79.694,131.605,81.208,101.428,87.893
INST0060_N8_N00_D005,107.703,104.211,40.266,114.14,99.415,122.983,104.211,94.965,122.983,149.69,104.211,79.694,0.0,104.211,107.703,114.14,116.493
INST0060_N8_N00_P006,75.654,0.0,127.812,57.966,95.498,99.392,0.0,81.517,99.392,99.467,0.0,131.605,104.211,0.0,75.654,57.966,78.919
INST0060_N8_N00_D006,0.0,75.654,146.035,23.01,26.694,24.088,75.654,16.848,24.088,41.993,75.654,81.208,107.703,75.654,0.0,23.01,8.817
INST0060_N8_N00_P007,23.01,57.966,149.729,0.0,49.306,43.511,57.966,37.312,43.511,43.657,57.966,101.428,114.14,57.966,23.01,0.0,22.387
INST0060_N8_N00_D007,8.817,78.919,154.717,22.387,31.992,21.127,78.919,24.705,21.127,33.197,78.919,87.893,116.493,78.919,8.817,22.387,0.0
