,depot,INST0177_N15_N27_P000,INST0177_N15_N27_D000,INST0177_N15_N27_P001,INST0177_N15_N27_D001,INST0177_N15_N27_P002,INST0177_N15_N27_D002,INST0177_N15_N27_P003,INST0177_N15_N27_D003,INST0177_N15_N27_P004,INST0177_N15_N27_D004,INST0177_N15_N27_P005,INST0177_N15_N27_D005,INST0177_N15_N27_P006,INST0177_N15_N27_D006,INST0177_N15_N27_P007,INST0177_N15_N27_D007,INST0177_N15_N27_P008,INST0177_N15_N27_D008,INST0177_N15_N27_P009,INST0177_N15_N27_D009,INST0177_N15_N27_P010,INST0177_N15_N27_D010,INST0177_N15_N27_P011,INST0177_N15_N27_D011,INST0177_N15_N27_P012,INST0177_N15_N27_D012,INST0177_N15_N27_P013,INST0177_N15_N27_D013,INST0177_N15_N27_P014,INST0177_N15_N27_D014
depot,0.0,23.01,49.306,23.01,149.729,23.01,37.312,22.387,160.581,33.929,0.0,23.01,149.729,43.511,22.387,57.966,0.0,49.306,101.428,43.511,37.312,23.01,57.966,33.929,149.729,43.657,23.01,57.966,49.306,43.657,37.312
INST0177_N15_N27_P000,23.01,0.0,26.694,0.0,146.035,0.0,16.848,8.817,164.529,14.053,23.01,0.0,146.035,24.088,8.817,75.654,23.01,26.694,81.208,24.088,16.848,0.0,75.654,14.053,146.035,41.993,0.0,75.654,26.694,41.993,16.848
INST0177_N15_N27_D000,49.306,26.694,0.0,26.694,139.481,26.694,14.003,31.992,178.773,17.072,49.306,26.694,139.481,25.326,31.992,95.498,49.306,0.0,56.35,25.326,14.003,26.694,95.498,17.072,139.481,58.839,26.694,95.498,0.0,58.839,14.003
INST0177_N15_N27_P001,23.01,0.0,26.694,0.0,146.035,0.0,16.848,8.817,164.529,14.053,23.01,0.0,146.035,24.088,8.817,75.654,23.01,26.694,81.208,24.088,16.848,0.0,75.654,14.053,146.035,41.993,0.0,75.654,26.694,41.993,16.848
INST0177_N15_N27_D001,149.729,146.035,139.481,146.035,0.0,146.035,134.313,154.717,309.6,134.948,149.729,146.035,0.0,162.63,154.717,127.812,149.729,139.481,116.851,162.63,134.313,146.035,127.812,134.948,0.0,187.802,146.035,127.812,139.481,187.802,134.313
INST0177_N15_N27_P002,23.01,0.0,26.694,0.0,146.035,0.0,16.848,8.817,164.529,14.053,23.01,0.0,146.035,24.088,8.817,75.654,23.01,26.694,81.208,24.088,16.848,0.0,75.654,14.053,146.035,41.993,0.0,75.654,26.694,41.993,16.848
INST0177_N15_N27_D002,37.312,16.848,14.003,16.848,134.313,16.848,0.0,24.705,178.677,3.413,37.312,16.848,134.313,28.595,24.705,81.517,37.312,14.003,64.653,28.595,0.0,16.848,81.517,3.413,134.313,56.4,16.848,81.517,14.003,56.4,0.0
INST0177_N15_N27_P003,22.387,8.817,31.992,8.817,154.717,8.817,24.705,0.0,155.714,22.322,22.387,8.817,154.717,21.127,0.0,78.919,22.387,31.992,87.893,21.127,24.705,8.817,78.919,22.322,154.717,33.197,8.817,78.919,31.992,33.197,24.705
INST0177_N15_N27_D003,160.581,164.529,178.773,164.529,309.6,164.529,178.677,155.714,0.0,177.15,160.581,164.529,309.6,153.452,155.714,203.198,160.581,178.773,229.986,153.452,178.677,164.529,203.198,177.15,309.6,122.582,164.529,203.198,178.773,122.582,178.677
INST0177_N15_N27_P004,33.929,14.053,17.072,14.053,134.948,14.053,3.413,22.322,177.15,0.0,33.929,14.053,134.948,28.727,22.322,78.656,33.929,17.072,67.88,28.727,3.413,14.053,78.656,0.0,134.948,54.669,14.053,78.656,17.072,54.669,3.413
INST0177_N15_N27_D004,0.0,23.01,49.306,23.01,149.729,23.01,37.312,22.387,160.581,33.929,0.0,23.01,149.729,43.511,22.387,57.966,0.0,49.306,101.428,43.511,37.312,23.01,57.966,33.929,149.729,43.657,23.01,57.966,49.306,43.657,37.312
INST0177_N15_N27_P005,23.01,0.0,26.694,0.0,146.035,0.0,16.848,8.817,164.529,14.053,23.01,0.0,146.035,24.088,8.817,75.654,23.01,26.694,81.208,24.088,16.848,0.0,75.654,14.053,146.035,41.993,0.0,75.654,26.694,41.993,16.848
INST0177_N15_N27_D005,149.729,146.035,139.481,146.035,0.0,146.035,134.313,154.717,309.6,134.948,149.729,146.035,0.0,162.63,154.717,127.812,149.729,139.481,116.851,162.63,134.313,146.035,127.812,134.948,0.0,187.802,146.035,127.812,139.481,187.802,134.313
INST0177_N15_N27_P006,43.511,24.088,25.326,24.088,162.63,24.088,28.595,21.127,153.452,28.727,43.511,24.088,162.63,0.0,21.127,99.392,43.511,25.326,79.42,0.0,28.595,24.088,99.392,28.727,162.63,35.041,24.088,99.392,25.326,35.041,28.595
INST0177_N15_N27_D006,22.387,8.817,31.992,8.817,154.717,8.817,24.705,0.0,155.714,22.322,22.387,8.817,154.717,21.127,0.0,78.919,22.387,31.992,87.893,21.127,24.705,8.817,78.919,22.322,154.717,33.197,8.817,78.919,31.992,33.197,24.705
INST0177_N15_N27_P007,57.966,75.654,95.498,75.654,127.812,75.654,81.517,78.919,203.198,78.656,57.966,75.654,127.812,99.392,78.919,0.0,57.966,95.498,131.605,99.392,81.517,75.654,0.0,78.656,127.812,99.467,75.654,0.0,95.498,99.467,81.517
INST0177_N15_N27_D007,0.0,23.01,49.306,23.01,149.729,23.01,37.312,22.387,160.581,33.929,0.0,23.01,149.729,43.511,22.387,57.966,0.0,49.306,101.428,43.511,37.312,23.01,57.966,33.929,149.729,43.657,23.01,57.966,49.306,43.657,37.312
INST0177_N15_N27_P008,49.306,26.694,0.0,26.694,139.481,26.694,14.003,31.992,178.773,17.072,49.306,26.694,139.481,25.326,31.992,95.498,49.306,0.0,56.35,25.326,14.003,26.694,95.498,17.072,139.481,58.839,26.694,95.498,0.0,58.839,14.003
INST0177_N15_N27_D008,101.428,81.208,56.35,81.208,116.851,81.208,64.653,87.893,229.986,67.88,101.428,81.208,116.851,79.42,87.893,131.605,101.428,56.35,0.0,79.42,64.653,81.208,131.605,67.88,116.851,114.332,81.208,131.605,56.35,114.332,64.653
INST0177_N15_N27_P009,43.511,24.088,25.326,24.088,162.63,24.088,28.595,21.127,153.452,28.727,43.511,24.088,162.63,0.0,21.127,99.392,43.511,25.326,79.42,0.0,28.595,24.088,99.392,28.727,162.63,35.041,24.088,99.392,25.326,35.041,28.595
INST0177_N15_N27_D009,37.312,16.848,14.003,16.848,134.313,16.848,0.0,24.705,178.677,3.413,37.312,16.848,134.313,28.595,24.705,81.517,37.312,14.003,64.653,28.595,0.0,16.848,81.517,3.413,134.313,56.4,16.848,81.517,14.003,56.4,0.0
INST0177_N15_N27_P010,23.01,0.0,26.694,0.0,146.035,0.0,16.848,8.817,164.529,14.053,23.01,0.0,146.035,24.088,8.817,75.654,23.01,26.694,81.208,24.088,16.848,0.0,75.654,14.053,146.035,41.993,0.0,75.654,26.694,41.993,16.848
INST0177_N15_N27_D010,57.966,75.654,95.498,75.654,127.812,75.654,81.517,78.919,203.198,78.656,57.966,75.654,127.812,99.392,78.919,0.0,57.966,95.498,131.605,99.392,81.517,75.654,0.0,78.656,127.812,99.467,75.654,0.0,95.498,99.467,81.517
INST0177_N15_N27_P011,33.929,14.053,17.072,14.053,134.948,14.053,3.413,22.322,177.15,0.0,33.929,14.053,134.948,28.727,22.322,78.656,33.929,17.072,67.88,28.727,3.413,14.053,78.656,0.0,134.948,54.669,14.053,78.656,17.072,54.669,3.413
INST0177_N15_N27_D011,149.729,146.035,139.481,146.035,0.0,146.035,134.313,154.717,309.6,134.948,149.729,146.035,0.0,162.63,154.717,127.812,149.729,139.481,116.851,162.63,134.313,146.035,127.812,134.948,0.0,187.802,146.035,127.812,139.481,187.802,134.313
INST0177_N15_N27_P012,43.657,41.993,58.839,41.993,187.802,41.993,56.4,33.197,122.582,54.669,43.657,41.993,187.802,35.041,33.197,99.467,43.657,58.839,114.332,35.041,56.4,41.993,99.467,54.669,187.802,0.0,41.993,99.467,58.839,0.0,56.4
INST0177_N15_N27_D012,23.01,0.0,26.694,0.0,146.035,0.0,16.848,8.817,164.529,14.053,23.01,0.0,146.035,24.088,8.817,75.654,23.01,26.694,81.208,24.088,16.848,0.0,75.654,14.053,146.035,41.993,0.0,75.654,26.694,41.993,16.848
INST0177_N15_N27_P013,57.966,75.654,95.498,75.654,127.812,75.654,81.517,78.919,203.198,78.656,57.966,75.654,127.812,99.392,78.919,0.0,57.966,95.498,131.605,99.392,81.517,75.654,0.0,78.656,127.812,99.467,75.654,0.0,95.498,99.467,81.517
INST0177_N15_N27_D013,49.306,26.694,0.0,26.694,139.481,26.694,14.003,31.992,178.773,17.072,49.306,26.694,139.481,25.326,31.992,95.498,49.306,0.0,56.35,25.326,14.003,26.694,95.498,17.072,139.481,58.839,26.694,95.498,0.0,58.839,14.003
INST0177_N15_N27_P014,43.657,41.993,58.839,41.993,187.802,41.993,56.4,33.197,122.582,54.669,43.657,41.993,187.802,35.041,33.197,99.467,43.657,58.839,114.332,35.041,56.4,41.993,99.467,54.669,187.802,0.0,41.993,99.467,58.839,0.0,56.4
INST0177_N15_N27_D014,37.312,16.848,14.003,16.848,134.313,16.848,0.0,24.705,178.677,3.413,37.312,16.848,134.313,28.595,24.705,81.517,37.312,14.003,64.653,28.595,0.0,16.848,81.517,3.413,134.313,56.4,16.848,81.517,14.003,56.4,0.0
