,depot,INST0165_N15_N15_P000,INST0165_N15_N15_D000,INST0165_N15_N15_P001,INST0165_N15_N15_D001,INST0165_N15_N15_P002,INST0165_N15_N15_D002,INST0165_N15_N15_P003,INST0165_N15_N15_D003,INST0165_N15_N15_P004,INST0165_N15_N15_D004,INST0165_N15_N15_P005,INST0165_N15_N15_D005,INST0165_N15_N15_P006,INST0165_N15_N15_D006,INST0165_N15_N15_P007,INST0165_N15_N15_D007,INST0165_N15_N15_P008,INST0165_N15_N15_D008,INST0165_N15_N15_P009,INST0165_N15_N15_D009,INST0165_N15_N15_P010,INST0165_N15_N15_D010,INST0165_N15_N15_P011,INST0165_N15_N15_D011,INST0165_N15_N15_P012,INST0165_N15_N15_D012,INST0165_N15_N15_P013,INST0165_N15_N15_D013,INST0165_N15_N15_P014,INST0165_N15_N15_D014
depot,0.0,21.8,13.759,0.0,61.784,21.8,18.791,0.0,119.262,7.201,119.262,34.294,11.477,66.32,19.671,21.8,11.477,11.477,7.201,0.0,18.791,7.201,66.32,11.477,21.8,7.201,119.262,34.294,134.365,19.671,66.32
INST0165_N15_N15_P000,21.8,0.0,11.436,21.8,77.99,0.0,40.266,21.8,113.909,26.126,113.909,48.052,13.942,46.019,20.683,0.0,13.942,13.942,26.126,21.8,40.266,26.126,46.019,13.942,0.0,26.126,113.909,48.052,145.998,20.683,46.019
INST0165_N15_N15_D000,13.759,11.436,0.0,13.759,66.572,11.436,30.471,13.759,109.689,20.176,109.689,46.06,2.788,52.8,23.353,11.436,2.788,2.788,20.176,13.759,30.471,20.176,52.8,2.788,11.436,20.176,109.689,46.06,145.919,23.353,52.8
INST0165_N15_N15_P001,0.0,21.8,13.759,0.0,61.784,21.8,18.791,0.0,119.262,7.201,119.262,34.294,11.477,66.32,19.671,21.8,11.477,11.477,7.201,0.0,18.791,7.201,66.32,11.477,21.8,7.201,119.262,34.294,134.365,19.671,66.32
INST0165_N15_N15_D001,61.784,77.99,66.572,61.784,0.0,77.99,47.339,61.784,104.379,64.45,104.379,81.232,64.236,107.477,81.17,77.99,64.236,64.236,64.45,61.784,47.339,64.45,107.477,64.236,77.99,64.45,104.379,81.232,165.945,81.17,107.477
INST0165_N15_N15_P002,21.8,0.0,11.436,21.8,77.99,0.0,40.266,21.8,113.909,26.126,113.909,48.052,13.942,46.019,20.683,0.0,13.942,13.942,26.126,21.8,40.266,26.126,46.019,13.942,0.0,26.126,113.909,48.052,145.998,20.683,46.019
INST0165_N15_N15_D002,18.791,40.266,30.471,18.791,47.339,40.266,0.0,18.791,122.278,18.283,122.278,35.653,27.709,82.833,35.534,40.266,27.709,27.709,18.283,18.791,0.0,18.283,82.833,27.709,40.266,18.283,122.278,35.653,131.141,35.534,82.833
INST0165_N15_N15_P003,0.0,21.8,13.759,0.0,61.784,21.8,18.791,0.0,119.262,7.201,119.262,34.294,11.477,66.32,19.671,21.8,11.477,11.477,7.201,0.0,18.791,7.201,66.32,11.477,21.8,7.201,119.262,34.294,134.365,19.671,66.32
INST0165_N15_N15_D003,119.262,113.909,109.689,119.262,104.379,113.909,122.278,119.262,0.0,126.352,0.0,153.371,110.207,95.428,132.815,113.909,110.207,110.207,126.352,119.262,122.278,126.352,95.428,110.207,113.909,126.352,0.0,153.371,252.84,132.815,95.428
INST0165_N15_N15_P004,7.201,26.126,20.176,7.201,64.45,26.126,18.283,7.201,126.352,0.0,126.352,27.111,18.229,71.779,17.254,26.126,18.229,18.229,0.0,7.201,18.283,0.0,71.779,18.229,26.126,0.0,126.352,27.111,127.166,17.254,71.779
