,depot,INST0241_N22_W01_P000,INST0241_N22_W01_D000,INST0241_N22_W01_P001,INST0241_N22_W01_D001,INST0241_N22_W01_P002,INST0241_N22_W01_D002,INST0241_N22_W01_P003,INST0241_N22_W01_D003,INST0241_N22_W01_P004,INST0241_N22_W01_D004,INST0241_N22_W01_P005,INST0241_N22_W01_D005,INST0241_N22_W01_P006,INST0241_N22_W01_D006,INST0241_N22_W01_P007,INST0241_N22_W01_D007,INST0241_N22_W01_P008,INST0241_N22_W01_D008,INST0241_N22_W01_P009,INST0241_N22_W01_D009,INST0241_N22_W01_P010,INST0241_N22_W01_D010,INST0241_N22_W01_P011,INST0241_N22_W01_D011,INST0241_N22_W01_P012,INST0241_N22_W01_D012,INST0241_N22_W01_P013,INST0241_N22_W01_D013,INST0241_N22_W01_P014,INST0241_N22_W01_D014,INST0241_N22_W01_P015,INST0241_N22_W01_D015,INST0241_N22_W01_P016,INST0241_N22_W01_D016,INST0241_N22_W01_P017,INST0241_N22_W01_D017,INST0241_N22_W01_P018,INST0241_N22_W01_D018,INST0241_N22_W01_P019,INST0241_N22_W01_D019,INST0241_N22_W01_P020,INST0241_N22_W01_D020,INST0241_N22_W01_P021,INST0241_N22_W01_D021
depot,0.0,22.951,117.595,37.156,25.201,17.238,22.951,0.0,50.631,25.201,133.769,50.317,25.201,32.905,180.319,22.951,43.046,22.951,17.238,22.951,133.769,67.612,50.631,32.905,22.951,32.905,180.319,25.201,32.905,50.631,0.0,17.238,37.156,32.905,0.0,17.238,117.595,0.0,117.595,50.317,180.319,50.317,180.319,17.238,43.046
INST0241_N22_W01_P000,22.951,0.0,133.671,14.369,36.098,23.331,0.0,22.951,63.48,36.098,150.679,35.228,36.098,20.02,168.582,0.0,64.294,0.0,23.331,0.0,150.679,84.648,63.48,20.02,0.0,20.02,168.582,36.098,20.02,63.48,22.951,23.331,14.369,20.02,22.951,23.331,133.671,22.951,133.671,35.228,168.582,35.228,168.582,23.331,64.294
INST0241_N22_W01_D000,117.595,133.671,0.0,142.787,97.602,110.354,133.671,117.595,70.637,97.602,18.026,129.907,97.602,124.166,187.182,133.671,115.643,133.671,110.354,133.671,18.026,50.015,70.637,124.166,133.671,124.166,187.182,97.602,124.166,70.637,117.595,110.354,142.787,124.166,117.595,110.354,0.0,117.595,0.0,129.907,187.182,129.907,187.182,110.354,115.643
INST0241_N22_W01_P001,37.156,14.369,142.787,0.0,45.89,33.728,14.369,37.156,72.151,45.89,160.194,28.407,45.89,20.081,160.03,14.369,78.578,14.369,33.728,14.369,160.194,94.929,72.151,20.081,14.369,20.081,160.03,45.89,20.081,72.151,37.156,33.728,0.0,20.081,37.156,33.728,142.787,37.156,142.787,28.407,160.03,28.407,160.03,33.728,78.578
INST0241_N22_W01_D001,25.201,36.098,97.602,45.89,0.0,12.767,36.098,25.201,27.496,0.0,114.719,43.098,0.0,29.878,162.13,36.098,56.961,36.098,12.767,36.098,114.719,49.056,27.496,29.878,36.098,29.878,162.13,0.0,29.878,27.496,25.201,12.767,45.89,29.878,25.201,12.767,97.602,25.201,97.602,43.098,162.13,43.098,162.13,12.767,56.961
INST0241_N22_W01_P002,17.238,23.331,110.354,33.728,12.767,0.0,23.331,17.238,40.204,12.767,127.423,36.679,12.767,20.56,163.588,23.331,57.051,23.331,0.0,23.331,127.423,61.567,40.204,20.56,23.331,20.56,163.588,12.767,20.56,40.204,17.238,0.0,33.728,20.56,17.238,0.0,110.354,17.238,110.354,36.679,163.588,36.679,163.588,0.0,57.051
INST0241_N22_W01_D002,22.951,0.0,133.671,14.369,36.098,23.331,0.0,22.951,63.48,36.098,150.679,35.228,36.098,20.02,168.582,0.0,64.294,0.0,23.331,0.0,150.679,84.648,63.48,20.02,0.0,20.02,168.582,36.098,20.02,63.48,22.951,23.331,14.369,20.02,22.951,23.331,133.671,22.951,133.671,35.228,168.582,35.228,168.582,23.331,64.294
INST0241_N22_W01_P003,0.0,22.951,117.595,37.156,25.201,17.238,22.951,0.0,50.631,25.201,133.769,50.317,25.201,32.905,180.319,22.951,43.046,22.951,17.238,22.951,133.769,67.612,50.631,32.905,22.951,32.905,180.319,25.201,32.905,50.631,0.0,17.238,37.156,32.905,0.0,17.238,117.595,0.0,117.595,50.317,180.319,50.317,180.319,17.238,43.046
INST0241_N22_W01_D003,50.631,63.48,70.637,72.151,27.496,40.204,63.48,50.631,0.0,27.496,88.095,61.972,27.496,53.818,159.2,63.48,68.471,63.48,40.204,63.48,88.095,24.909,0.0,53.818,63.48,53.818,159.2,27.496,53.818,0.0,50.631,40.204,72.151,53.818,50.631,40.204,70.637,50.631,70.637,61.972,159.2,61.972,159.2,40.204,68.471
INST0241_N22_W01_P004,25.201,36.098,97.602,45.89,0.0,12.767,36.098,25.201,27.496,0.0,114.719,43.098,0.0,29.878,162.13,36.098,56.961,36.098,12.767,36.098,114.719,49.056,27.496,29.878,36.098,29.878,162.13,0.0,29.878,27.496,25.201,12.767,45.89,29.878,25.201,12.767,97.602,25.201,97.602,43.098,162.13,43.098,162.13,12.767,56.961
