,depot,INST0226_N20_W16_P000,INST0226_N20_W16_D000,INST0226_N20_W16_P001,INST0226_N20_W16_D001,INST0226_N20_W16_P002,INST0226_N20_W16_D002,INST0226_N20_W16_P003,INST0226_N20_W16_D003,INST0226_N20_W16_P004,INST0226_N20_W16_D004,INST0226_N20_W16_P005,INST0226_N20_W16_D005,INST0226_N20_W16_P006,INST0226_N20_W16_D006,INST0226_N20_W16_P007,INST0226_N20_W16_D007,INST0226_N20_W16_P008,INST0226_N20_W16_D008,INST0226_N20_W16_P009,INST0226_N20_W16_D009,INST0226_N20_W16_P010,INST0226_N20_W16_D010,INST0226_N20_W16_P011,INST0226_N20_W16_D011,INST0226_N20_W16_P012,INST0226_N20_W16_D012,INST0226_N20_W16_P013,INST0226_N20_W16_D013,INST0226_N20_W16_P014,INST0226_N20_W16_D014,INST0226_N20_W16_P015,INST0226_N20_W16_D015,INST0226_N20_W16_P016,INST0226_N20_W16_D016,INST0226_N20_W16_P017,INST0226_N20_W16_D017,INST0226_N20_W16_P018,INST0226_N20_W16_D018,INST0226_N20_W16_P019,INST0226_N20_W16_D019
depot,0.0,14.077,55.217,30.344,55.217,41.349,41.092,30.344,96.036,26.872,30.344,20.581,41.092,0.0,41.092,30.344,55.217,0.0,18.744,41.092,0.0,26.872,30.344,26.872,147.26,41.092,109.245,18.744,0.0,0.0,26.872,14.077,96.036,14.077,96.036,14.077,109.245,55.217,0.0,26.872,0.0
INST0226_N20_W16_P000,14.077,0.0,50.28,27.544,50.28,32.833,29.954,27.544,90.122,16.791,27.544,10.426,29.954,14.077,29.954,27.544,50.28,14.077,19.054,29.954,14.077,16.791,27.544,16.791,133.597,29.954,104.062,19.054,14.077,14.077,16.791,0.0,90.122,0.0,90.122,0.0,104.062,50.28,14.077,16.791,14.077
INST0226_N20_W16_D000,55.217,50.28,0.0,77.525,0.0,20.342,70.903,77.525,40.846,63.444,77.525,40.063,70.903,55.217,70.903,77.525,0.0,55.217,69.129,70.903,55.217,63.444,77.525,63.444,143.94,70.903,54.132,69.129,55.217,55.217,63.444,50.28,40.846,50.28,40.846,50.28,54.132,0.0,55.217,63.444,55.217
INST0226_N20_W16_P001,30.344,27.544,77.525,0.0,77.525,58.923,23.199,0.0,116.61,16.399,0.0,37.477,23.199,30.344,23.199,0.0,77.525,30.344,11.735,23.199,30.344,16.399,0.0,16.399,130.691,23.199,130.825,11.735,30.344,30.344,16.399,27.544,116.61,27.544,116.61,27.544,130.825,77.525,30.344,16.399,30.344
INST0226_N20_W16_D001,55.217,50.28,0.0,77.525,0.0,20.342,70.903,77.525,40.846,63.444,77.525,40.063,70.903,55.217,70.903,77.525,0.0,55.217,69.129,70.903,55.217,63.444,77.525,63.444,143.94,70.903,54.132,69.129,55.217,55.217,63.444,50.28,40.846,50.28,40.846,50.28,54.132,0.0,55.217,63.444,55.217
INST0226_N20_W16_P002,41.349,32.833,20.342,58.923,20.342,0.0,50.611,58.923,57.687,43.952,58.923,22.455,50.611,41.349,50.611,58.923,20.342,41.349,51.842,50.611,41.349,43.952,58.923,43.952,130.013,50.611,71.944,51.842,41.349,41.349,43.952,32.833,57.687,32.833,57.687,32.833,71.944,20.342,41.349,43.952,41.349
INST0226_N20_W16_D002,41.092,29.954,70.903,23.199,70.903,50.611,0.0,23.199,106.091,14.239,23.199,35.196,0.0,41.092,0.0,23.199,70.903,41.092,28.769,0.0,41.092,14.239,23.199,14.239,108.909,0.0,120.757,28.769,41.092,41.092,14.239,29.954,106.091,29.954,106.091,29.954,120.757,70.903,41.092,14.239,41.092
INST0226_N20_W16_P003,30.344,27.544,77.525,0.0,77.525,58.923,23.199,0.0,116.61,16.399,0.0,37.477,23.199,30.344,23.199,0.0,77.525,30.344,11.735,23.199,30.344,16.399,0.0,16.399,130.691,23.199,130.825,11.735,30.344,30.344,16.399,27.544,116.61,27.544,116.61,27.544,130.825,77.525,30.344,16.399,30.344
INST0226_N20_W16_D003,96.036,90.122,40.846,116.61,40.846,57.687,106.091,116.61,0.0,101.402,116.61,79.708,106.091,96.036,106.091,116.61,40.846,96.036,109.164,106.091,96.036,101.402,116.61,101.402,152.865,106.091,14.722,109.164,96.036,96.036,101.402,90.122,0.0,90.122,0.0,90.122,14.722,40.846,96.036,101.402,96.036
INST0226_N20_W16_P004,26.872,16.791,63.444,16.399,63.444,43.952,14.239,16.399,101.402,0.0,16.399,24.4,14.239,26.872,14.239,16.399,63.444,26.872,16.35,14.239,26.872,0.0,16.399,0.0,122.204,14.239,115.807,16.35,26.872,26.872,0.0,16.791,101.402,16.791,101.402,16.791,115.807,63.444,26.872,0.0,26.872
INST0226_N20_W16_D004,30.344,27.544,77.525,0.0,77.525,58.923,23.199,0.0,116.61,16.399,0.0,37.477,23.199,30.344,23.199,0.0,77.525,30.344,11.735,23.199,30.344,16.399,0.0,16.399,130.691,23.199,130.825,11.735,30.344,30.344,16.399,27.544,116.61,27.544,116.61,27.544,130.825,77.525,30.344,16.399,30.344
INST0226_N20_W16_P005,20.581,10.426,40.063,37.477,40.063,22.455,35.196,37.477,79.708,24.4,37.477,0.0,35.196,20.581,35.196,37.477,40.063,20.581,29.48,35.196,20.581,24.4,37.477,24.4,132.406,35.196,93.687,29.48,20.581,20.581,24.4,10.426,79.708,10.426,79.708,10.426,93.687,40.063,20.581,24.4,20.581
