,depot,INST0285_N25_N15_P000,INST0285_N25_N15_D000,INST0285_N25_N15_P001,INST0285_N25_N15_D001,INST0285_N25_N15_P002,INST0285_N25_N15_D002,INST0285_N25_N15_P003,INST0285_N25_N15_D003,INST0285_N25_N15_P004,INST0285_N25_N15_D004,INST0285_N25_N15_P005,INST0285_N25_N15_D005,INST0285_N25_N15_P006,INST0285_N25_N15_D006,INST0285_N25_N15_P007,INST0285_N25_N15_D007,INST0285_N25_N15_P008,INST0285_N25_N15_D008,INST0285_N25_N15_P009,INST0285_N25_N15_D009,INST0285_N25_N15_P010,INST0285_N25_N15_D010,INST0285_N25_N15_P011,INST0285_N25_N15_D011,INST0285_N25_N15_P012,INST0285_N25_N15_D012,INST0285_N25_N15_P013,INST0285_N25_N15_D013,INST0285_N25_N15_P014,INST0285_N25_N15_D014,INST0285_N25_N15_P015,INST0285_N25_N15_D015,INST0285_N25_N15_P016,INST0285_N25_N15_D016,INST0285_N25_N15_P017,INST0285_N25_N15_D017,INST0285_N25_N15_P018,INST0285_N25_N15_D018,INST0285_N25_N15_P019,INST0285_N25_N15_D019,INST0285_N25_N15_P020,INST0285_N25_N15_D020,INST0285_N25_N15_P021,INST0285_N25_N15_D021,INST0285_N25_N15_P022,INST0285_N25_N15_D022,INST0285_N25_N15_P023,INST0285_N25_N15_D023,INST0285_N25_N15_P024,INST0285_N25_N15_D024
depot,0.0,41.993,23.01,16.848,0.0,8.817,16.848,16.848,81.208,41.993,162.641,26.694,81.208,24.088,8.817,75.654,14.053,23.01,8.817,8.817,162.641,14.053,146.035,16.848,24.088,8.817,23.01,23.01,26.694,81.208,23.01,14.053,81.208,41.993,0.0,75.654,107.703,16.848,75.654,26.694,146.035,75.654,8.817,81.208,24.088,81.208,8.817,24.088,14.053,14.053,81.208
INST0285_N25_N15_P000,41.993,0.0,43.657,56.4,41.993,33.197,56.4,56.4,114.332,0.0,134.941,58.839,114.332,35.041,33.197,99.467,54.669,43.657,33.197,33.197,134.941,54.669,187.802,56.4,35.041,33.197,43.657,43.657,58.839,114.332,43.657,54.669,114.332,0.0,41.993,99.467,149.69,56.4,99.467,58.839,187.802,99.467,33.197,114.332,35.041,114.332,33.197,35.041,54.669,54.669,114.332
INST0285_N25_N15_D000,23.01,43.657,0.0,37.312,23.01,22.387,37.312,37.312,101.428,43.657,175.714,49.306,101.428,43.511,22.387,57.966,33.929,0.0,22.387,22.387,175.714,33.929,149.729,37.312,43.511,22.387,0.0,0.0,49.306,101.428,0.0,33.929,101.428,43.657,23.01,57.966,114.14,37.312,57.966,49.306,149.729,57.966,22.387,101.428,43.511,101.428,22.387,43.511,33.929,33.929,101.428
INST0285_N25_N15_P001,16.848,56.4,37.312,0.0,16.848,24.705,0.0,0.0,64.653,56.4,166.496,14.003,64.653,28.595,24.705,81.517,3.413,37.312,24.705,24.705,166.496,3.413,134.313,0.0,28.595,24.705,37.312,37.312,14.003,64.653,37.312,3.413,64.653,56.4,16.848,81.517,94.965,0.0,81.517,14.003,134.313,81.517,24.705,64.653,28.595,64.653,24.705,28.595,3.413,3.413,64.653
INST0285_N25_N15_D001,0.0,41.993,23.01,16.848,0.0,8.817,16.848,16.848,81.208,41.993,162.641,26.694,81.208,24.088,8.817,75.654,14.053,23.01,8.817,8.817,162.641,14.053,146.035,16.848,24.088,8.817,23.01,23.01,26.694,81.208,23.01,14.053,81.208,41.993,0.0,75.654,107.703,16.848,75.654,26.694,146.035,75.654,8.817,81.208,24.088,81.208,8.817,24.088,14.053,14.053,81.208
INST0285_N25_N15_P002,8.817,33.197,22.387,24.705,8.817,0.0,24.705,24.705,87.893,33.197,156.702,31.992,87.893,21.127,0.0,78.919,22.322,22.387,0.0,0.0,156.702,22.322,154.717,24.705,21.127,0.0,22.387,22.387,31.992,87.893,22.387,22.322,87.893,33.197,8.817,78.919,116.493,24.705,78.919,31.992,154.717,78.919,0.0,87.893,21.127,87.893,0.0,21.127,22.322,22.322,87.893
INST0285_N25_N15_D002,16.848,56.4,37.312,0.0,16.848,24.705,0.0,0.0,64.653,56.4,166.496,14.003,64.653,28.595,24.705,81.517,3.413,37.312,24.705,24.705,166.496,3.413,134.313,0.0,28.595,24.705,37.312,37.312,14.003,64.653,37.312,3.413,64.653,56.4,16.848,81.517,94.965,0.0,81.517,14.003,134.313,81.517,24.705,64.653,28.595,64.653,24.705,28.595,3.413,3.413,64.653
INST0285_N25_N15_P003,16.848,56.4,37.312,0.0,16.848,24.705,0.0,0.0,64.653,56.4,166.496,14.003,64.653,28.595,24.705,81.517,3.413,37.312,24.705,24.705,166.496,3.413,134.313,0.0,28.595,24.705,37.312,37.312,14.003,64.653,37.312,3.413,64.653,56.4,16.848,81.517,94.965,0.0,81.517,14.003,134.313,81.517,24.705,64.653,28.595,64.653,24.705,28.595,3.413,3.413,64.653
INST0285_N25_N15_D003,81.208,114.332,101.428,64.653,81.208,87.893,64.653,64.653,0.0,114.332,182.822,56.35,0.0,79.42,87.893,131.605,67.88,101.428,87.893,87.893,182.822,67.88,116.851,64.653,79.42,87.893,101.428,101.428,56.35,0.0,101.428,67.88,0.0,114.332,81.208,131.605,79.694,64.653,131.605,56.35,116.851,131.605,87.893,0.0,79.42,0.0,87.893,79.42,67.88,67.88,0.0
INST0285_N25_N15_P004,41.993,0.0,43.657,56.4,41.993,33.197,56.4,56.4,114.332,0.0,134.941,58.839,114.332,35.041,33.197,99.467,54.669,43.657,33.197,33.197,134.941,54.669,187.802,56.4,35.041,33.197,43.657,43.657,58.839,114.332,43.657,54.669,114.332,0.0,41.993,99.467,149.69,56.4,99.467,58.839,187.802,99.467,33.197,114.332,35.041,114.332,33.197,35.041,54.669,54.669,114.332
