,depot,INST0251_N22_S11_P000,INST0251_N22_S11_D000,INST0251_N22_S11_P001,INST0251_N22_S11_D001,INST0251_N22_S11_P002,INST0251_N22_S11_D002,INST0251_N22_S11_P003,INST0251_N22_S11_D003,INST0251_N22_S11_P004,INST0251_N22_S11_D004,INST0251_N22_S11_P005,INST0251_N22_S11_D005,INST0251_N22_S11_P006,INST0251_N22_S11_D006,INST0251_N22_S11_P007,INST0251_N22_S11_D007,INST0251_N22_S11_P008,INST0251_N22_S11_D008,INST0251_N22_S11_P009,INST0251_N22_S11_D009,INST0251_N22_S11_P010,INST0251_N22_S11_D010,INST0251_N22_S11_P011,INST0251_N22_S11_D011,INST0251_N22_S11_P012,INST0251_N22_S11_D012,INST0251_N22_S11_P013,INST0251_N22_S11_D013,INST0251_N22_S11_P014,INST0251_N22_S11_D014,INST0251_N22_S11_P015,INST0251_N22_S11_D015,INST0251_N22_S11_P016,INST0251_N22_S11_D016,INST0251_N22_S11_P017,INST0251_N22_S11_D017,INST0251_N22_S11_P018,INST0251_N22_S11_D018,INST0251_N22_S11_P019,INST0251_N22_S11_D019,INST0251_N22_S11_P020,INST0251_N22_S11_D020,INST0251_N22_S11_P021,INST0251_N22_S11_D021
depot,0.0,65.388,112.576,75.908,112.576,37.715,65.388,21.517,145.321,37.715,26.505,0.0,37.715,75.908,24.954,21.517,0.0,65.388,32.298,0.0,37.715,24.954,37.715,32.298,75.908,21.478,21.517,65.388,21.517,37.715,21.478,24.954,37.715,75.908,0.0,26.505,24.954,26.505,88.975,24.954,112.576,32.298,145.321,75.908,65.388
INST0251_N22_S11_P000,65.388,0.0,47.206,10.867,47.206,103.002,0.0,45.002,80.368,103.002,49.927,65.388,103.002,10.867,59.003,45.002,65.388,0.0,43.838,65.388,103.002,59.003,103.002,43.838,10.867,50.526,45.002,0.0,45.002,103.002,50.526,59.003,103.002,10.867,65.388,49.927,59.003,49.927,71.865,59.003,47.206,43.838,80.368,10.867,0.0
INST0251_N22_S11_D000,112.576,47.206,0.0,36.733,0.0,150.208,47.206,91.902,33.969,150.208,95.708,112.576,150.208,36.733,103.829,91.902,112.576,47.206,89.072,112.576,150.208,103.829,150.208,89.072,36.733,97.061,91.902,47.206,91.902,150.208,97.061,103.829,150.208,36.733,112.576,95.708,103.829,95.708,93.449,103.829,0.0,89.072,33.969,36.733,47.206
INST0251_N22_S11_P001,75.908,10.867,36.733,0.0,36.733,113.587,10.867,55.171,69.589,113.587,60.745,75.908,113.587,0.0,67.889,55.171,75.908,10.867,54.565,75.908,113.587,67.889,113.587,54.565,0.0,61.394,55.171,10.867,55.171,113.587,61.394,67.889,113.587,0.0,75.908,60.745,67.889,60.745,77.092,67.889,36.733,54.565,69.589,0.0,10.867
INST0251_N22_S11_D001,112.576,47.206,0.0,36.733,0.0,150.208,47.206,91.902,33.969,150.208,95.708,112.576,150.208,36.733,103.829,91.902,112.576,47.206,89.072,112.576,150.208,103.829,150.208,89.072,36.733,97.061,91.902,47.206,91.902,150.208,97.061,103.829,150.208,36.733,112.576,95.708,103.829,95.708,93.449,103.829,0.0,89.072,33.969,36.733,47.206
INST0251_N22_S11_P002,37.715,103.002,150.208,113.587,150.208,0.0,103.002,59.019,183.035,0.0,58.521,37.715,0.0,113.587,54.903,59.019,37.715,103.002,65.452,37.715,0.0,54.903,0.0,65.452,113.587,55.179,59.019,103.002,59.019,0.0,55.179,54.903,0.0,113.587,37.715,58.521,54.903,58.521,113.511,54.903,150.208,65.452,183.035,113.587,103.002
INST0251_N22_S11_D002,65.388,0.0,47.206,10.867,47.206,103.002,0.0,45.002,80.368,103.002,49.927,65.388,103.002,10.867,59.003,45.002,65.388,0.0,43.838,65.388,103.002,59.003,103.002,43.838,10.867,50.526,45.002,0.0,45.002,103.002,50.526,59.003,103.002,10.867,65.388,49.927,59.003,49.927,71.865,59.003,47.206,43.838,80.368,10.867,0.0
INST0251_N22_S11_P003,21.517,45.002,91.902,55.171,91.902,59.019,45.002,0.0,124.222,59.019,24.239,21.517,59.019,55.171,19.488,0.0,21.517,45.002,25.439,21.517,59.019,19.488,59.019,25.439,55.171,19.629,0.0,45.002,0.0,59.019,19.629,19.488,59.019,55.171,21.517,24.239,19.488,24.239,83.416,19.488,91.902,25.439,124.222,55.171,45.002
INST0251_N22_S11_D003,145.321,80.368,33.969,69.589,33.969,183.035,80.368,124.222,0.0,183.035,129.526,145.321,183.035,69.589,134.327,124.222,145.321,80.368,122.952,145.321,183.035,134.327,183.035,122.952,69.589,130.689,124.222,80.368,124.222,183.035,130.689,134.327,183.035,69.589,145.321,129.526,134.327,129.526,123.443,134.327,33.969,122.952,0.0,69.589,80.368
INST0251_N22_S11_P004,37.715,103.002,150.208,113.587,150.208,0.0,103.002,59.019,183.035,0.0,58.521,37.715,0.0,113.587,54.903,59.019,37.715,103.002,65.452,37.715,0.0,54.903,0.0,65.452,113.587,55.179,59.019,103.002,59.019,0.0,55.179,54.903,0.0,113.587,37.715,58.521,54.903,58.521,113.511,54.903,150.208,65.452,183.035,113.587,103.002
