,depot,INST0286_N25_W16_P000,INST0286_N25_W16_D000,INST0286_N25_W16_P001,INST0286_N25_W16_D001,INST0286_N25_W16_P002,INST0286_N25_W16_D002,INST0286_N25_W16_P003,INST0286_N25_W16_D003,INST0286_N25_W16_P004,INST0286_N25_W16_D004,INST0286_N25_W16_P005,INST0286_N25_W16_D005,INST0286_N25_W16_P006,INST0286_N25_W16_D006,INST0286_N25_W16_P007,INST0286_N25_W16_D007,INST0286_N25_W16_P008,INST0286_N25_W16_D008,INST0286_N25_W16_P009,INST0286_N25_W16_D009,INST0286_N25_W16_P010,INST0286_N25_W16_D010,INST0286_N25_W16_P011,INST0286_N25_W16_D011,INST0286_N25_W16_P012,INST0286_N25_W16_D012,INST0286_N25_W16_P013,INST0286_N25_W16_D013,INST0286_N25_W16_P014,INST0286_N25_W16_D014,INST0286_N25_W16_P015,INST0286_N25_W16_D015,INST0286_N25_W16_P016,INST0286_N25_W16_D016,INST0286_N25_W16_P017,INST0286_N25_W16_D017,INST0286_N25_W16_P018,INST0286_N25_W16_D018,INST0286_N25_W16_P019,INST0286_N25_W16_D019,INST0286_N25_W16_P020,INST0286_N25_W16_D020,INST0286_N25_W16_P021,INST0286_N25_W16_D021,INST0286_N25_W16_P022,INST0286_N25_W16_D022,INST0286_N25_W16_P023,INST0286_N25_W16_D023,INST0286_N25_W16_P024,INST0286_N25_W16_D024
depot,0.0,43.046,22.951,50.317,180.319,22.951,0.0,37.156,67.612,25.201,117.595,50.317,17.238,25.201,43.046,32.905,50.317,25.201,32.905,37.156,67.612,32.905,37.156,22.951,32.905,50.317,50.631,50.631,133.769,25.201,117.595,25.201,67.612,43.046,32.905,25.201,50.631,32.905,67.612,50.631,117.595,37.156,25.201,37.156,50.317,0.0,17.238,50.317,50.631,22.951,43.046
INST0286_N25_W16_P000,43.046,0.0,64.294,92.961,219.073,64.294,43.046,78.578,70.587,56.961,115.643,92.961,57.051,56.961,0.0,75.699,92.961,56.961,75.699,78.578,70.587,75.699,78.578,64.294,75.699,92.961,68.471,68.471,128.123,56.961,115.643,56.961,70.587,0.0,75.699,56.961,68.471,75.699,70.587,68.471,115.643,78.578,56.961,78.578,92.961,43.046,57.051,92.961,68.471,64.294,0.0
INST0286_N25_W16_D000,22.951,64.294,0.0,35.228,168.582,0.0,22.951,14.369,84.648,36.098,133.671,35.228,23.331,36.098,64.294,20.02,35.228,36.098,20.02,14.369,84.648,20.02,14.369,0.0,20.02,35.228,63.48,63.48,150.679,36.098,133.671,36.098,84.648,64.294,20.02,36.098,63.48,20.02,84.648,63.48,133.671,14.369,36.098,14.369,35.228,22.951,23.331,35.228,63.48,0.0,64.294
INST0286_N25_W16_P001,50.317,92.961,35.228,0.0,133.358,35.228,50.317,28.407,86.82,43.098,129.907,0.0,36.679,43.098,92.961,17.435,0.0,43.098,17.435,28.407,86.82,17.435,28.407,35.228,17.435,0.0,61.972,61.972,147.866,43.098,129.907,43.098,86.82,92.961,17.435,43.098,61.972,17.435,86.82,61.972,129.907,28.407,43.098,28.407,0.0,50.317,36.679,0.0,61.972,35.228,92.961
INST0286_N25_W16_D001,180.319,219.073,168.582,133.358,0.0,168.582,180.319,160.03,176.253,162.13,187.182,133.358,163.588,162.13,219.073,149.638,133.358,162.13,149.638,160.03,176.253,149.638,160.03,168.582,149.638,133.358,159.2,159.2,201.301,162.13,187.182,162.13,176.253,219.073,149.638,162.13,159.2,149.638,176.253,159.2,187.182,160.03,162.13,160.03,133.358,180.319,163.588,133.358,159.2,168.582,219.073
INST0286_N25_W16_P002,22.951,64.294,0.0,35.228,168.582,0.0,22.951,14.369,84.648,36.098,133.671,35.228,23.331,36.098,64.294,20.02,35.228,36.098,20.02,14.369,84.648,20.02,14.369,0.0,20.02,35.228,63.48,63.48,150.679,36.098,133.671,36.098,84.648,64.294,20.02,36.098,63.48,20.02,84.648,63.48,133.671,14.369,36.098,14.369,35.228,22.951,23.331,35.228,63.48,0.0,64.294
INST0286_N25_W16_D002,0.0,43.046,22.951,50.317,180.319,22.951,0.0,37.156,67.612,25.201,117.595,50.317,17.238,25.201,43.046,32.905,50.317,25.201,32.905,37.156,67.612,32.905,37.156,22.951,32.905,50.317,50.631,50.631,133.769,25.201,117.595,25.201,67.612,43.046,32.905,25.201,50.631,32.905,67.612,50.631,117.595,37.156,25.201,37.156,50.317,0.0,17.238,50.317,50.631,22.951,43.046
INST0286_N25_W16_P003,37.156,78.578,14.369,28.407,160.03,14.369,37.156,0.0,94.929,45.89,142.787,28.407,33.728,45.89,78.578,20.081,28.407,45.89,20.081,0.0,94.929,20.081,0.0,14.369,20.081,28.407,72.151,72.151,160.194,45.89,142.787,45.89,94.929,78.578,20.081,45.89,72.151,20.081,94.929,72.151,142.787,0.0,45.89,0.0,28.407,37.156,33.728,28.407,72.151,14.369,78.578
INST0286_N25_W16_D003,67.612,70.587,84.648,86.82,176.253,84.648,67.612,94.929,0.0,49.056,50.015,86.82,61.567,49.056,70.587,77.687,86.82,49.056,77.687,94.929,0.0,77.687,94.929,84.648,77.687,86.82,24.909,24.909,66.284,49.056,50.015,49.056,0.0,70.587,77.687,49.056,24.909,77.687,0.0,24.909,50.015,94.929,49.056,94.929,86.82,67.612,61.567,86.82,24.909,84.648,70.587
INST0286_N25_W16_P004,25.201,56.961,36.098,43.098,162.13,36.098,25.201,45.89,49.056,0.0,97.602,43.098,12.767,0.0,56.961,29.878,43.098,0.0,29.878,45.89,49.056,29.878,45.89,36.098,29.878,43.098,27.496,27.496,114.719,0.0,97.602,0.0,49.056,56.961,29.878,0.0,27.496,29.878,49.056,27.496,97.602,45.89,0.0,45.89,43.098,25.201,12.767,43.098,27.496,36.098,56.961
INST0286_N25_W16_D004,117.595,115.643,133.671,129.907,187.182,133.671,117.595,142.787,50.015,97.602,0.0,129.907,110.354,97.602,115.643,124.166,129.907,97.602,124.166,142.787,50.015,124.166,142.787,133.671,124.166,129.907,70.637,70.637,18.026,97.602,0.0,97.602,50.015,115.643,124.166,97.602,70.637,124.166,50.015,70.637,0.0,142.787,97.602,142.787,129.907,117.595,110.354,129.907,70.637,133.671,115.643
INST0286_N25_W16_P005,50.317,92.961,35.228,0.0,133.358,35.228,50.317,28.407,86.82,43.098,129.907,0.0,36.679,43.098,92.961,17.435,0.0,43.098,17.435,28.407,86.82,17.435,28.407,35.228,17.435,0.0,61.972,61.972,147.866,43.098,129.907,43.098,86.82,92.961,17.435,43.098,61.972,17.435,86.82,61.972,129.907,28.407,43.098,28.407,0.0,50.317,36.679,0.0,61.972,35.228,92.961
INST0286_N25_W16_D005,17.238,57.051,23.331,36.679,163.588,23.331,17.238,33.728,61.567,12.767,110.354,36.679,0.0,12.767,57.051,20.56,36.679,12.767,20.56,33.728,61.567,20.56,33.728,23.331,20.56,36.679,40.204,40.204,127.423,12.767,110.354,12.767,61.567,57.051,20.56,12.767,40.204,20.56,61.567,40.204,110.354,33.728,12.767,33.728,36.679,17.238,0.0,36.679,40.204,23.331,57.051
INST0286_N25_W16_P006,25.201,56.961,36.098,43.098,162.13,36.098,25.201,45.89,49.056,0.0,97.602,43.098,12.767,0.0,56.961,29.878,43.098,0.0,29.878,45.89,49.056,29.878,45.89,36.098,29.878,43.098,27.496,27.496,114.719,0.0,97.602,0.0,49.056,56.961,29.878,0.0,27.496,29.878,49.056,27.496,97.602,45.89,0.0,45.89,43.098,25.201,12.767,43.098,27.496,36.098,56.961
INST0286_N25_W16_D006,43.046,0.0,64.294,92.961,219.073,64.294,43.046,78.578,70.587,56.961,115.643,92.961,57.051,56.961,0.0,75.699,92.961,56.961,75.699,78.578,70.587,75.699,78.578,64.294,75.699,92.961,68.471,68.471,128.123,56.961,115.643,56.961,70.587,0.0,75.699,56.961,68.471,75.699,70.587,68.471,115.643,78.578,56.961,78.578,92.961,43.046,57.051,92.961,68.471,64.294,0.0
INST0286_N25_W16_P007,32.905,75.699,20.02,17.435,149.638,20.02,32.905,20.081,77.687,29.878,124.166,17.435,20.56,29.878,75.699,0.0,17.435,29.878,0.0,20.081,77.687,0.0,20.081,20.02,0.0,17.435,53.818,53.818,141.804,29.878,124.166,29.878,77.687,75.699,0.0,29.878,53.818,0.0,77.687,53.818,124.166,20.081,29.878,20.081,17.435,32.905,20.56,17.435,53.818,20.02,75.699
INST0286_N25_W16_D007,50.317,92.961,35.228,0.0,133.358,35.228,50.317,28.407,86.82,43.098,129.907,0.0,36.679,43.098,92.961,17.435,0.0,43.098,17.435,28.407,86.82,17.435,28.407,35.228,17.435,0.0,61.972,61.972,147.866,43.098,129.907,43.098,86.82,92.961,17.435,43.098,61.972,17.435,86.82,61.972,129.907,28.407,43.098,28.407,0.0,50.317,36.679,0.0,61.972,35.228,92.961
INST0286_N25_W16_P008,25.201,56.961,36.098,43.098,162.13,36.098,25.201,45.89,49.056,0.0,97.602,43.098,12.767,0.0,56.961,29.878,43.098,0.0,29.878,45.89,49.056,29.878,45.89,36.098,29.878,43.098,27.496,27.496,114.719,0.0,97.602,0.0,49.056,56.961,29.878,0.0,27.496,29.878,49.056,27.496,97.602,45.89,0.0,45.89,43.098,25.201,12.767,43.098,27.496,36.098,56.961
