,depot,INST0102_N10_N12_P000,INST0102_N10_N12_D000,INST0102_N10_N12_P001,INST0102_N10_N12_D001,INST0102_N10_N12_P002,INST0102_N10_N12_D002,INST0102_N10_N12_P003,INST0102_N10_N12_D003,INST0102_N10_N12_P004,INST0102_N10_N12_D004,INST0102_N10_N12_P005,INST0102_N10_N12_D005,INST0102_N10_N12_P006,INST0102_N10_N12_D006,INST0102_N10_N12_P007,INST0102_N10_N12_D007,INST0102_N10_N12_P008,INST0102_N10_N12_D008,INST0102_N10_N12_P009,INST0102_N10_N12_D009
depot,0.0,35.534,30.471,0.0,35.534,0.0,93.214,35.534,93.214,0.0,30.471,40.266,82.833,0.0,30.471,35.653,93.214,40.266,30.471,35.534,40.266
INST0102_N10_N12_P000,35.534,0.0,23.353,35.534,0.0,35.534,100.436,0.0,100.436,35.534,23.353,20.683,64.86,35.534,23.353,28.616,100.436,20.683,23.353,0.0,20.683
INST0102_N10_N12_D000,30.471,23.353,0.0,30.471,23.353,30.471,77.555,23.353,77.555,30.471,0.0,11.436,52.8,30.471,0.0,46.06,77.555,11.436,0.0,23.353,11.436
INST0102_N10_N12_P001,0.0,35.534,30.471,0.0,35.534,0.0,93.214,35.534,93.214,0.0,30.471,40.266,82.833,0.0,30.471,35.653,93.214,40.266,30.471,35.534,40.266
INST0102_N10_N12_D001,35.534,0.0,23.353,35.534,0.0,35.534,100.436,0.0,100.436,35.534,23.353,20.683,64.86,35.534,23.353,28.616,100.436,20.683,23.353,0.0,20.683
INST0102_N10_N12_P002,0.0,35.534,30.471,0.0,35.534,0.0,93.214,35.534,93.214,0.0,30.471,40.266,82.833,0.0,30.471,35.653,93.214,40.266,30.471,35.534,40.266
INST0102_N10_N12_D002,93.214,100.436,77.555,93.214,100.436,93.214,0.0,100.436,0.0,93.214,77.555,81.189,65.084,93.214,77.555,122.247,0.0,81.189,77.555,100.436,81.189
INST0102_N10_N12_P003,35.534,0.0,23.353,35.534,0.0,35.534,100.436,0.0,100.436,35.534,23.353,20.683,64.86,35.534,23.353,28.616,100.436,20.683,23.353,0.0,20.683
INST0102_N10_N12_D003,93.214,100.436,77.555,93.214,100.436,93.214,0.0,100.436,0.0,93.214,77.555,81.189,65.084,93.214,77.555,122.247,0.0,81.189,77.555,100.436,81.189
INST0102_N10_N12_P004,0.0,35.534,30.471,0.0,35.534,0.0,93.214,35.534,93.214,0.0,30.471,40.266,82.833,0.0,30.471,35.653,93.214,40.266,30.471,35.534,40.266
INST0102_N10_N12_D004,30.471,23.353,0.0,30.471,23.353,30.471,77.555,23.353,77.555,30.471,0.0,11.436,52.8,30.471,0.0,46.06,77.555,11.436,0.0,23.353,11.436
INST0102_N10_N12_P005,40.266,20.683,11.436,40.266,20.683,40.266,81.189,20.683,81.189,40.266,11.436,0.0,46.019,40.266,11.436,48.052,81.189,0.0,11.436,20.683,0.0
INST0102_N10_N12_D005,82.833,64.86,52.8,82.833,64.86,82.833,65.084,64.86,65.084,82.833,52.8,46.019,0.0,82.833,52.8,93.371,65.084,46.019,52.8,64.86,46.019
INST0102_N10_N12_P006,0.0,35.534,30.471,0.0,35.534,0.0,93.214,35.534,93.214,0.0,30.471,40.266,82.833,0.0,30.471,35.653,93.214,40.266,30.471,35.534,40.266
INST0102_N10_N12_D006,30.471,23.353,0.0,30.471,23.353,30.471,77.555,23.353,77.555,30.471,0.0,11.436,52.8,30.471,0.0,46.06,77.555,11.436,0.0,23.353,11.436
INST0102_N10_N12_P007,35.653,28.616,46.06,35.653,28.616,35.653,122.247,28.616,122.247,35.653,46.06,48.052,93.371,35.653,46.06,0.0,122.247,48.052,46.06,28.616,48.052
INST0102_N10_N12_D007,93.214,100.436,77.555,93.214,100.436,93.214,0.0,100.436,0.0,93.214,77.555,81.189,65.084,93.214,77.555,122.247,0.0,81.189,77.555,100.436,81.189
INST0102_N10_N12_P008,40.266,20.683,11.436,40.266,20.683,40.266,81.189,20.683,81.189,40.266,11.436,0.0,46.019,40.266,11.436,48.052,81.189,0.0,11.436,20.683,0.0
INST0102_N10_N12_D008,30.471,23.353,0.0,30.471,23.353,30.471,77.555,23.353,77.555,30.471,0.0,11.436,52.8,30.471,0.0,46.06,77.555,11.436,0.0,23.353,11.436
INST0102_N10_N12_P009,35.534,0.0,23.353,35.534,0.0,35.534,100.436,0.0,100.436,35.534,23.353,20.683,64.86,35.534,23.353,28.616,100.436,20.683,23.353,0.0,20.683
INST0102_N10_N12_D009,40.266,20.683,11.436,40.266,20.683,40.266,81.189,20.683,81.189,40.266,11.436,0.0,46.019,40.266,11.436,48.052,81.189,0.0,11.436,20.683,0.0
