,depot,INST0135_N12_N15_P000,INST0135_N12_N15_D000,INST0135_N12_N15_P001,INST0135_N12_N15_D001,INST0135_N12_N15_P002,INST0135_N12_N15_D002,INST0135_N12_N15_P003,INST0135_N12_N15_D003,INST0135_N12_N15_P004,INST0135_N12_N15_D004,INST0135_N12_N15_P005,INST0135_N12_N15_D005,INST0135_N12_N15_P006,INST0135_N12_N15_D006,INST0135_N12_N15_P007,INST0135_N12_N15_D007,INST0135_N12_N15_P008,INST0135_N12_N15_D008,INST0135_N12_N15_P009,INST0135_N12_N15_D009,INST0135_N12_N15_P010,INST0135_N12_N15_D010,INST0135_N12_N15_P011,INST0135_N12_N15_D011
depot,0.0,0.0,41.993,41.993,81.208,26.694,107.703,14.053,146.035,14.053,0.0,26.694,14.053,75.654,41.993,24.088,0.0,24.088,8.817,81.208,16.848,41.993,164.529,23.01,75.654
INST0135_N12_N15_P000,0.0,0.0,41.993,41.993,81.208,26.694,107.703,14.053,146.035,14.053,0.0,26.694,14.053,75.654,41.993,24.088,0.0,24.088,8.817,81.208,16.848,41.993,164.529,23.01,75.654
INST0135_N12_N15_D000,41.993,41.993,0.0,0.0,114.332,58.839,149.69,54.669,187.802,54.669,41.993,58.839,54.669,99.467,0.0,35.041,41.993,35.041,33.197,114.332,56.4,0.0,122.582,43.657,99.467
INST0135_N12_N15_P001,41.993,41.993,0.0,0.0,114.332,58.839,149.69,54.669,187.802,54.669,41.993,58.839,54.669,99.467,0.0,35.041,41.993,35.041,33.197,114.332,56.4,0.0,122.582,43.657,99.467
INST0135_N12_N15_D001,81.208,81.208,114.332,114.332,0.0,56.35,79.694,67.88,116.851,67.88,81.208,56.35,67.88,131.605,114.332,79.42,81.208,79.42,87.893,0.0,64.653,114.332,229.986,101.428,131.605
INST0135_N12_N15_P002,26.694,26.694,58.839,58.839,56.35,0.0,99.415,17.072,139.481,17.072,26.694,0.0,17.072,95.498,58.839,25.326,26.694,25.326,31.992,56.35,14.003,58.839,178.773,49.306,95.498
INST0135_N12_N15_D002,107.703,107.703,149.69,149.69,79.694,99.415,0.0,95.867,40.266,95.867,107.703,99.415,95.867,104.211,149.69,122.983,107.703,122.983,116.493,79.694,94.965,149.69,272.117,114.14,104.211
INST0135_N12_N15_P003,14.053,14.053,54.669,54.669,67.88,17.072,95.867,0.0,134.948,0.0,14.053,17.072,0.0,78.656,54.669,28.727,14.053,28.727,22.322,67.88,3.413,54.669,177.15,33.929,78.656
INST0135_N12_N15_D003,146.035,146.035,187.802,187.802,116.851,139.481,40.266,134.948,0.0,134.948,146.035,139.481,134.948,127.812,187.802,162.63,146.035,162.63,154.717,116.851,134.313,187.802,309.6,149.729,127.812
INST0135_N12_N15_P004,14.053,14.053,54.669,54.669,67.88,17.072,95.867,0.0,134.948,0.0,14.053,17.072,0.0,78.656,54.669,28.727,14.053,28.727,22.322,67.88,3.413,54.669,177.15,33.929,78.656
INST0135_N12_N15_D004,0.0,0.0,41.993,41.993,81.208,26.694,107.703,14.053,146.035,14.053,0.0,26.694,14.053,75.654,41.993,24.088,0.0,24.088,8.817,81.208,16.848,41.993,164.529,23.01,75.654
INST0135_N12_N15_P005,26.694,26.694,58.839,58.839,56.35,0.0,99.415,17.072,139.481,17.072,26.694,0.0,17.072,95.498,58.839,25.326,26.694,25.326,31.992,56.35,14.003,58.839,178.773,49.306,95.498
INST0135_N12_N15_D005,14.053,14.053,54.669,54.669,67.88,17.072,95.867,0.0,134.948,0.0,14.053,17.072,0.0,78.656,54.669,28.727,14.053,28.727,22.322,67.88,3.413,54.669,177.15,33.929,78.656
INST0135_N12_N15_P006,75.654,75.654,99.467,99.467,131.605,95.498,104.211,78.656,127.812,78.656,75.654,95.498,78.656,0.0,99.467,99.392,75.654,99.392,78.919,131.605,81.517,99.467,203.198,57.966,0.0
INST0135_N12_N15_D006,41.993,41.993,0.0,0.0,114.332,58.839,149.69,54.669,187.802,54.669,41.993,58.839,54.669,99.467,0.0,35.041,41.993,35.041,33.197,114.332,56.4,0.0,122.582,43.657,99.467
INST0135_N12_N15_P007,24.088,24.088,35.041,35.041,79.42,25.326,122.983,28.727,162.63,28.727,24.088,25.326,28.727,99.392,35.041,0.0,24.088,0.0,21.127,79.42,28.595,35.041,153.452,43.511,99.392
INST0135_N12_N15_D007,0.0,0.0,41.993,41.993,81.208,26.694,107.703,14.053,146.035,14.053,0.0,26.694,14.053,75.654,41.993,24.088,0.0,24.088,8.817,81.208,16.848,41.993,164.529,23.01,75.654
INST0135_N12_N15_P008,24.088,24.088,35.041,35.041,79.42,25.326,122.983,28.727,162.63,28.727,24.088,25.326,28.727,99.392,35.041,0.0,24.088,0.0,21.127,79.42,28.595,35.041,153.452,43.511,99.392
INST0135_N12_N15_D008,8.817,8.817,33.197,33.197,87.893,31.992,116.493,22.322,154.717,22.322,8.817,31.992,22.322,78.919,33.197,21.127,8.817,21.127,0.0,87.893,24.705,33.197,155.714,22.387,78.919
INST0135_N12_N15_P009,81.208,81.208,114.332,114.332,0.0,56.35,79.694,67.88,116.851,67.88,81.208,56.35,67.88,131.605,114.332,79.42,81.208,79.42,87.893,0.0,64.653,114.332,229.986,101.428,131.605
INST0135_N12_N15_D009,16.848,16.848,56.4,56.4,64.653,14.003,94.965,3.413,134.313,3.413,16.848,14.003,3.413,81.517,56.4,28.595,16.848,28.595,24.705,64.653,0.0,56.4,178.677,37.312,81.517
INST0135_N12_N15_P010,41.993,41.993,0.0,0.0,114.332,58.839,149.69,54.669,187.802,54.669,41.993,58.839,54.669,99.467,0.0,35.041,41.993,35.041,33.197,114.332,56.4,0.0,122.582,43.657,99.467
INST0135_N12_N15_D010,164.529,164.529,122.582,122.582,229.986,178.773,272.117,177.15,309.6,177.15,164.529,178.773,177.15,203.198,122.582,153.452,164.529,153.452,155.714,229.986,178.677,122.582,0.0,160.581,203.198
INST0135_N12_N15_P011,23.01,23.01,43.657,43.657,101.428,49.306,114.14,33.929,149.729,33.929,23.01,49.306,33.929,57.966,43.657,43.511,23.01,43.511,22.387,101.428,37.312,43.657,160.581,0.0,57.966
INST0135_N12_N15_D011,75.654,75.654,99.467,99.467,131.605,95.498,104.211,78.656,127.812,78.656,75.654,95.498,78.656,0.0,99.467,99.392,75.654,99.392,78.919,131.605,81.517,99.467,203.198,57.966,0.0
