,depot,INST0048_N5_N18_P000,INST0048_N5_N18_D000,INST0048_N5_N18_P001,INST0048_N5_N18_D001,INST0048_N5_N18_P002,INST0048_N5_N18_D002,INST0048_N5_N18_P003,INST0048_N5_N18_D003,INST0048_N5_N18_P004,INST0048_N5_N18_D004
depot,0.0,30.471,13.759,0.0,77.555,2.788,46.06,52.8,109.689,66.572,2.788
INST0048_N5_N18_P000,30.471,0.0,18.791,30.471,93.214,27.709,35.653,82.833,122.278,47.339,27.709
INST0048_N5_N18_D000,13.759,18.791,0.0,13.759,87.958,11.477,34.294,66.32,119.262,61.784,11.477
INST0048_N5_N18_P001,0.0,30.471,13.759,0.0,77.555,2.788,46.06,52.8,109.689,66.572,2.788
INST0048_N5_N18_D001,77.555,93.214,87.958,77.555,0.0,78.292,122.247,65.084,32.884,85.106,78.292
INST0048_N5_N18_P002,2.788,27.709,11.477,2.788,78.292,0.0,44.646,55.435,110.207,64.236,0.0
INST0048_N5_N18_D002,46.06,35.653,34.294,46.06,122.247,44.646,0.0,93.371,153.371,81.232,44.646
INST0048_N5_N18_P003,52.8,82.833,66.32,52.8,65.084,55.435,93.371,0.0,95.428,107.477,55.435
INST0048_N5_N18_D003,109.689,122.278,119.262,109.689,32.884,110.207,153.371,95.428,0.0,104.379,110.207
INST0048_N5_N18_P004,66.572,47.339,61.784,66.572,85.106,64.236,81.232,107.477,104.379,0.0,64.236
INST0048_N5_N18_D004,2.788,27.709,11.477,2.788,78.292,0.0,44.646,55.435,110.207,64.236,0.0
