,depot,INST0185_N18_S05_P000,INST0185_N18_S05_D000,INST0185_N18_S05_P001,INST0185_N18_S05_D001,INST0185_N18_S05_P002,INST0185_N18_S05_D002,INST0185_N18_S05_P003,INST0185_N18_S05_D003,INST0185_N18_S05_P004,INST0185_N18_S05_D004,INST0185_N18_S05_P005,INST0185_N18_S05_D005,INST0185_N18_S05_P006,INST0185_N18_S05_D006,INST0185_N18_S05_P007,INST0185_N18_S05_D007,INST0185_N18_S05_P008,INST0185_N18_S05_D008,INST0185_N18_S05_P009,INST0185_N18_S05_D009,INST0185_N18_S05_P010,INST0185_N18_S05_D010,INST0185_N18_S05_P011,INST0185_N18_S05_D011,INST0185_N18_S05_P012,INST0185_N18_S05_D012,INST0185_N18_S05_P013,INST0185_N18_S05_D013,INST0185_N18_S05_P014,INST0185_N18_S05_D014,INST0185_N18_S05_P015,INST0185_N18_S05_D015,INST0185_N18_S05_P016,INST0185_N18_S05_D016,INST0185_N18_S05_P017,INST0185_N18_S05_D017
depot,0.0,67.566,75.176,26.3,44.645,67.566,75.176,6.707,24.036,75.176,61.869,83.656,6.707,44.645,61.869,67.566,26.3,61.869,75.176,44.645,6.707,24.036,83.656,61.869,24.036,0.0,67.566,0.0,67.566,26.3,118.85,75.176,24.036,6.707,83.656,83.656,67.566
INST0185_N18_S05_P000,67.566,0.0,139.086,46.181,67.228,0.0,139.086,71.658,72.268,139.086,126.125,138.993,71.658,67.228,126.125,0.0,46.181,126.125,139.086,67.228,71.658,72.268,138.993,126.125,72.268,67.566,0.0,67.566,0.0,46.181,183.928,139.086,72.268,71.658,138.993,138.993,0.0
INST0185_N18_S05_D000,75.176,139.086,0.0,92.948,83.129,139.086,0.0,74.382,67.557,0.0,13.307,94.398,74.382,83.129,13.307,139.086,92.948,13.307,0.0,83.129,74.382,67.557,94.398,13.307,67.557,75.176,139.086,75.176,139.086,92.948,44.98,0.0,67.557,74.382,94.398,94.398,139.086
INST0185_N18_S05_P001,26.3,46.181,92.948,0.0,30.556,46.181,92.948,32.455,26.348,92.948,80.067,108.949,32.455,30.556,80.067,46.181,0.0,80.067,92.948,30.556,32.455,26.348,108.949,80.067,26.348,26.3,46.181,26.3,46.181,0.0,137.848,92.948,26.348,32.455,108.949,108.949,46.181
INST0185_N18_S05_D001,44.645,67.228,83.129,30.556,0.0,67.228,83.129,51.136,23.863,83.129,72.248,125.848,51.136,0.0,72.248,67.228,30.556,72.248,83.129,0.0,51.136,23.863,125.848,72.248,23.863,44.645,67.228,44.645,67.228,30.556,127.137,83.129,23.863,51.136,125.848,125.848,67.228
INST0185_N18_S05_P002,67.566,0.0,139.086,46.181,67.228,0.0,139.086,71.658,72.268,139.086,126.125,138.993,71.658,67.228,126.125,0.0,46.181,126.125,139.086,67.228,71.658,72.268,138.993,126.125,72.268,67.566,0.0,67.566,0.0,46.181,183.928,139.086,72.268,71.658,138.993,138.993,0.0
INST0185_N18_S05_D002,75.176,139.086,0.0,92.948,83.129,139.086,0.0,74.382,67.557,0.0,13.307,94.398,74.382,83.129,13.307,139.086,92.948,13.307,0.0,83.129,74.382,67.557,94.398,13.307,67.557,75.176,139.086,75.176,139.086,92.948,44.98,0.0,67.557,74.382,94.398,94.398,139.086
INST0185_N18_S05_P003,6.707,71.658,74.382,32.455,51.136,71.658,74.382,0.0,29.68,74.382,61.135,77.018,0.0,51.136,61.135,71.658,32.455,61.135,74.382,51.136,0.0,29.68,77.018,61.135,29.68,6.707,71.658,6.707,71.658,32.455,117.194,74.382,29.68,0.0,77.018,77.018,71.658
INST0185_N18_S05_D003,24.036,72.268,67.557,26.348,23.863,72.268,67.557,29.68,0.0,67.557,55.105,102.142,29.68,23.863,55.105,72.268,26.348,55.105,67.557,23.863,29.68,0.0,102.142,55.105,0.0,24.036,72.268,24.036,72.268,26.348,112.533,67.557,0.0,29.68,102.142,102.142,72.268
INST0185_N18_S05_P004,75.176,139.086,0.0,92.948,83.129,139.086,0.0,74.382,67.557,0.0,13.307,94.398,74.382,83.129,13.307,139.086,92.948,13.307,0.0,83.129,74.382,67.557,94.398,13.307,67.557,75.176,139.086,75.176,139.086,92.948,44.98,0.0,67.557,74.382,94.398,94.398,139.086
