,depot,INST0108_N10_N18_P000,INST0108_N10_N18_D000,INST0108_N10_N18_P001,INST0108_N10_N18_D001,INST0108_N10_N18_P002,INST0108_N10_N18_D002,INST0108_N10_N18_P003,INST0108_N10_N18_D003,INST0108_N10_N18_P004,INST0108_N10_N18_D004,INST0108_N10_N18_P005,INST0108_N10_N18_D005,INST0108_N10_N18_P006,INST0108_N10_N18_D006,INST0108_N10_N18_P007,INST0108_N10_N18_D007,INST0108_N10_N18_P008,INST0108_N10_N18_D008,INST0108_N10_N18_P009,INST0108_N10_N18_D009
depot,0.0,28.595,24.705,3.413,81.517,14.003,81.517,37.312,94.965,64.653,16.848,14.003,0.0,28.595,166.496,28.595,14.003,16.848,81.517,37.312,94.965
INST0108_N10_N18_P000,28.595,0.0,21.127,28.727,99.392,25.326,99.392,43.511,122.983,79.42,24.088,25.326,28.595,0.0,139.347,0.0,25.326,24.088,99.392,43.511,122.983
INST0108_N10_N18_D000,24.705,21.127,0.0,22.322,78.919,31.992,78.919,22.387,116.493,87.893,8.817,31.992,24.705,21.127,156.702,21.127,31.992,8.817,78.919,22.387,116.493
INST0108_N10_N18_P001,3.413,28.727,22.322,0.0,78.656,17.072,78.656,33.929,95.867,67.88,14.053,17.072,3.413,28.727,167.44,28.727,17.072,14.053,78.656,33.929,95.867
INST0108_N10_N18_D001,81.517,99.392,78.919,78.656,0.0,95.498,0.0,57.966,104.211,131.605,75.654,95.498,81.517,99.392,233.468,99.392,95.498,75.654,0.0,57.966,104.211
INST0108_N10_N18_P002,14.003,25.326,31.992,17.072,95.498,0.0,95.498,49.306,99.415,56.35,26.694,0.0,14.003,25.326,157.017,25.326,0.0,26.694,95.498,49.306,99.415
INST0108_N10_N18_D002,81.517,99.392,78.919,78.656,0.0,95.498,0.0,57.966,104.211,131.605,75.654,95.498,81.517,99.392,233.468,99.392,95.498,75.654,0.0,57.966,104.211
INST0108_N10_N18_P003,37.312,43.511,22.387,33.929,57.966,49.306,57.966,0.0,114.14,101.428,23.01,49.306,37.312,43.511,175.714,43.511,49.306,23.01,57.966,0.0,114.14
INST0108_N10_N18_D003,94.965,122.983,116.493,95.867,104.211,99.415,104.211,114.14,0.0,79.694,107.703,99.415,94.965,122.983,253.32,122.983,99.415,107.703,104.211,114.14,0.0
INST0108_N10_N18_P004,64.653,79.42,87.893,67.88,131.605,56.35,131.605,101.428,79.694,0.0,81.208,56.35,64.653,79.42,182.822,79.42,56.35,81.208,131.605,101.428,79.694
INST0108_N10_N18_D004,16.848,24.088,8.817,14.053,75.654,26.694,75.654,23.01,107.703,81.208,0.0,26.694,16.848,24.088,162.641,24.088,26.694,0.0,75.654,23.01,107.703
INST0108_N10_N18_P005,14.003,25.326,31.992,17.072,95.498,0.0,95.498,49.306,99.415,56.35,26.694,0.0,14.003,25.326,157.017,25.326,0.0,26.694,95.498,49.306,99.415
INST0108_N10_N18_D005,0.0,28.595,24.705,3.413,81.517,14.003,81.517,37.312,94.965,64.653,16.848,14.003,0.0,28.595,166.496,28.595,14.003,16.848,81.517,37.312,94.965
INST0108_N10_N18_P006,28.595,0.0,21.127,28.727,99.392,25.326,99.392,43.511,122.983,79.42,24.088,25.326,28.595,0.0,139.347,0.0,25.326,24.088,99.392,43.511,122.983
INST0108_N10_N18_D006,166.496,139.347,156.702,167.44,233.468,157.017,233.468,175.714,253.32,182.822,162.641,157.017,166.496,139.347,0.0,139.347,157.017,162.641,233.468,175.714,253.32
INST0108_N10_N18_P007,28.595,0.0,21.127,28.727,99.392,25.326,99.392,43.511,122.983,79.42,24.088,25.326,28.595,0.0,139.347,0.0,25.326,24.088,99.392,43.511,122.983
INST0108_N10_N18_D007,14.003,25.326,31.992,17.072,95.498,0.0,95.498,49.306,99.415,56.35,26.694,0.0,14.003,25.326,157.017,25.326,0.0,26.694,95.498,49.306,99.415
INST0108_N10_N18_P008,16.848,24.088,8.817,14.053,75.654,26.694,75.654,23.01,107.703,81.208,0.0,26.694,16.848,24.088,162.641,24.088,26.694,0.0,75.654,23.01,107.703
INST0108_N10_N18_D008,81.517,99.392,78.919,78.656,0.0,95.498,0.0,57.966,104.211,131.605,75.654,95.498,81.517,99.392,233.468,99.392,95.498,75.654,0.0,57.966,104.211
INST0108_N10_N18_P009,37.312,43.511,22.387,33.929,57.966,49.306,57.966,0.0,114.14,101.428,23.01,49.306,37.312,43.511,175.714,43.511,49.306,23.01,57.966,0.0,114.14
INST0108_N10_N18_D009,94.965,122.983,116.493,95.867,104.211,99.415,104.211,114.14,0.0,79.694,107.703,99.415,94.965,122.983,253.32,122.983,99.415,107.703,104.211,114.14,0.0
