,depot,INST0095_N10_S05_P000,INST0095_N10_S05_D000,INST0095_N10_S05_P001,INST0095_N10_S05_D001,INST0095_N10_S05_P002,INST0095_N10_S05_D002,INST0095_N10_S05_P003,INST0095_N10_S05_D003,INST0095_N10_S05_P004,INST0095_N10_S05_D004,INST0095_N10_S05_P005,INST0095_N10_S05_D005,INST0095_N10_S05_P006,INST0095_N10_S05_D006,INST0095_N10_S05_P007,INST0095_N10_S05_D007,INST0095_N10_S05_P008,INST0095_N10_S05_D008,INST0095_N10_S05_P009,INST0095_N10_S05_D009
depot,0.0,50.526,19.629,19.629,36.46,61.394,68.319,50.526,130.689,68.319,61.394,19.629,50.526,19.629,10.881,50.526,21.478,68.319,10.881,5.477,68.319
INST0095_N10_S05_P000,50.526,0.0,45.002,45.002,59.003,10.867,71.865,0.0,80.368,71.865,10.867,45.002,0.0,45.002,43.838,0.0,65.388,71.865,43.838,49.927,71.865
INST0095_N10_S05_D000,19.629,45.002,0.0,0.0,19.488,55.171,83.416,45.002,124.222,83.416,55.171,0.0,45.002,0.0,25.439,45.002,21.517,83.416,25.439,24.239,83.416
INST0095_N10_S05_P001,19.629,45.002,0.0,0.0,19.488,55.171,83.416,45.002,124.222,83.416,55.171,0.0,45.002,0.0,25.439,45.002,21.517,83.416,25.439,24.239,83.416
INST0095_N10_S05_D001,36.46,59.003,19.488,19.488,0.0,67.889,102.776,59.003,134.327,102.776,67.889,19.488,59.003,19.488,44.339,59.003,24.954,102.776,44.339,41.761,102.776
INST0095_N10_S05_P002,61.394,10.867,55.171,55.171,67.889,0.0,77.092,10.867,69.589,77.092,0.0,55.171,10.867,55.171,54.565,10.867,75.908,77.092,54.565,60.745,77.092
INST0095_N10_S05_D002,68.319,71.865,83.416,83.416,102.776,77.092,0.0,71.865,123.443,0.0,77.092,83.416,71.865,83.416,58.699,71.865,88.975,0.0,58.699,62.898,0.0
INST0095_N10_S05_P003,50.526,0.0,45.002,45.002,59.003,10.867,71.865,0.0,80.368,71.865,10.867,45.002,0.0,45.002,43.838,0.0,65.388,71.865,43.838,49.927,71.865
INST0095_N10_S05_D003,130.689,80.368,124.222,124.222,134.327,69.589,123.443,80.368,0.0,123.443,69.589,124.222,80.368,124.222,122.952,80.368,145.321,123.443,122.952,129.526,123.443
INST0095_N10_S05_P004,68.319,71.865,83.416,83.416,102.776,77.092,0.0,71.865,123.443,0.0,77.092,83.416,71.865,83.416,58.699,71.865,88.975,0.0,58.699,62.898,0.0
INST0095_N10_S05_D004,61.394,10.867,55.171,55.171,67.889,0.0,77.092,10.867,69.589,77.092,0.0,55.171,10.867,55.171,54.565,10.867,75.908,77.092,54.565,60.745,77.092
INST0095_N10_S05_P005,19.629,45.002,0.0,0.0,19.488,55.171,83.416,45.002,124.222,83.416,55.171,0.0,45.002,0.0,25.439,45.002,21.517,83.416,25.439,24.239,83.416
INST0095_N10_S05_D005,50.526,0.0,45.002,45.002,59.003,10.867,71.865,0.0,80.368,71.865,10.867,45.002,0.0,45.002,43.838,0.0,65.388,71.865,43.838,49.927,71.865
INST0095_N10_S05_P006,19.629,45.002,0.0,0.0,19.488,55.171,83.416,45.002,124.222,83.416,55.171,0.0,45.002,0.0,25.439,45.002,21.517,83.416,25.439,24.239,83.416
INST0095_N10_S05_D006,10.881,43.838,25.439,25.439,44.339,54.565,58.699,43.838,122.952,58.699,54.565,25.439,43.838,25.439,0.0,43.838,32.298,58.699,0.0,7.008,58.699
INST0095_N10_S05_P007,50.526,0.0,45.002,45.002,59.003,10.867,71.865,0.0,80.368,71.865,10.867,45.002,0.0,45.002,43.838,0.0,65.388,71.865,43.838,49.927,71.865
INST0095_N10_S05_D007,21.478,65.388,21.517,21.517,24.954,75.908,88.975,65.388,145.321,88.975,75.908,21.517,65.388,21.517,32.298,65.388,0.0,88.975,32.298,26.505,88.975
INST0095_N10_S05_P008,68.319,71.865,83.416,83.416,102.776,77.092,0.0,71.865,123.443,0.0,77.092,83.416,71.865,83.416,58.699,71.865,88.975,0.0,58.699,62.898,0.0
INST0095_N10_S05_D008,10.881,43.838,25.439,25.439,44.339,54.565,58.699,43.838,122.952,58.699,54.565,25.439,43.838,25.439,0.0,43.838,32.298,58.699,0.0,7.008,58.699
INST0095_N10_S05_P009,5.477,49.927,24.239,24.239,41.761,60.745,62.898,49.927,129.526,62.898,60.745,24.239,49.927,24.239,7.008,49.927,26.505,62.898,7.008,0.0,62.898
INST0095_N10_S05_D009,68.319,71.865,83.416,83.416,102.776,77.092,0.0,71.865,123.443,0.0,77.092,83.416,71.865,83.416,58.699,71.865,88.975,0.0,58.699,62.898,0.0
