,depot,INST0294_N25_N24_P000,INST0294_N25_N24_D000,INST0294_N25_N24_P001,INST0294_N25_N24_D001,INST0294_N25_N24_P002,INST0294_N25_N24_D002,INST0294_N25_N24_P003,INST0294_N25_N24_D003,INST0294_N25_N24_P004,INST0294_N25_N24_D004,INST0294_N25_N24_P005,INST0294_N25_N24_D005,INST0294_N25_N24_P006,INST0294_N25_N24_D006,INST0294_N25_N24_P007,INST0294_N25_N24_D007,INST0294_N25_N24_P008,INST0294_N25_N24_D008,INST0294_N25_N24_P009,INST0294_N25_N24_D009,INST0294_N25_N24_P010,INST0294_N25_N24_D010,INST0294_N25_N24_P011,INST0294_N25_N24_D011,INST0294_N25_N24_P012,INST0294_N25_N24_D012,INST0294_N25_N24_P013,INST0294_N25_N24_D013,INST0294_N25_N24_P014,INST0294_N25_N24_D014,INST0294_N25_N24_P015,INST0294_N25_N24_D015,INST0294_N25_N24_P016,INST0294_N25_N24_D016,INST0294_N25_N24_P017,INST0294_N25_N24_D017,INST0294_N25_N24_P018,INST0294_N25_N24_D018,INST0294_N25_N24_P019,INST0294_N25_N24_D019,INST0294_N25_N24_P020,INST0294_N25_N24_D020,INST0294_N25_N24_P021,INST0294_N25_N24_D021,INST0294_N25_N24_P022,INST0294_N25_N24_D022,INST0294_N25_N24_P023,INST0294_N25_N24_D023,INST0294_N25_N24_P024,INST0294_N25_N24_D024
depot,0.0,34.294,46.06,0.0,122.247,46.06,28.616,28.616,0.0,27.111,46.06,34.294,28.616,34.294,122.247,34.294,0.0,35.653,122.247,35.653,48.052,44.646,27.111,34.294,122.247,44.646,93.371,27.111,81.232,27.111,0.0,27.111,0.0,0.0,46.06,35.653,153.371,27.111,0.0,35.653,153.371,28.616,93.371,48.052,34.294,44.646,81.232,34.294,35.653,27.111,122.247
INST0294_N25_N24_P000,34.294,0.0,13.759,34.294,87.958,13.759,19.671,19.671,34.294,7.201,13.759,0.0,19.671,0.0,87.958,0.0,34.294,18.791,87.958,18.791,21.8,11.477,7.201,0.0,87.958,11.477,66.32,7.201,61.784,7.201,34.294,7.201,34.294,34.294,13.759,18.791,119.262,7.201,34.294,18.791,119.262,19.671,66.32,21.8,0.0,11.477,61.784,0.0,18.791,7.201,87.958
INST0294_N25_N24_D000,46.06,13.759,0.0,46.06,77.555,0.0,23.353,23.353,46.06,20.176,0.0,13.759,23.353,13.759,77.555,13.759,46.06,30.471,77.555,30.471,11.436,2.788,20.176,13.759,77.555,2.788,52.8,20.176,66.572,20.176,46.06,20.176,46.06,46.06,0.0,30.471,109.689,20.176,46.06,30.471,109.689,23.353,52.8,11.436,13.759,2.788,66.572,13.759,30.471,20.176,77.555
INST0294_N25_N24_P001,0.0,34.294,46.06,0.0,122.247,46.06,28.616,28.616,0.0,27.111,46.06,34.294,28.616,34.294,122.247,34.294,0.0,35.653,122.247,35.653,48.052,44.646,27.111,34.294,122.247,44.646,93.371,27.111,81.232,27.111,0.0,27.111,0.0,0.0,46.06,35.653,153.371,27.111,0.0,35.653,153.371,28.616,93.371,48.052,34.294,44.646,81.232,34.294,35.653,27.111,122.247
INST0294_N25_N24_D001,122.247,87.958,77.555,122.247,0.0,77.555,100.436,100.436,122.247,95.136,77.555,87.958,100.436,87.958,0.0,87.958,122.247,93.214,0.0,93.214,81.189,78.292,95.136,87.958,0.0,78.292,65.084,95.136,85.106,95.136,122.247,95.136,122.247,122.247,77.555,93.214,32.884,95.136,122.247,93.214,32.884,100.436,65.084,81.189,87.958,78.292,85.106,87.958,93.214,95.136,0.0
INST0294_N25_N24_P002,46.06,13.759,0.0,46.06,77.555,0.0,23.353,23.353,46.06,20.176,0.0,13.759,23.353,13.759,77.555,13.759,46.06,30.471,77.555,30.471,11.436,2.788,20.176,13.759,77.555,2.788,52.8,20.176,66.572,20.176,46.06,20.176,46.06,46.06,0.0,30.471,109.689,20.176,46.06,30.471,109.689,23.353,52.8,11.436,13.759,2.788,66.572,13.759,30.471,20.176,77.555
INST0294_N25_N24_D002,28.616,19.671,23.353,28.616,100.436,23.353,0.0,0.0,28.616,17.254,23.353,19.671,0.0,19.671,100.436,19.671,28.616,35.534,100.436,35.534,20.683,23.461,17.254,19.671,100.436,23.461,64.86,17.254,81.17,17.254,28.616,17.254,28.616,28.616,23.353,35.534,132.815,17.254,28.616,35.534,132.815,0.0,64.86,20.683,19.671,23.461,81.17,19.671,35.534,17.254,100.436
INST0294_N25_N24_P003,28.616,19.671,23.353,28.616,100.436,23.353,0.0,0.0,28.616,17.254,23.353,19.671,0.0,19.671,100.436,19.671,28.616,35.534,100.436,35.534,20.683,23.461,17.254,19.671,100.436,23.461,64.86,17.254,81.17,17.254,28.616,17.254,28.616,28.616,23.353,35.534,132.815,17.254,28.616,35.534,132.815,0.0,64.86,20.683,19.671,23.461,81.17,19.671,35.534,17.254,100.436
INST0294_N25_N24_D003,0.0,34.294,46.06,0.0,122.247,46.06,28.616,28.616,0.0,27.111,46.06,34.294,28.616,34.294,122.247,34.294,0.0,35.653,122.247,35.653,48.052,44.646,27.111,34.294,122.247,44.646,93.371,27.111,81.232,27.111,0.0,27.111,0.0,0.0,46.06,35.653,153.371,27.111,0.0,35.653,153.371,28.616,93.371,48.052,34.294,44.646,81.232,34.294,35.653,27.111,122.247
INST0294_N25_N24_P004,27.111,7.201,20.176,27.111,95.136,20.176,17.254,17.254,27.111,0.0,20.176,7.201,17.254,7.201,95.136,7.201,27.111,18.283,95.136,18.283,26.126,18.229,0.0,7.201,95.136,18.229,71.779,0.0,64.45,0.0,27.111,0.0,27.111,27.111,20.176,18.283,126.352,0.0,27.111,18.283,126.352,17.254,71.779,26.126,7.201,18.229,64.45,7.201,18.283,0.0,95.136
