,depot,INST0057_N5_N27_P000,INST0057_N5_N27_D000,INST0057_N5_N27_P001,INST0057_N5_N27_D001,INST0057_N5_N27_P002,INST0057_N5_N27_D002,INST0057_N5_N27_P003,INST0057_N5_N27_D003,INST0057_N5_N27_P004,INST0057_N5_N27_D004
depot,0.0,43.511,23.01,22.387,49.306,49.306,175.714,43.511,43.657,43.511,175.714
INST0057_N5_N27_P000,43.511,0.0,24.088,21.127,25.326,25.326,139.347,0.0,35.041,0.0,139.347
INST0057_N5_N27_D000,23.01,24.088,0.0,8.817,26.694,26.694,162.641,24.088,41.993,24.088,162.641
INST0057_N5_N27_P001,22.387,21.127,8.817,0.0,31.992,31.992,156.702,21.127,33.197,21.127,156.702
INST0057_N5_N27_D001,49.306,25.326,26.694,31.992,0.0,0.0,157.017,25.326,58.839,25.326,157.017
INST0057_N5_N27_P002,49.306,25.326,26.694,31.992,0.0,0.0,157.017,25.326,58.839,25.326,157.017
INST0057_N5_N27_D002,175.714,139.347,162.641,156.702,157.017,157.017,0.0,139.347,134.941,139.347,0.0
INST0057_N5_N27_P003,43.511,0.0,24.088,21.127,25.326,25.326,139.347,0.0,35.041,0.0,139.347
INST0057_N5_N27_D003,43.657,35.041,41.993,33.197,58.839,58.839,134.941,35.041,0.0,35.041,134.941
INST0057_N5_N27_P004,43.511,0.0,24.088,21.127,25.326,25.326,139.347,0.0,35.041,0.0,139.347
INST0057_N5_N27_D004,175.714,139.347,162.641,156.702,157.017,157.017,0.0,139.347,134.941,139.347,0.0
