,depot,INST0193_N18_W13_P000,INST0193_N18_W13_D000,INST0193_N18_W13_P001,INST0193_N18_W13_D001,INST0193_N18_W13_P002,INST0193_N18_W13_D002,INST0193_N18_W13_P003,INST0193_N18_W13_D003,INST0193_N18_W13_P004,INST0193_N18_W13_D004,INST0193_N18_W13_P005,INST0193_N18_W13_D005,INST0193_N18_W13_P006,INST0193_N18_W13_D006,INST0193_N18_W13_P007,INST0193_N18_W13_D007,INST0193_N18_W13_P008,INST0193_N18_W13_D008,INST0193_N18_W13_P009,INST0193_N18_W13_D009,INST0193_N18_W13_P010,INST0193_N18_W13_D010,INST0193_N18_W13_P011,INST0193_N18_W13_D011,INST0193_N18_W13_P012,INST0193_N18_W13_D012,INST0193_N18_W13_P013,INST0193_N18_W13_D013,INST0193_N18_W13_P014,INST0193_N18_W13_D014,INST0193_N18_W13_P015,INST0193_N18_W13_D015,INST0193_N18_W13_P016,INST0193_N18_W13_D016,INST0193_N18_W13_P017,INST0193_N18_W13_D017
depot,0.0,97.602,142.787,0.0,117.595,70.637,142.787,18.026,115.643,70.637,115.643,50.015,97.602,50.015,0.0,18.026,124.166,18.026,129.907,0.0,70.637,50.015,97.602,70.637,18.026,97.602,0.0,18.026,124.166,97.602,133.671,18.026,97.602,97.602,133.671,50.015,133.671
INST0193_N18_W13_P000,97.602,0.0,45.89,97.602,25.201,27.496,45.89,114.719,56.961,27.496,56.961,49.056,0.0,49.056,97.602,114.719,29.878,114.719,43.098,97.602,27.496,49.056,0.0,27.496,114.719,0.0,97.602,114.719,29.878,0.0,36.098,114.719,0.0,0.0,36.098,49.056,36.098
INST0193_N18_W13_D000,142.787,45.89,0.0,142.787,37.156,72.151,0.0,160.194,78.578,72.151,78.578,94.929,45.89,94.929,142.787,160.194,20.081,160.194,28.407,142.787,72.151,94.929,45.89,72.151,160.194,45.89,142.787,160.194,20.081,45.89,14.369,160.194,45.89,45.89,14.369,94.929,14.369
INST0193_N18_W13_P001,0.0,97.602,142.787,0.0,117.595,70.637,142.787,18.026,115.643,70.637,115.643,50.015,97.602,50.015,0.0,18.026,124.166,18.026,129.907,0.0,70.637,50.015,97.602,70.637,18.026,97.602,0.0,18.026,124.166,97.602,133.671,18.026,97.602,97.602,133.671,50.015,133.671
INST0193_N18_W13_D001,117.595,25.201,37.156,117.595,0.0,50.631,37.156,133.769,43.046,50.631,43.046,67.612,25.201,67.612,117.595,133.769,32.905,133.769,50.317,117.595,50.631,67.612,25.201,50.631,133.769,25.201,117.595,133.769,32.905,25.201,22.951,133.769,25.201,25.201,22.951,67.612,22.951
INST0193_N18_W13_P002,70.637,27.496,72.151,70.637,50.631,0.0,72.151,88.095,68.471,0.0,68.471,24.909,27.496,24.909,70.637,88.095,53.818,88.095,61.972,70.637,0.0,24.909,27.496,0.0,88.095,27.496,70.637,88.095,53.818,27.496,63.48,88.095,27.496,27.496,63.48,24.909,63.48
INST0193_N18_W13_D002,142.787,45.89,0.0,142.787,37.156,72.151,0.0,160.194,78.578,72.151,78.578,94.929,45.89,94.929,142.787,160.194,20.081,160.194,28.407,142.787,72.151,94.929,45.89,72.151,160.194,45.89,142.787,160.194,20.081,45.89,14.369,160.194,45.89,45.89,14.369,94.929,14.369
INST0193_N18_W13_P003,18.026,114.719,160.194,18.026,133.769,88.095,160.194,0.0,128.123,88.095,128.123,66.284,114.719,66.284,18.026,0.0,141.804,0.0,147.866,18.026,88.095,66.284,114.719,88.095,0.0,114.719,18.026,0.0,141.804,114.719,150.679,0.0,114.719,114.719,150.679,66.284,150.679
INST0193_N18_W13_D003,115.643,56.961,78.578,115.643,43.046,68.471,78.578,128.123,0.0,68.471,0.0,70.587,56.961,70.587,115.643,128.123,75.699,128.123,92.961,115.643,68.471,70.587,56.961,68.471,128.123,56.961,115.643,128.123,75.699,56.961,64.294,128.123,56.961,56.961,64.294,70.587,64.294
INST0193_N18_W13_P004,70.637,27.496,72.151,70.637,50.631,0.0,72.151,88.095,68.471,0.0,68.471,24.909,27.496,24.909,70.637,88.095,53.818,88.095,61.972,70.637,0.0,24.909,27.496,0.0,88.095,27.496,70.637,88.095,53.818,27.496,63.48,88.095,27.496,27.496,63.48,24.909,63.48
INST0193_N18_W13_D004,115.643,56.961,78.578,115.643,43.046,68.471,78.578,128.123,0.0,68.471,0.0,70.587,56.961,70.587,115.643,128.123,75.699,128.123,92.961,115.643,68.471,70.587,56.961,68.471,128.123,56.961,115.643,128.123,75.699,56.961,64.294,128.123,56.961,56.961,64.294,70.587,64.294
INST0193_N18_W13_P005,50.015,49.056,94.929,50.015,67.612,24.909,94.929,66.284,70.587,24.909,70.587,0.0,49.056,0.0,50.015,66.284,77.687,66.284,86.82,50.015,24.909,0.0,49.056,24.909,66.284,49.056,50.015,66.284,77.687,49.056,84.648,66.284,49.056,49.056,84.648,0.0,84.648
INST0193_N18_W13_D005,97.602,0.0,45.89,97.602,25.201,27.496,45.89,114.719,56.961,27.496,56.961,49.056,0.0,49.056,97.602,114.719,29.878,114.719,43.098,97.602,27.496,49.056,0.0,27.496,114.719,0.0,97.602,114.719,29.878,0.0,36.098,114.719,0.0,0.0,36.098,49.056,36.098
