,depot,INST0150_N15_N00_P000,INST0150_N15_N00_D000,INST0150_N15_N00_P001,INST0150_N15_N00_D001,INST0150_N15_N00_P002,INST0150_N15_N00_D002,INST0150_N15_N00_P003,INST0150_N15_N00_D003,INST0150_N15_N00_P004,INST0150_N15_N00_D004,INST0150_N15_N00_P005,INST0150_N15_N00_D005,INST0150_N15_N00_P006,INST0150_N15_N00_D006,INST0150_N15_N00_P007,INST0150_N15_N00_D007,INST0150_N15_N00_P008,INST0150_N15_N00_D008,INST0150_N15_N00_P009,INST0150_N15_N00_D009,INST0150_N15_N00_P010,INST0150_N15_N00_D010,INST0150_N15_N00_P011,INST0150_N15_N00_D011,INST0150_N15_N00_P012,INST0150_N15_N00_D012,INST0150_N15_N00_P013,INST0150_N15_N00_D013,INST0150_N15_N00_P014,INST0150_N15_N00_D014
depot,0.0,75.654,24.088,41.993,0.0,81.208,107.703,41.993,0.0,23.01,41.993,41.993,81.208,16.848,0.0,41.993,23.01,41.993,0.0,8.817,41.993,8.817,14.053,26.694,16.848,23.01,16.848,24.088,0.0,0.0,14.053
INST0150_N15_N00_P000,75.654,0.0,99.392,99.467,75.654,131.605,104.211,99.467,75.654,57.966,99.467,99.467,131.605,81.517,75.654,99.467,57.966,99.467,75.654,78.919,99.467,78.919,78.656,95.498,81.517,57.966,81.517,99.392,75.654,75.654,78.656
INST0150_N15_N00_D000,24.088,99.392,0.0,35.041,24.088,79.42,122.983,35.041,24.088,43.511,35.041,35.041,79.42,28.595,24.088,35.041,43.511,35.041,24.088,21.127,35.041,21.127,28.727,25.326,28.595,43.511,28.595,0.0,24.088,24.088,28.727
INST0150_N15_N00_P001,41.993,99.467,35.041,0.0,41.993,114.332,149.69,0.0,41.993,43.657,0.0,0.0,114.332,56.4,41.993,0.0,43.657,0.0,41.993,33.197,0.0,33.197,54.669,58.839,56.4,43.657,56.4,35.041,41.993,41.993,54.669
INST0150_N15_N00_D001,0.0,75.654,24.088,41.993,0.0,81.208,107.703,41.993,0.0,23.01,41.993,41.993,81.208,16.848,0.0,41.993,23.01,41.993,0.0,8.817,41.993,8.817,14.053,26.694,16.848,23.01,16.848,24.088,0.0,0.0,14.053
INST0150_N15_N00_P002,81.208,131.605,79.42,114.332,81.208,0.0,79.694,114.332,81.208,101.428,114.332,114.332,0.0,64.653,81.208,114.332,101.428,114.332,81.208,87.893,114.332,87.893,67.88,56.35,64.653,101.428,64.653,79.42,81.208,81.208,67.88
INST0150_N15_N00_D002,107.703,104.211,122.983,149.69,107.703,79.694,0.0,149.69,107.703,114.14,149.69,149.69,79.694,94.965,107.703,149.69,114.14,149.69,107.703,116.493,149.69,116.493,95.867,99.415,94.965,114.14,94.965,122.983,107.703,107.703,95.867
INST0150_N15_N00_P003,41.993,99.467,35.041,0.0,41.993,114.332,149.69,0.0,41.993,43.657,0.0,0.0,114.332,56.4,41.993,0.0,43.657,0.0,41.993,33.197,0.0,33.197,54.669,58.839,56.4,43.657,56.4,35.041,41.993,41.993,54.669
INST0150_N15_N00_D003,0.0,75.654,24.088,41.993,0.0,81.208,107.703,41.993,0.0,23.01,41.993,41.993,81.208,16.848,0.0,41.993,23.01,41.993,0.0,8.817,41.993,8.817,14.053,26.694,16.848,23.01,16.848,24.088,0.0,0.0,14.053
INST0150_N15_N00_P004,23.01,57.966,43.511,43.657,23.01,101.428,114.14,43.657,23.01,0.0,43.657,43.657,101.428,37.312,23.01,43.657,0.0,43.657,23.01,22.387,43.657,22.387,33.929,49.306,37.312,0.0,37.312,43.511,23.01,23.01,33.929
INST0150_N15_N00_D004,41.993,99.467,35.041,0.0,41.993,114.332,149.69,0.0,41.993,43.657,0.0,0.0,114.332,56.4,41.993,0.0,43.657,0.0,41.993,33.197,0.0,33.197,54.669,58.839,56.4,43.657,56.4,35.041,41.993,41.993,54.669
INST0150_N15_N00_P005,41.993,99.467,35.041,0.0,41.993,114.332,149.69,0.0,41.993,43.657,0.0,0.0,114.332,56.4,41.993,0.0,43.657,0.0,41.993,33.197,0.0,33.197,54.669,58.839,56.4,43.657,56.4,35.041,41.993,41.993,54.669
INST0150_N15_N00_D005,81.208,131.605,79.42,114.332,81.208,0.0,79.694,114.332,81.208,101.428,114.332,114.332,0.0,64.653,81.208,114.332,101.428,114.332,81.208,87.893,114.332,87.893,67.88,56.35,64.653,101.428,64.653,79.42,81.208,81.208,67.88
INST0150_N15_N00_P006,16.848,81.517,28.595,56.4,16.848,64.653,94.965,56.4,16.848,37.312,56.4,56.4,64.653,0.0,16.848,56.4,37.312,56.4,16.848,24.705,56.4,24.705,3.413,14.003,0.0,37.312,0.0,28.595,16.848,16.848,3.413
INST0150_N15_N00_D006,0.0,75.654,24.088,41.993,0.0,81.208,107.703,41.993,0.0,23.01,41.993,41.993,81.208,16.848,0.0,41.993,23.01,41.993,0.0,8.817,41.993,8.817,14.053,26.694,16.848,23.01,16.848,24.088,0.0,0.0,14.053
INST0150_N15_N00_P007,41.993,99.467,35.041,0.0,41.993,114.332,149.69,0.0,41.993,43.657,0.0,0.0,114.332,56.4,41.993,0.0,43.657,0.0,41.993,33.197,0.0,33.197,54.669,58.839,56.4,43.657,56.4,35.041,41.993,41.993,54.669
INST0150_N15_N00_D007,23.01,57.966,43.511,43.657,23.01,101.428,114.14,43.657,23.01,0.0,43.657,43.657,101.428,37.312,23.01,43.657,0.0,43.657,23.01,22.387,43.657,22.387,33.929,49.306,37.312,0.0,37.312,43.511,23.01,23.01,33.929
INST0150_N15_N00_P008,41.993,99.467,35.041,0.0,41.993,114.332,149.69,0.0,41.993,43.657,0.0,0.0,114.332,56.4,41.993,0.0,43.657,0.0,41.993,33.197,0.0,33.197,54.669,58.839,56.4,43.657,56.4,35.041,41.993,41.993,54.669
INST0150_N15_N00_D008,0.0,75.654,24.088,41.993,0.0,81.208,107.703,41.993,0.0,23.01,41.993,41.993,81.208,16.848,0.0,41.993,23.01,41.993,0.0,8.817,41.993,8.817,14.053,26.694,16.848,23.01,16.848,24.088,0.0,0.0,14.053
INST0150_N15_N00_P009,8.817,78.919,21.127,33.197,8.817,87.893,116.493,33.197,8.817,22.387,33.197,33.197,87.893,24.705,8.817,33.197,22.387,33.197,8.817,0.0,33.197,0.0,22.322,31.992,24.705,22.387,24.705,21.127,8.817,8.817,22.322
INST0150_N15_N00_D009,41.993,99.467,35.041,0.0,41.993,114.332,149.69,0.0,41.993,43.657,0.0,0.0,114.332,56.4,41.993,0.0,43.657,0.0,41.993,33.197,0.0,33.197,54.669,58.839,56.4,43.657,56.4,35.041,41.993,41.993,54.669
INST0150_N15_N00_P010,8.817,78.919,21.127,33.197,8.817,87.893,116.493,33.197,8.817,22.387,33.197,33.197,87.893,24.705,8.817,33.197,22.387,33.197,8.817,0.0,33.197,0.0,22.322,31.992,24.705,22.387,24.705,21.127,8.817,8.817,22.322
INST0150_N15_N00_D010,14.053,78.656,28.727,54.669,14.053,67.88,95.867,54.669,14.053,33.929,54.669,54.669,67.88,3.413,14.053,54.669,33.929,54.669,14.053,22.322,54.669,22.322,0.0,17.072,3.413,33.929,3.413,28.727,14.053,14.053,0.0
INST0150_N15_N00_P011,26.694,95.498,25.326,58.839,26.694,56.35,99.415,58.839,26.694,49.306,58.839,58.839,56.35,14.003,26.694,58.839,49.306,58.839,26.694,31.992,58.839,31.992,17.072,0.0,14.003,49.306,14.003,25.326,26.694,26.694,17.072
INST0150_N15_N00_D011,16.848,81.517,28.595,56.4,16.848,64.653,94.965,56.4,16.848,37.312,56.4,56.4,64.653,0.0,16.848,56.4,37.312,56.4,16.848,24.705,56.4,24.705,3.413,14.003,0.0,37.312,0.0,28.595,16.848,16.848,3.413
INST0150_N15_N00_P012,23.01,57.966,43.511,43.657,23.01,101.428,114.14,43.657,23.01,0.0,43.657,43.657,101.428,37.312,23.01,43.657,0.0,43.657,23.01,22.387,43.657,22.387,33.929,49.306,37.312,0.0,37.312,43.511,23.01,23.01,33.929
INST0150_N15_N00_D012,16.848,81.517,28.595,56.4,16.848,64.653,94.965,56.4,16.848,37.312,56.4,56.4,64.653,0.0,16.848,56.4,37.312,56.4,16.848,24.705,56.4,24.705,3.413,14.003,0.0,37.312,0.0,28.595,16.848,16.848,3.413
INST0150_N15_N00_P013,24.088,99.392,0.0,35.041,24.088,79.42,122.983,35.041,24.088,43.511,35.041,35.041,79.42,28.595,24.088,35.041,43.511,35.041,24.088,21.127,35.041,21.127,28.727,25.326,28.595,43.511,28.595,0.0,24.088,24.088,28.727
INST0150_N15_N00_D013,0.0,75.654,24.088,41.993,0.0,81.208,107.703,41.993,0.0,23.01,41.993,41.993,81.208,16.848,0.0,41.993,23.01,41.993,0.0,8.817,41.993,8.817,14.053,26.694,16.848,23.01,16.848,24.088,0.0,0.0,14.053
INST0150_N15_N00_P014,0.0,75.654,24.088,41.993,0.0,81.208,107.703,41.993,0.0,23.01,41.993,41.993,81.208,16.848,0.0,41.993,23.01,41.993,0.0,8.817,41.993,8.817,14.053,26.694,16.848,23.01,16.848,24.088,0.0,0.0,14.053
INST0150_N15_N00_D014,14.053,78.656,28.727,54.669,14.053,67.88,95.867,54.669,14.053,33.929,54.669,54.669,67.88,3.413,14.053,54.669,33.929,54.669,14.053,22.322,54.669,22.322,0.0,17.072,3.413,33.929,3.413,28.727,14.053,14.053,0.0
