,depot,INST0206_N18_S26_P000,INST0206_N18_S26_D000,INST0206_N18_S26_P001,INST0206_N18_S26_D001,INST0206_N18_S26_P002,INST0206_N18_S26_D002,INST0206_N18_S26_P003,INST0206_N18_S26_D003,INST0206_N18_S26_P004,INST0206_N18_S26_D004,INST0206_N18_S26_P005,INST0206_N18_S26_D005,INST0206_N18_S26_P006,INST0206_N18_S26_D006,INST0206_N18_S26_P007,INST0206_N18_S26_D007,INST0206_N18_S26_P008,INST0206_N18_S26_D008,INST0206_N18_S26_P009,INST0206_N18_S26_D009,INST0206_N18_S26_P010,INST0206_N18_S26_D010,INST0206_N18_S26_P011,INST0206_N18_S26_D011,INST0206_N18_S26_P012,INST0206_N18_S26_D012,INST0206_N18_S26_P013,INST0206_N18_S26_D013,INST0206_N18_S26_P014,INST0206_N18_S26_D014,INST0206_N18_S26_P015,INST0206_N18_S26_D015,INST0206_N18_S26_P016,INST0206_N18_S26_D016,INST0206_N18_S26_P017,INST0206_N18_S26_D017
depot,0.0,65.388,32.298,26.505,112.576,21.517,0.0,32.298,112.576,75.908,88.975,75.908,24.954,32.298,88.975,32.298,65.388,21.517,145.321,24.954,21.478,21.517,24.954,24.954,26.505,32.298,145.321,75.908,26.505,24.954,65.388,0.0,37.715,24.954,21.478,65.388,32.298
INST0206_N18_S26_P000,65.388,0.0,43.838,49.927,47.206,45.002,65.388,43.838,47.206,10.867,71.865,10.867,59.003,43.838,71.865,43.838,0.0,45.002,80.368,59.003,50.526,45.002,59.003,59.003,49.927,43.838,80.368,10.867,49.927,59.003,0.0,65.388,103.002,59.003,50.526,0.0,43.838
INST0206_N18_S26_D000,32.298,43.838,0.0,7.008,89.072,25.439,32.298,0.0,89.072,54.565,58.699,54.565,44.339,0.0,58.699,0.0,43.838,25.439,122.952,44.339,10.881,25.439,44.339,44.339,7.008,0.0,122.952,54.565,7.008,44.339,43.838,32.298,65.452,44.339,10.881,43.838,0.0
INST0206_N18_S26_P001,26.505,49.927,7.008,0.0,95.708,24.239,26.505,7.008,95.708,60.745,62.898,60.745,41.761,7.008,62.898,7.008,49.927,24.239,129.526,41.761,5.477,24.239,41.761,41.761,0.0,7.008,129.526,60.745,0.0,41.761,49.927,26.505,58.521,41.761,5.477,49.927,7.008
INST0206_N18_S26_D001,112.576,47.206,89.072,95.708,0.0,91.902,112.576,89.072,0.0,36.733,93.449,36.733,103.829,89.072,93.449,89.072,47.206,91.902,33.969,103.829,97.061,91.902,103.829,103.829,95.708,89.072,33.969,36.733,95.708,103.829,47.206,112.576,150.208,103.829,97.061,47.206,89.072
INST0206_N18_S26_P002,21.517,45.002,25.439,24.239,91.902,0.0,21.517,25.439,91.902,55.171,83.416,55.171,19.488,25.439,83.416,25.439,45.002,0.0,124.222,19.488,19.629,0.0,19.488,19.488,24.239,25.439,124.222,55.171,24.239,19.488,45.002,21.517,59.019,19.488,19.629,45.002,25.439
INST0206_N18_S26_D002,0.0,65.388,32.298,26.505,112.576,21.517,0.0,32.298,112.576,75.908,88.975,75.908,24.954,32.298,88.975,32.298,65.388,21.517,145.321,24.954,21.478,21.517,24.954,24.954,26.505,32.298,145.321,75.908,26.505,24.954,65.388,0.0,37.715,24.954,21.478,65.388,32.298
INST0206_N18_S26_P003,32.298,43.838,0.0,7.008,89.072,25.439,32.298,0.0,89.072,54.565,58.699,54.565,44.339,0.0,58.699,0.0,43.838,25.439,122.952,44.339,10.881,25.439,44.339,44.339,7.008,0.0,122.952,54.565,7.008,44.339,43.838,32.298,65.452,44.339,10.881,43.838,0.0
INST0206_N18_S26_D003,112.576,47.206,89.072,95.708,0.0,91.902,112.576,89.072,0.0,36.733,93.449,36.733,103.829,89.072,93.449,89.072,47.206,91.902,33.969,103.829,97.061,91.902,103.829,103.829,95.708,89.072,33.969,36.733,95.708,103.829,47.206,112.576,150.208,103.829,97.061,47.206,89.072
INST0206_N18_S26_P004,75.908,10.867,54.565,60.745,36.733,55.171,75.908,54.565,36.733,0.0,77.092,0.0,67.889,54.565,77.092,54.565,10.867,55.171,69.589,67.889,61.394,55.171,67.889,67.889,60.745,54.565,69.589,0.0,60.745,67.889,10.867,75.908,113.587,67.889,61.394,10.867,54.565
