,depot,INST0053_N5_S23_P000,INST0053_N5_S23_D000,INST0053_N5_S23_P001,INST0053_N5_S23_D001,INST0053_N5_S23_P002,INST0053_N5_S23_D002,INST0053_N5_S23_P003,INST0053_N5_S23_D003,INST0053_N5_S23_P004,INST0053_N5_S23_D004
depot,0.0,0.0,158.604,8.581,29.68,32.455,51.136,32.455,0.0,74.382,71.658
INST0053_N5_S23_P000,0.0,0.0,158.604,8.581,29.68,32.455,51.136,32.455,0.0,74.382,71.658
INST0053_N5_S23_D000,158.604,158.604,0.0,150.553,152.108,177.944,164.482,177.944,158.604,85.211,224.124
INST0053_N5_S23_P001,8.581,8.581,150.553,0.0,31.149,39.549,54.293,39.549,8.581,66.815,80.145
INST0053_N5_S23_D001,29.68,29.68,152.108,31.149,0.0,26.348,23.863,26.348,29.68,67.557,72.268
INST0053_N5_S23_P002,32.455,32.455,177.944,39.549,26.348,0.0,30.556,0.0,32.455,92.948,46.181
INST0053_N5_S23_D002,51.136,51.136,164.482,54.293,23.863,30.556,0.0,30.556,51.136,83.129,67.228
INST0053_N5_S23_P003,32.455,32.455,177.944,39.549,26.348,0.0,30.556,0.0,32.455,92.948,46.181
INST0053_N5_S23_D003,0.0,0.0,158.604,8.581,29.68,32.455,51.136,32.455,0.0,74.382,71.658
INST0053_N5_S23_P004,74.382,74.382,85.211,66.815,67.557,92.948,83.129,92.948,74.382,0.0,139.086
INST0053_N5_S23_D004,71.658,71.658,224.124,80.145,72.268,46.181,67.228,46.181,71.658,139.086,0.0
